event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Extreme European summer of 2012,2012,2012,Event,NA,Europe,Oceans,More severe or more likely to occur,"""The degree of decadal variability in these features suggests a role for forcing from outside the dynamical atmosphere, and preliminary numerical experiments suggest that the global SST and low Arctic sea ice extent anomalies are likely to have played a role.""",2013,"Dong, B et al. 2013: The extreme European summer 2012 [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S28-S32.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Heat-related mortality in Sweden,1980-2009,NA,Trend,NA,Europe,Impact,More severe or more likely to occur,"""Mortality from heat extremes in 1980–2009 was double what would have occurred without climate change""",2013,"Astrom. D. et al., 2013: Attributing mortality from extreme temperatures to climate change in Stockholm, Sweden, Nature Climate Change, DOI: doi.org/10.1038/nclimate2022",Nature climate change,No,https://www.nature.com/articles/nclimate2022
Australia & tropical Pacific warm anomalies,2013,2013,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""CMIP5 simulations suggest that the extremely warm year observed over Australia and the far western Pacific during 2013 was largely attributable to human forcing of the climate system.""",2014,"Knutson, T. et al., 2014: Multimodel assessment of extreme annual-mean warm anomalies during 2013 over regions of australia and the western tropical pacific [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S34-S37.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Australia record temperatures,2013,2013,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""Anthropogenic climate change has caused a very large increase in the likelihood of extreme events such as the record Australia-wide average temperatures in September, spring, and the 2013 calendar year.""",2014,"Lewis, L & Karoly, D., 2014: The role of anthropogenic forcing in the record 2013 Australia-wide annual and spring temperatures [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S31-S34.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Australia hot summer,2012-2013,2012-2013,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""Human activity has increased the risk of experiencing the hot Australian summer of 2012/13, as measured by simulated heat wave frequency and intensity, by two- and three-fold, respectively.""",2014,"Perkins, S. et al., 2014: Increased simulated risk of the hot Australian summer of 2012/13 due to anthropogenic activity as measured by heat wave frequency and intensity [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S34-S37.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Australia record hot September,2013,2013,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""Record high September maximum temperatures over Australia arose from a combination of a strongly anomalous atmospheric circulation pattern, background warming, and dry and warm antecedent land-surface conditions.""",2014,"Arblaster, J et al., 2014: Understanding Australia’s hottest September on record [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S37-S41.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
South Korea summer heatwave,2013,2013,Event,KOR,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""A comparison of observations and multiple global climate model simulations indicates that extreme hot summer temperatures in Korea have become 10 times more likely due to human influence.""",2014,"Min, S-K. et al., 2014: Assessing human contribution to the summer 2013 Korean heat wave [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S48-S51.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Japan heatwave,2013,2013,Event,JPN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Anthropogenic climate change played a significant role in increasing the probability of events such as the heat wave in Japan in 2013.""",2014,"Imada, Y. et al., 2014: The contribution of anthropogenic forcing to the Japanese heat waves of 2013 [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S49-S52.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Central eastern China hot summer,2013,2013,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Comparison based on Coupled Model Intercomparison Project Phase 5 (CMIP5) models suggest a discernible impact of anthropogenic forcing, with internal variability also being important.""",2014,"Zhou, T. et al., 2014: Understanding a hot summer in central eastern China: summer 2013 in context of multimodel trend analysis [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S54-S57.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Eastern Australia record heat,2013,2013,Event,"AUS,NZL",Australia and New Zealand,Heat,More severe or more likely to occur,"""The record heat of 2013 across inland eastern Australia was caused by a combination of anthropogenic warming and extreme drought.""",2014,"King, A. et al., 2014: Climate change turns Australia's 2013 big dry into a year of record-breaking heat [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S41-S45.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
Eastern China record hot summer,2013,2013,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""We estimate that anthropogenic influence has caused a more than 60-fold increase in the likelihood of the extreme warm 2013 summer since the early 1950s.""",2014,"Sun et al., 2014. Rapid increase in the risk of extreme summer heat in Eastern China. Nature Climate Change, 4, 1082-1085",Nature Climate Change,No,https://www.nature.com/articles/nclimate2410
South-western US summer heatwave,2013,2013,Event,USA,Northern America,Heat,More severe or more likely to occur,"""It was suggested that both the anthropogenic warming and an atmospheric circulation regime related to the natural variability of SST and SIC made the heat wave event more likely.""",2014,"Shiogama et al., 2014. Attribution of the June-July 2013 Heat Wave in the Southwestern United States JSTage:SOLA, 10,. 122-126",Scientific Online Letters on the Atmosphere),No,https://www.jstage.jst.go.jp/article/sola/10/0/10_2014-025/_article
Northern hemisphere hot summers,1949-2011,NA,Trend,NA,Northern hemisphere,Heat,More severe or more likely to occur,"""In addition, direct influence of anthropogenic forcing also contributes to increasing the frequency since the late 20th century.""",2014,"Kamae, Y. et al., 2014: Attributing the increase in Northern hemisphere hot summers since the late 20th century. GRL, 41 (14), 5192-5199",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2014GL061062
Europe warmest year,2014,2014,Event,NA,Europe,Heat,More severe or more likely to occur,"""The KNMI and Melbourne teams found that the odds of average temperatures across Europe reaching this year’s record-setting levels were increased by at least 35 to 80 times due to human influence on our climate.  The team at the University of Oxford found that…global warming had increased the odds of a year as hot as the one just experienced in most of continental Europe by at least a factor of 10.""",2014,World Weather Attribution. 2014: 2014 likely to be the warmest year ever recorded,World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-2014/
Global temperature extremes,1960-2010,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""We demonstrate that the probability distribution of observed local trends across the globe for the period 1960–2010 is clearly different to what would be expected from internal variability. We detect a distinct intensification of heavy precipitation events and hot extremes.""",2014,"Fischer, E. M. & Knutti, R. 2014: Detection of spatially aggregated changes in temperature and precipitation extremes, Geophysical Research Letters, 41(2): 547-554, doi:10.1002/2013GL058499",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013GL058499
California drought,2013-2014,2013-2014,Event,USA,Northern America,Drought,More severe or more likely to occur,"""There is a traceable anthropogenic warming footprint in the enormous intensity of the anomalous ridge during winter 2013–2014 and the associated drought.""",2014,"Wang, S.Y. et al., 2014. Probable causes of the abnormal ridge accompanying the 2013–2014 California drought: ENSO precursor and anthropogenic warming footprint. Geophysical Research Letters, 2014GL059748",Geophysical Research Letters,No,http://onlinelibrary.wiley.com/doi/10.1002/2014GL059748/abstract
Australian 'Millennium Drought',mid-1990s to late 2000s,NA,Trend,AUS,Australia and New Zealand,Drought,More severe or more likely to occur,"""Although climate models generally suggest that Australia’s Millennium Drought was mostly due to multidecadal variability, some late-twentieth-century changes in climate modes that influence regional rainfall are partially attributable to anthropogenic greenhouse warming.""",2014,"Cai, W. et al., 2014. Did Climate Change–Induced Rainfall Trends Contribute to the Australian Millennium Drought? Journal of Climate, 3145-3168",Journal of Climate,No,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-13-00322.1
California drought,2013-2014,2013-2014,Event,USA,Northern America,Drought,More severe or more likely to occur,"""California’s driest 12-month period on record occurred during 2013/14, and although global warming has very likely increased the probability of certain large-scale atmospheric conditions, implications for extremely low precipitation in California remain uncertain.""",2014,"Swain, D. et al., 2014: The extraordinary California drought of 2013/14: character, context, and the role of climate change [in ""Explaining Extremes of 2013 from a Climate Perspective""]. Bull. Amer. Meteor. Soc., 95 (9), S3-S7.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
New Zealand drought,2013,2013,Event,NZL,Australia and New Zealand,Drought,More severe or more likely to occur,"""For the 2013 New Zealand drought, evidence from a number of models suggests that the meteorological drivers were more favorable for drought as a result of anthropogenic climate change.""",2014,"Harrington, L. et al., 2014: The role of anthropogenic climate change in the 2013 drought over North Island, New Zealand  Bull. Amer. Meteor. Soc., 95 (9), S45-S48",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1
