name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"McIntyre, Herbert A.",McIntyre,Herbert A.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"McIver, Frederick D., Jr.",McIver,"Frederick D., Jr.",1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"McKeethen, Llyod B.",McKeethen,Llyod B.,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,East Chicago,IL,NA,0,NA,NA,NA,NA
"McKenzie, Alfred U.",McKenzie,Alfred U.,1945-03-11T00:00:00Z,Flight Officer,TE-45-A,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"McKnight, James W.",McKnight,James W.,1945-05-23T00:00:00Z,2nd Lt,SE-45-C,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"McLaurin, Eddie",McLaurin,Eddie,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Jackson,MS,NA,0,NA,NA,NA,NA
"McQuillan, Douglas H.",McQuillan,Douglas H.,1944-11-20T00:00:00Z,Flight Officer,TE-44-I,TAAF,Twin engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"McRae, Ivan J., Jr.",McRae,"Ivan J., Jr.",1944-12-28T00:00:00Z,2nd Lt,TE-44-J,TAAF,Twin engine,Yonkers,NY,NA,0,NA,NA,NA,https://cafriseabove.org/ivan-james-mcrae/
"Melton, William R.",Melton,William R.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Merriweather, Elbert N., Jr.",Merriweather,"Elbert N., Jr.",1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Merriweather, Robert O.",Merriweather,Robert O.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Merton, Joseph L., Jr.",Merton,"Joseph L., Jr.",1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Miller, Charles E.",Miller,Charles E.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Plainfield,NJ,NA,0,NA,NA,NA,NA
"Miller, George R.",Miller,George R.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,DesMoines,IA,NA,0,NA,NA,NA,NA
"Miller, Godfrey C.",Miller,Godfrey C.,1945-11-20T00:00:00Z,2nd Lt,SE-45-H,TAAF,Single engine,Bloomington,IL,NA,0,NA,NA,NA,NA
"Miller, Lawrence I.",Miller,Lawrence I.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Miller, Oliver O.",Miller,Oliver O.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Battle Creek,MI,NA,0,NA,NA,NA,NA
"Miller, Willard B.",Miller,Willard B.,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Portland,OR,NA,0,NA,NA,NA,NA
"Millett, Joseph H.",Millett,Joseph H.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Mills, Clinton B.",Mills,Clinton B.,1943-01-14T00:00:00Z,2nd Lt,SE-43-A,TAAF,Single engine,Durham,NC,"Downed 1 Fw-190 on February 7, 1944",1,NA,NA,NA,NA
"Mills, Theodore H",Mills,Theodore H,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,New Rochelle,NY,NA,0,NA,NA,NA,NA
"Minor, James I., Jr.",Minor,"James I., Jr.",1943-09-30T00:00:00Z,1st Lt,CL-43-1,TAAF,Liaison pilot,Richmond,VA,NA,0,NA,NA,NA,NA
"Mitchell, James T., Jr.",Mitchell,"James T., Jr.",1944-06-27T00:00:00Z,Flight Officer,SE-44-F,TAAF,Single engine,Gadston,AL,NA,0,NA,NA,NA,NA
"Mitchell, Paul G.",Mitchell,Paul G.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,https://cafriseabove.org/paul-graham-mitchell/
"Mitchell, Vincent I.",Mitchell,Vincent I.,1944-04-15T00:00:00Z,Flight Officer,SE-44-D,TAAF,Single engine,Mt. Clemens,MI,NA,0,NA,NA,NA,NA
"Moffett, Wilbur",Moffett,Wilbur,1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Moody, Frank H.",Moody,Frank H.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,https://cafriseabove.org/frank-herman-moody/
"Moody, Paul L.",Moody,Paul L.,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Cambridge,MA,NA,0,NA,NA,NA,NA
"Moody, Roland W.",Moody,Roland W.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Cambridge,MA,NA,0,NA,NA,NA,https://cafriseabove.org/roland-w-moody/
"Moore, Abe Benjamin",Moore,Abe Benjamin,1946-03-23T00:00:00Z,Flight Officer,TE-46-A,TAAF,Twin engine,Austin,TX,NA,0,NA,NA,NA,NA
"Moore, Benjamin F.",Moore,Benjamin F.,1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Ocilla,GA,NA,0,NA,NA,NA,NA
"Moore, Flarzell",Moore,Flarzell,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Moore, Theopolis D.",Moore,Theopolis D.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Moore, Willis E.",Moore,Willis E.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Moret, Adolph J., Jr.",Moret,"Adolph J., Jr.",NA,Flight Officer,NA,TAAF,Service pilot,New Orleans,LA,NA,0,NA,NA,NA,NA
"Moret, Calvin G.",Moret,Calvin G.,1944-11-20T00:00:00Z,Flight Officer,SE-44-I,TAAF,Single engine,New Orlenas,LA,NA,0,NA,NA,NA,NA
"Morgan, Dempsey W.",Morgan,Dempsey W.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,https://cafriseabove.org/dempsey-wesley-morgan-jr/
"Morgan, John H.",Morgan,John H.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Cartersville,GA,NA,0,NA,NA,NA,https://cafriseabove.org/john-henry-morgan/
"Morgan, William B.",Morgan,William B.,1945-09-08T00:00:00Z,Flight Officer,SE-45-F,TAAF,Single engine,Yukon,PA,NA,0,NA,NA,NA,https://cafriseabove.org/dr-william-b-morgan/
"Morgan, Woodrow F.",Morgan,Woodrow F.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Omaha,NE,NA,0,NA,NA,NA,https://cafriseabove.org/woodrow-f-morgan/
"Morris, Harold M.",Morris,Harold M.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Seattle,WA,"Downed 1 Fw-190 on April 1, 1945",1,NA,NA,NA,NA
"Morrison, Thomas J., Jr.",Morrison,"Thomas J., Jr.",1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Roxbury,MA,NA,0,NA,NA,NA,NA
"Moseley, Sidney J.",Moseley,Sidney J.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Norfolk,VA,NA,0,NA,NA,NA,NA
"Mosley, Clifford E.",Mosley,Clifford E.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Boston,MA,NA,0,NA,NA,NA,NA
"Mosley, John William",Mosley,John William,1944-08-04T00:00:00Z,2nd Lt,TE-44-G,TAAF,Twin engine,Denver,CO,NA,0,NA,NA,NA,https://cafriseabove.org/lt-col-john-william-mosley/
"Moss, Richard Maurice",Moss,Richard Maurice,1946-05-14T00:00:00Z,Unk,SE-46-B,TAAF,Single engine,NA,NA,NA,0,NA,NA,NA,NA
"Mozee, David M., Jr.",Mozee,"David M., Jr.",1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Mulzac, John Ira",Mulzac,John Ira,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Brooklyn,NY,NA,0,NA,NA,NA,https://cafriseabove.org/john-ira-mulzac-sr/
"Murdic, Robert J.",Murdic,Robert J.,1944-06-27T00:00:00Z,Flight Officer,SE-44-F,TAAF,Single engine,Franklin,TN,NA,0,NA,NA,NA,NA
"Murphy, David J.",Murphy,David J.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,Whiteville,NC,NA,0,NA,NA,NA,NA
"Murray, Louis U.",Murray,Louis U.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Gary,IN,NA,0,NA,NA,NA,NA
"Myers, Charles P.",Myers,Charles P.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Nalle, Russell C., Jr.",Nalle,"Russell C., Jr.",1944-09-08T00:00:00Z,Flight Officer,TE-44-H,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Neblett, Nicholas S.",Neblett,Nicholas S.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Cincinnati,OH,NA,0,NA,NA,NA,https://cafriseabove.org/nicholas-s-neblett/
"Nelson, Dempsey, Jr.",Nelson,"Dempsey, Jr.",1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,https://cafriseabove.org/dempsey-wesley-morgan-jr/
"Nelson, John W.",Nelson,John W.,1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Bronx,NY,NA,0,NA,NA,NA,NA
"Nelson, Lincoln W.",Nelson,Lincoln W.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,San Diego,CA,NA,0,NA,NA,NA,NA
"Nelson, Neal V.",Nelson,Neal V.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,https://cafriseabove.org/neal-victor-nelson/
"Nelson, Robert H.",Nelson,Robert H.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Newman, Christopher W.",Newman,Christopher W.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,https://cafriseabove.org/christopher-w-newman/
"Newsum, Fitzroy",Newsum,Fitzroy,1943-12-05T00:00:00Z,1st Lt,TE-43-K,TAAF,Twin engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Nicholas, Pellissier C.",Nicholas,Pellissier C.,1944-02-08T00:00:00Z,N/A,TE-44-B,TAAF,Twin engine,Port au Prince,Haiti,NA,0,NA,NA,NA,NA
"Nightingale, Elton H.",Nightingale,Elton H.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Tuskegee Inst.,AL,NA,0,NA,NA,NA,https://cafriseabove.org/elton-h-nightingale/
"Noches, Ramon F.",Noches,Ramon F.,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Junction City,KS,NA,0,NA,NA,NA,NA
"Norman, Henry A.",Norman,Henry A.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Gallipolis,OH,NA,0,NA,NA,NA,NA
"Norton, George G., Jr.",Norton,"George G., Jr.",1945-04-15T00:00:00Z,Flight Officer,TE-45-B,TAAF,Twin engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"O'Neal, Walter N.",O'Neal,Walter N.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"O'Neil, Robert",O'Neil,Robert,1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Oates, Horace W.",Oates,Horace W.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Tulsa,OK,NA,0,NA,NA,NA,NA
"Oliphant, Clarence A.",Oliphant,Clarence A.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Council Bluffs,IA,NA,0,NA,NA,NA,NA
"Oliver, Luther L.",Oliver,Luther L.,1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Montgomery,AL,NA,0,NA,NA,NA,NA
"Orduna, Ralph",Orduna,Ralph,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Omaha,NE,NA,0,NA,NA,NA,NA
"Page, Maurice R.",Page,Maurice R.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Palmer, Augustus L.",Palmer,Augustus L.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Newport News,VA,NA,0,NA,NA,NA,NA
"Palmer, Walter J. A.",Palmer,Walter J. A.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,New York,NY,"Downed 1 Me-109 on July 18, 1944",1,NA,NA,NA,https://cafriseabove.org/artifact/2-flight-jacket/
"Parker, Frederick L., Jr.",Parker,"Frederick L., Jr.",1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Parker, George J.",Parker,George J.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Youngstown,OH,NA,0,NA,NA,NA,NA
"Parker, Melvin",Parker,Melvin,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Parkey, Robert M.",Parkey,Robert M.,1944-11-20T00:00:00Z,Flight Officer,TE-44-I,TAAF,Twin engine,DesMoines,IA,NA,0,NA,NA,NA,NA
"Pasquet, Alex",Pasquet,Alex,1943-08-30T00:00:00Z,NA,SE-43-H,TAAF,Single engine,Port au Prince,Haiti,NA,0,NA,NA,NA,NA
"Patton, Humprey C., Jr",Patton,"Humprey C., Jr",1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Patton, Thomas G.",Patton,Thomas G.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,South Franklin,TN,NA,0,NA,NA,NA,NA
"Payne, Turner W.",Payne,Turner W.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Wichita Falls,TX,NA,0,NA,NA,NA,NA
"Payne, Verdelle L.",Payne,Verdelle L.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Mamaroneck,NY,NA,0,NA,NA,NA,NA
"Peirson, Gwynne W.",Peirson,Gwynne W.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Oakland,CA,NA,0,NA,NA,NA,NA
"Pendleton, Frederick D.",Pendleton,Frederick D.,1944-12-28T00:00:00Z,2nd Lt,SE-44-J,TAAF,Single engine,Texarkana,TX,NA,0,NA,NA,NA,NA
"Penn, Starling B.",Penn,Starling B.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,https://cafriseabove.org/starling-b-penn/
"Pennington, Leland H.",Pennington,Leland H.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Rochester,NY,NA,0,NA,NA,NA,https://cafriseabove.org/leland-h-pennington/
"Pennington, Robert F.",Pennington,Robert F.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Little Silver,NJ,NA,0,NA,NA,NA,NA
"Peoples, Francis B.",Peoples,Francis B.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Henderson,NC,NA,0,NA,NA,NA,NA
"Peoples, Henry R..",Peoples,Henry R..,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Perkins, John R., Jr.",Perkins,"John R., Jr.",1944-06-27T00:00:00Z,Flight Officer,TE-44-F,TAAF,Twin engine,Seattle,WA,NA,0,NA,NA,NA,NA
"Perkins, Roscoe C., Jr.",Perkins,"Roscoe C., Jr.",1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Canonsburg,PA,NA,0,NA,NA,NA,NA
"Perkins, Sanford M.",Perkins,Sanford M.,1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Denver,CO,NA,0,NA,NA,NA,NA
"Perry, Henry B.",Perry,Henry B.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Thomasville,GA,NA,0,NA,NA,NA,https://cafriseabove.org/henry-buford-herky-perry/
"Pillow, Robert A.",Pillow,Robert A.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Nashville,TN,NA,0,NA,NA,NA,NA
"Pinkett, John R.",Pinkett,John R.,NA,2nd Lt,45-BI-1,TAAF,Service pilot,Washington,DC,NA,0,NA,NA,NA,NA
"Pinkney, Harvey N.",Pinkney,Harvey N.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Platte, Claude R.",Platte,Claude R.,1948-06-25T00:00:00Z,2nd Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Plinton, James O., Jr.",Plinton,"James O., Jr.",NA,Flight Officer,NA,TAAF,Service pilot,Westfield,NJ,NA,0,NA,NA,NA,NA
"Polkinghorne, James R.",Polkinghorne,James R.,1943-02-16T00:00:00Z,2nd Lt,SE-43-B,TAAF,Single engine,Pensacola,FL,NA,0,NA,NA,NA,https://cafriseabove.org/james-r-polkinghorne-jr/
"Pollard, Henry",Pollard,Henry,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Buffalo,NY,NA,0,NA,NA,NA,https://cafriseabove.org/henry-pollard-jr/
"Pompey, Maurice D.",Pompey,Maurice D.,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,South Bend,IN,NA,0,NA,NA,NA,NA
"Ponder, Driskell B.",Ponder,Driskell B.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Porter, Calvin V.",Porter,Calvin V.,1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Porter, John H.",Porter,John H.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Porter, Robert B.",Porter,Robert B.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Powell, William S., Jr.",Powell,"William S., Jr.",1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Eggertsville,NY,NA,0,NA,NA,NA,https://cafriseabove.org/william-s-powell-jr/
"Prather, George L.",Prather,George L.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Atlanta,GA,NA,0,NA,NA,NA,NA
"Prewitt, Mexion O.",Prewitt,Mexion O.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,East Berkley,WV,NA,0,NA,NA,NA,NA
"Price, Charles R.",Price,Charles R.,1945-10-16T00:00:00Z,Flight Officer,TE-45-G,TAAF,Twin engine,Garden City,KS,NA,0,NA,NA,NA,NA
"Price, William S., III",Price,"William S., III",1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Topeka,KS,"Downed 1 Me-109 on March 16, 1945",1,NA,NA,NA,NA
"Prince, Joseph A.",Prince,Joseph A.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Dayton,OH,NA,0,NA,NA,NA,NA
"Proctor, Norman E.",Proctor,Norman E.,1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Oberlin,OH,NA,0,NA,NA,NA,NA
"Proctor, Oliver W.",Proctor,Oliver W.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Norfolk,VA,NA,0,NA,NA,NA,NA
"Prowell, John H.",Prowell,John H.,1943-02-16T00:00:00Z,2nd Lt,SE-43-B,TAAF,Single engine,Lewisburg,AL,NA,0,NA,NA,NA,https://cafriseabove.org/john-h-prowell/
"Pruitt, Harry S.",Pruitt,Harry S.,1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Independence,KS,NA,0,NA,NA,NA,NA
"Pruitt, Wendell O.",Pruitt,Wendell O.,1942-12-13T00:00:00Z,2nd Lt,SE-42-K,TAAF,Single engine,St. Louis,MO,"Downed 1 Me-109 on June 9, 1944; Downed 1 He-111 and 1 Me-109 on October 12, 1944",3,NA,NA,NA,https://cafriseabove.org/wendell-oliver-pruitt/
"Pulliam, Richard C.",Pulliam,Richard C.,1942-12-13T00:00:00Z,2nd Lt,SE-42-K,TAAF,Single engine,Kansas City,KS,NA,0,NA,NA,NA,NA
"Pullian, Glen W.",Pullian,Glen W.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Purchase, Leon",Purchase,Leon,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Purnell, George B.",Purnell,George B.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Purnell, Louis G.",Purnell,Louis G.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Wilmington,DE,NA,0,NA,NA,NA,NA
"Qualles, John P.",Qualles,John P.,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Bronx,NY,NA,0,NA,NA,NA,NA
"Quander, Charles J., Jr.",Quander,"Charles J., Jr.",1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"Radcliffe, Lloyd L.",Radcliffe,Lloyd L.,1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,New Haven,CT,NA,0,NA,NA,NA,NA
"Ragsdale, Lincoln J.",Ragsdale,Lincoln J.,1945-11-20T00:00:00Z,2nd Lt,SE-45-H,TAAF,Single engine,Ardmore,OK,NA,0,NA,NA,NA,https://cafriseabove.org/lincoln-j-ragsdale-sr/
"Ramsey, James C.",Ramsey,James C.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Augusta,GA,NA,0,NA,NA,NA,https://cafriseabove.org/james-c-ramsey/
"Ramsey, Pierce T.",Ramsey,Pierce T.,1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Rapier, Gordon M.",Rapier,Gordon M.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Gary,IN,NA,0,NA,NA,NA,NA
"Rayburg, Nathaniel P.",Rayburg,Nathaniel P.,1943-11-03T00:00:00Z,Flight Officer,SE-43-J,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Rayford, Lee",Rayford,Lee,1942-05-20T00:00:00Z,2nd Lt,SE-42-E,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,https://cafriseabove.org/lee-rayford/
"Raymond, Frank R.",Raymond,Frank R.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Martinville,LA,NA,0,NA,NA,NA,NA
"Rayner, Ahmed A., Jr.",Rayner,"Ahmed A., Jr.",1944-03-12T00:00:00Z,2nd Lt,TE-44-C,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Rector, John A.",Rector,John A.,1944-09-08T00:00:00Z,1st Lt,TE-44-H,TAAF,Twin engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Reed, Marsille P.",Reed,Marsille P.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Tillar,AR,NA,0,NA,NA,NA,NA
"Reeves, Ronald W.",Reeves,Ronald W.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,https://cafriseabove.org/ronald-w-reeves/
"Reid, Maury M.",Reid,Maury M.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,https://cafriseabove.org/maury-m-reid-jr/
"Reynolds, Clarence E., Jr.",Reynolds,"Clarence E., Jr.",1945-08-04T00:00:00Z,Flight Officer,SE-45-E,TAAF,Single engine,Ahoskie,NC,NA,0,NA,NA,NA,NA
"Rhodes, George M., Jr.",Rhodes,"George M., Jr.",1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Brooklyn,NY,"Downed 1 Fw-190 on August 14, 1944",1,NA,NA,NA,NA
"Rice, Clayo C.",Rice,Clayo C.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Bridgetown,NJ,NA,0,NA,NA,NA,NA
"Rice, Price D.",Rice,Price D.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Montclair,NJ,NA,0,NA,NA,NA,NA
"Rice, William E.",Rice,William E.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Swarthmore,PA,NA,0,NA,NA,NA,https://cafriseabove.org/william-e-rice/
"Rich, Daniel L.",Rich,Daniel L.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Rutherford,NJ,"Downed 1 Me-109 on March 31, 1945",1,NA,NA,NA,NA
"Richardson, Eugene J., Jr.",Richardson,"Eugene J., Jr.",1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Camden,NJ,NA,0,NA,NA,NA,NA
"Richardson, Virgil J.",Richardson,Virgil J.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,NA
"Roach, Charles J.",Roach,Charles J.,1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,Brooklyn,NY,NA,0,NA,NA,NA,NA
