year_ended_june,measure,value,value_unit,value_label
1975,Barley (area sown),104495,number,Hectares
1975,Field peas (area sown),21822,number,Hectares
1975,Maize (area sown),20558,number,Hectares
1975,Wheat (yield),179874,number,Tonnes
1975,Oats (yield),50219,number,Tonnes
1975,Barley (yield),262881,number,Tonnes
1975,Seed/field peas (yield),47522,number,Tonnes
1975,Maize (yield),157599,number,Tonnes
1975,Total All Fertilisers,1819500,number,Tonnes
1976,Number of Farm Holdings,67774,number,Number of farm holdings
1976,Total Area of Farms,21223700,number,Hectares
1976,Total Dairy Cattle (including Bobby Calves),2930000,number,Number of cattle
1976,Rising 1 Year Old Dairy Heifers and Heifer Calves,378100,number,Number of cattle
1976,"Beef Cows and Heifers, Bred from",2230000,number,Number of cattle
1976,Total Beef Cattle,6087000,number,Number of cattle
1976,Total Cattle,9017000,number,Number of cattle
1976,Total Pigs,433000,number,Number of pigs
1976,Breeding Ewes 2 Tooth and Over put to Ram,41200100,number,Number of sheep
1976,Total Sheep,56400000,number,Number of sheep
1976,Total Lambs Marked and/or Tailed,38628000,number,Number of sheep
1976,Wheat (area sown),103742,number,Hectares
1976,Oats (area sown),12792,number,Hectares
1976,Barley (area sown),84739,number,Hectares
1976,Field peas (area sown),18980,number,Hectares
1976,Maize (area sown),26028,number,Hectares
1976,Wheat (yield),388178,number,Tonnes
1976,Oats (yield),41820,number,Tonnes
1976,Barley (yield),285495,number,Tonnes
1976,Seed/field peas (yield),54515,number,Tonnes
1976,Maize (yield),184469,number,Tonnes
1977,Number of Farm Holdings,68571,number,Number of farm holdings
1977,Total Area of Farms,21225500,number,Hectares
1977,Total Dairy Cattle (including Bobby Calves),2899000,number,Number of cattle
1977,Rising 1 Year Old Dairy Heifers and Heifer Calves,381400,number,Number of cattle
1977,"Beef Cows and Heifers, Bred from",2139000,number,Number of cattle
1977,Total Beef Cattle,5839000,number,Number of cattle
1977,Total Cattle,8739000,number,Number of cattle
1977,Total Pigs,485000,number,Number of pigs
1977,Breeding Ewes 2 Tooth and Over put to Ram,42781700,number,Number of sheep
1977,Total Sheep,59105000,number,Number of sheep
1977,Total Lambs Marked and/or Tailed,39699000,number,Number of sheep
1977,Wheat (area sown),96236,number,Hectares
1977,Oats (area sown),16757,number,Hectares
1977,Barley (area sown),74326,number,Hectares
1977,Field peas (area sown),18804,number,Hectares
1977,Maize (area sown),28566,number,Hectares
1977,Wheat (yield),354035,number,Tonnes
1977,Oats (yield),57997,number,Tonnes
1977,Barley (yield),272096,number,Tonnes
1977,Seed/field peas (yield),45023,number,Tonnes
1977,Maize (yield),210419,number,Tonnes
1978,Number of Farm Holdings,69401,number,Number of farm holdings
1978,Grassland and Lucerne,9137693,number,Hectares
1978,Tussock or Danthonia,4928074,number,Hectares
1978,"Crops, Grain, Nursery, Vegetables and Fruit",432940,number,Hectares
1978,Plantations of Exotic Trees,768178,number,Hectares
1978,Total Area of Farms,21254379,number,Hectares
1978,"Dairy Cows and Heifers, in Milk or Calf",2299862,number,Number of cattle
1978,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",34746,number,Number of cattle
1978,"Rising 2 Year Old Dairy Heifers, not in Calf",145358,number,Number of cattle
1978,Total Dairy Cattle (including Bobby Calves),2910736,number,Number of cattle
1978,Rising 1 Year Old Dairy Heifers and Heifer Calves,369815,number,Number of cattle
1978,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2020396,number,Number of cattle
1978,"Beef Cows and Heifers, Bred from",1916358,number,Number of cattle
1978,"Beef Heifer Calves, under 1 Year Old",703552,number,Number of cattle
1978,Total Beef Cattle,5507275,number,Number of cattle
1978,Total Cattle,8418011,number,Number of cattle
1978,"Breeding Sows, over 1 Year Old",55686,number,Number of pigs
1978,Other Pigs,405031,number,Number of pigs
1978,Total Pigs,473149,number,Number of pigs
1978,Mated Gilts,7366,number,Number of pigs
1978,Breeding Ewes 2 Tooth and Over put to Ram,44514600,number,Number of sheep
1978,Total Sheep,61278223,number,Number of sheep
1978,Total Lambs Marked and/or Tailed,39934000,number,Number of sheep
1978,Total goats,28192,number,Number of goats
1978,Wheat (area sown),90982,number,Hectares
1978,Oats (area sown),16222,number,Hectares
1978,Barley (area sown),70837,number,Hectares
1978,Field peas (area sown),20802,number,Hectares
1978,Maize (area sown),24761,number,Hectares
1978,Wheat (yield),328756,number,Tonnes
1978,Oats (yield),51540,number,Tonnes
1978,Barley (yield),258690,number,Tonnes
1978,Seed/field peas (yield),59051,number,Tonnes
1978,Maize (yield),174536,number,Tonnes
1978,Total All Fertilisers,3212530,number,Tonnes
1979,Number of Farm Holdings,70452,number,Number of farm holdings
1979,Grassland and Lucerne,9324808,number,Hectares
1979,Tussock or Danthonia,4665199,number,Hectares
1979,"Crops, Grain, Nursery, Vegetables and Fruit",453295,number,Hectares
1979,Plantations of Exotic Trees,806360,number,Hectares
1979,Total Area of Farms,21231289,number,Hectares
1979,"Dairy Cows and Heifers, in Milk or Calf",2287141,number,Number of cattle
1979,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",36628,number,Number of cattle
1979,"Rising 2 Year Old Dairy Heifers, not in Calf",147044,number,Number of cattle
1979,Total Dairy Cattle (including Bobby Calves),2900089,number,Number of cattle
1979,Rising 1 Year Old Dairy Heifers and Heifer Calves,372642,number,Number of cattle
1979,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2001855,number,Number of cattle
1979,"Beef Cows and Heifers, Bred from",1822513,number,Number of cattle
1979,"Beef Heifer Calves, under 1 Year Old",620555,number,Number of cattle
1979,Total Beef Cattle,5122316,number,Number of cattle
1979,Total Cattle,8022405,number,Number of cattle
1979,"Breeding Sows, over 1 Year Old",51761,number,Number of pigs
1979,Other Pigs,380767,number,Number of pigs
1979,Total Pigs,443452,number,Number of pigs
1979,Mated Gilts,6257,number,Number of pigs
1979,Breeding Ewes 2 Tooth and Over put to Ram,46108000,number,Number of sheep
1979,Total Sheep,63791096,number,Number of sheep
1979,Total Lambs Marked and/or Tailed,40256000,number,Number of sheep
1979,Total goats,48958,number,Number of goats
1979,Total Deer,42080,number,Number of deer
1979,Wheat (area sown),87156,number,Hectares
1979,Oats (area sown),18352,number,Hectares
1979,Barley (area sown),77518,number,Hectares
1979,Field peas (area sown),22632,number,Hectares
1979,Maize (area sown),22287,number,Hectares
1979,Wheat (yield),295028,number,Tonnes
1979,Oats (yield),58249,number,Tonnes
1979,Barley (yield),263580,number,Tonnes
1979,Seed/field peas (yield),63407,number,Tonnes
1979,Maize (yield),178998,number,Tonnes
1980,Number of Farm Holdings,71505,number,Number of farm holdings
1980,Grassland and Lucerne,9471861,number,Hectares
1980,Tussock or Danthonia,4684409,number,Hectares
1980,"Crops, Grain, Nursery, Vegetables and Fruit",434736,number,Hectares
1980,Plantations of Exotic Trees,879442,number,Hectares
1980,Total Area of Farms,21237299,number,Hectares
1980,"Dairy Cows and Heifers, in Milk or Calf",2292849,number,Number of cattle
1980,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",49439,number,Number of cattle
1980,"Rising 2 Year Old Dairy Heifers, not in Calf",159996,number,Number of cattle
1980,Total Dairy Cattle (including Bobby Calves),2968953,number,Number of cattle
1980,Rising 1 Year Old Dairy Heifers and Heifer Calves,400902,number,Number of cattle
1980,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",1999227,number,Number of cattle
1980,"Beef Cows and Heifers, Bred from",1879484,number,Number of cattle
1980,"Beef Heifer Calves, under 1 Year Old",625363,number,Number of cattle
1980,Total Beef Cattle,5162261,number,Number of cattle
1980,Total Cattle,8131214,number,Number of cattle
1980,"Breeding Sows, over 1 Year Old",52147,number,Number of pigs
1980,Other Pigs,369641,number,Number of pigs
1980,Total Pigs,434084,number,Number of pigs
1980,Mated Gilts,7586,number,Number of pigs
1980,Breeding Ewes 2 Tooth and Over put to Ram,48244800,number,Number of sheep
1980,Rams 2 Tooth and Over,958486,number,Number of sheep
1980,Hoggets Ram,460267,number,Number of sheep
1980,Hoggets Wether,2904798,number,Number of sheep
1980,Wethers 2 Tooth and Over,1144123,number,Number of sheep
1980,Total Sheep,68771772,number,Number of sheep
1980,Total Lambs Marked and/or Tailed,45547000,number,Number of sheep
1980,Total goats,52607,number,Number of goats
1980,Total Deer,104359,number,Number of deer
1980,Wheat (area sown),85952,number,Hectares
1980,Oats (area sown),18660,number,Hectares
1980,Barley (area sown),66461,number,Hectares
1980,Field peas (area sown),24222,number,Hectares
1980,Maize (area sown),19374,number,Hectares
1980,Wheat (yield),305768,number,Tonnes
1980,Oats (yield),62039,number,Tonnes
1980,Barley (yield),228347,number,Tonnes
1980,Seed/field peas (yield),69252,number,Tonnes
1980,Maize (yield),156461,number,Tonnes
1980,Total All Fertilisers,3596593,number,Tonnes
1981,Number of Farm Holdings,72515,number,Number of farm holdings
1981,Grassland and Lucerne,9725034,number,Hectares
1981,Tussock or Danthonia,4448466,number,Hectares
1981,"Crops, Grain, Nursery, Vegetables and Fruit",451492,number,Hectares
1981,Grain,197453,number,Hectared
1981,Plantations of Exotic Trees,952806,number,Hectares
1981,Total Area of Farms,21249584,number,Hectares
1981,"Dairy Cows and Heifers, in Milk or Calf",2270878,number,Number of cattle
1981,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",57179,number,Number of cattle
1981,"Rising 2 Year Old Dairy Heifers, not in Calf",140271,number,Number of cattle
1981,Total Dairy Cattle (including Bobby Calves),2922049,number,Number of cattle
1981,Rising 1 Year Old Dairy Heifers and Heifer Calves,394809,number,Number of cattle
1981,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",1976057,number,Number of cattle
1981,"Beef Cows and Heifers, Bred from",1782193,number,Number of cattle
1981,"Beef Heifer Calves, under 1 Year Old",644611,number,Number of cattle
1981,Total Beef Cattle,5113419,number,Number of cattle
1981,Total Cattle,8035468,number,Number of cattle
1981,"Breeding Sows, over 1 Year Old",49495,number,Number of pigs
1981,Other Pigs,360416,number,Number of pigs
1981,Total Pigs,420259,number,Number of pigs
1981,Mated Gilts,5741,number,Number of pigs
1981,Breeding Ewes 2 Tooth and Over put to Ram,49348560,number,Number of sheep
1981,Breeding Ewes 2 Tooth and Over not put to Ram,710492,number,Number of sheep
1981,Rams 2 Tooth and Over,992592,number,Number of sheep
1981,Hoggets Ram,420929,number,Number of sheep
1981,Hoggets Wether,2844472,number,Number of sheep
1981,Wethers 2 Tooth and Over,1581744,number,Number of sheep
1981,Total Sheep,69883765,number,Number of sheep
1981,Total Lambs Marked and/or Tailed,48300000,number,Number of sheep
1981,Total Ram and Wether Hoggets,3265401,number,Number of sheep
1981,Total goats,68061,number,Number of goats
1981,Total male deer,44995,number,Number of deer
1981,Total female deer,64163,number,Number of deer
1981,Total Deer,109158,number,Number of deer
1981,Wheat (area sown),81243,number,Hectares
1981,Oats (area sown),12572,number,Hectares
1981,Barley (area sown),67383,number,Hectares
1981,Field peas (area sown),16833,number,Hectares
1981,Maize (area sown),17224,number,Hectares
1981,Wheat (yield),325723,number,Tonnes
1981,Oats (yield),45096,number,Tonnes
1981,Barley (yield),271446,number,Tonnes
1981,Seed/field peas (yield),54379,number,Tonnes
1981,Maize (yield),152080,number,Tonnes
1981,Superphosphate,794012,number,Tonnes
1981,Lime,1354788,number,Tonnes
1981,Urea,17319,number,Tonnes
1981,Ammonia Sulphate,19132,number,Tonnes
1981,Total All Fertilisers,3508029,number,Tonnes
1982,Number of Farm Holdings,73925,number,Number of farm holdings
1982,Grassland and Lucerne,9663165,number,Hectares
1982,Tussock or Danthonia,4526402,number,Hectares
1982,"Crops, Grain, Nursery, Vegetables and Fruit",469639,number,Hectares
1982,Grain,209299,number,Hectared
1982,Plantations of Exotic Trees,962569,number,Hectares
1982,Total Area of Farms,21263583,number,Hectares
1982,"Dairy Cows and Heifers, in Milk or Calf",2313024,number,Number of cattle
1982,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",75505,number,Number of cattle
1982,"Rising 2 Year Old Dairy Heifers, not in Calf",128746,number,Number of cattle
1982,Total Dairy Cattle (including Bobby Calves),3006664,number,Number of cattle
1982,Rising 1 Year Old Dairy Heifers and Heifer Calves,434715,number,Number of cattle
1982,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2005389,number,Number of cattle
1982,"Beef Cows and Heifers, Bred from",1576035,number,Number of cattle
1982,"Beef Heifer Calves, under 1 Year Old",620611,number,Number of cattle
1982,Total Beef Cattle,4905639,number,Number of cattle
1982,Total Cattle,7912303,number,Number of cattle
1982,"Breeding Sows, over 1 Year Old",46830,number,Number of pigs
1982,Other Pigs,348623,number,Number of pigs
1982,Total Pigs,405771,number,Number of pigs
1982,Mated Gilts,5721,number,Number of pigs
1982,Breeding Ewes 2 Tooth and Over put to Ram,50809562,number,Number of sheep
1982,Breeding Ewes 2 Tooth and Over not put to Ram,750922,number,Number of sheep
1982,Rams 2 Tooth and Over,963907,number,Number of sheep
1982,Ewe Hoggets put to Ram,2104651,number,Number of sheep
1982,Ewe Hoggets not put to Ram,11415034,number,Number of sheep
1982,Hoggets Ram,446337,number,Number of sheep
1982,Hoggets Wether,2422916,number,Number of sheep
1982,Wethers 2 Tooth and Over,1388132,number,Number of sheep
1982,Total Sheep,70301461,number,Number of sheep
1983,Superphosphate,859313,number,Tonnes
1982,Total Lambs Marked and/or Tailed,48134000,number,Number of sheep
1982,Total Ram and Wether Hoggets,2869253,number,Number of sheep
1982,Total goats,92747,number,Number of goats
1982,Total male deer,60696,number,Number of deer
1982,Total female deer,90324,number,Number of deer
1982,Total Deer,151020,number,Number of deer
1982,Wheat (area sown),71506,number,Hectares
1982,Oats (area sown),15854,number,Hectares
1982,Barley (area sown),88534,number,Hectares
1982,Field peas (area sown),17690,number,Hectares
1982,Maize (area sown),18750,number,Hectares
1982,Wheat (yield),292052,number,Tonnes
1982,Oats (yield),60939,number,Tonnes
1982,Barley (yield),355787,number,Tonnes
1982,Seed/field peas (yield),52603,number,Tonnes
1982,Maize (yield),170071,number,Tonnes
1982,Superphosphate,851673,number,Tonnes
1982,Lime,1366463,number,Tonnes
1982,Urea,15059,number,Tonnes
1982,Ammonia Sulphate,15218,number,Tonnes
1982,Total All Fertilisers,3409854,number,Tonnes
1982,Asparagus,2073,number,Hectares
1982,Orchids,103374,number,Square metres
1982,Boysenberries,699,number,Hectares
1982,Blueberries,450,number,Hectares
1982,Wine grapes,5282,number,Hectares
1982,Apples,6208,number,Hectares
1982,Peaches,1202,number,Hectares
1982,Apricots,571,number,Hectares
1982,Plums,546,number,Hectares
1982,Nectarines,706,number,Hectares
1982,Cherries,182,number,Hectares
1982,Kiwifruit,9451,number,Hectares
1982,Avocados,741,number,Hectares
1982,Feijoas,406,number,Hectares
1982,Tamarillos,571,number,Hectares
1982,Oranges,902,number,Hectares
1982,Grapefruit/Goldfruit,510,number,Hectares
1982,Lemons,257,number,Hectares
1982,Mandarins,504,number,Hectares
1982,Tangelos,766,number,Hectares
1982,Raspberries,498,number,Hectares
1983,Number of Farm Holdings,75745,number,Number of farm holdings
1983,Grassland and Lucerne,9673084,number,Hectares
1983,Tussock or Danthonia,4435937,number,Hectares
1983,"Crops, Grain, Nursery, Vegetables and Fruit",481457,number,Hectares
1983,Fodder/Other Crops,168116,number,Hectares
1983,Grain,218069,number,Hectared
1983,Land used for horticulture,95272,number,Hectares
1983,Plantations of Exotic Trees,1001081,number,Hectares
1983,Other land,5674540,number,Hectares
1983,Total Area of Farms,21266099,number,Hectares
1983,"Dairy Cows and Heifers, in Milk or Calf",2403987,number,Number of cattle
1983,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",80910,number,Number of cattle
1983,"Rising 2 Year Old Dairy Heifers, not in Calf",170916,number,Number of cattle
1983,Total Dairy Cattle (including Bobby Calves),3133923,number,Number of cattle
