subcategory,rank,year,name,show,affiliation,title
Visual and Technical Excellence,Winner,2018,Andrew Gooi,NA,foodtalkies.com,Food Talkies
Podcast,Winner,2018,Dan Pashman,NA,"Stitcher, iTunes",The Sporkful
Podcast,Nominee,2018,Rachel Belle,NA,"iTunes, Stitcher, and www.yourlastmealpodcast.com",Your Last Meal (with Rachel Belle)
Radio Show,Nominee,2018,Emily Thomas,NA,BBC World Service,The Food Chain
"Video Webcast, On Location",Winner,2018,Matt Duckor,NA,YouTube and Bon AppÃ©tit Video,"""Working 24 Hours at..."""
"Video Webcast, On Location",Winner,2018,Vincent Cross,NA,YouTube and Bon AppÃ©tit Video,"""Working 24 Hours at..."""
Documentary,Nominee,2018,Eric Heimbold,NA,Multiple film festivals in 2017,Blind Sushi
Radio Show,Nominee,2018,Abigail Leonard,NA,NPR,Every Bite is Precious: Buddhist Cooking in Japan from The Splendid Table
"Video Webcast, Fixed Location and/or Instructional",Winner,2018,Amy Currie,NA,www.pannacooking.com,Panna Cooking: Black Bean-Glazed Salmon with Ginger Cabbage
"Video Webcast, Fixed Location and/or Instructional",Nominee,2018,Patrick Weiland,NA,Travelchannel.com,Andrew in the Kitchen
"Video Webcast, Fixed Location and/or Instructional",Winner,2018,Stephanie Roush,NA,www.pannacooking.com,Panna Cooking: Black Bean-Glazed Salmon with Ginger Cabbage
Documentary,Nominee,2018,Michael Steed,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
Outstanding Personality/Host,Nominee,2018,Rachel Nicole Purnell,NA,Food Network,Barefoot Contessa: Cook Like a Pro
"Video Webcast, Fixed Location and/or Instructional",Winner,2018,Vivian Howard,NA,www.pannacooking.com,Panna Cooking: Black Bean-Glazed Salmon with Ginger Cabbage
Television Segment,Nominee,2018,David Schechter,NA,WFAA-TV Dallas and stations owned by TEGNA Media,Verify
"Video Webcast, On Location",Winner,2018,Andrew Knowlton,NA,YouTube and Bon AppÃ©tit Video,"""Working 24 Hours at..."""
"Video Webcast, Fixed Location and/or Instructional",Nominee,2018,Andrew Zimmern,NA,Travelchannel.com,Andrew in the Kitchen
Special (on TV or Web),Nominee,2018,Amol Mhatre,NA,CBS,"CBS Sunday Morning Â­The Food Issue: Eat, Drink, and Be Merry"
Radio Show,Winner,2018,Elissa Nadworny,NA,NPR,The Legacy of the Mississippi Delta Chinese
Radio Show,Winner,2018,Melissa Block,NA,NPR,The Legacy of the Mississippi Delta Chinese
Podcast,Nominee,2018,Cathy Erway,NA,"Whyweeat.show, Gimlet Media, and Apple Podcasts","Why We Eat What We Eat Episode 2: I Eat Everything, Except..."
Podcast,Winner,2018,Dan Charles,NA,"Stitcher, iTunes",The Sporkful
Podcast,Nominee,2018,Aaron Mason,NA,"iTunes, Stitcher, and www.yourlastmealpodcast.com",Your Last Meal (with Rachel Belle)
Outstanding Personality/Host,Nominee,2018,Vivian Howard,NA,PBS,A Chef's Life
Radio Show,Nominee,2018,Simon Tulett,NA,BBC World Service,The Food Chain
Television Segment,Winner,2018,Mary Beth Durkin,NA,PBS,PBS NewsHour
Documentary,Nominee,2018,Laura Heimbold,NA,Multiple film festivals in 2017,Blind Sushi
Documentary,Winner,2018,Matthew Salleh,NA,Netflix,Barbecue
Documentary,Winner,2018,Rose Tucker,NA,Netflix,Barbecue
Documentary,Nominee,2018,Anthony Bourdain,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
Documentary,Winner,2018,Daniel Joyce,NA,Netflix,Barbecue
Documentary,Nominee,2018,Christopher Collins,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
"Video Webcast, Fixed Location and/or Instructional",Nominee,2018,Grace Young,NA,www.graceyoung.com and YouTube,The Breath of a Wok
Visual and Technical Excellence,Nominee,2018,Rose Tucker,NA,Netflix,Barbecue
Special (on TV or Web),Nominee,2018,Amy Rosner,NA,CBS,"CBS Sunday Morning Â­The Food Issue: Eat, Drink, and Be Merry"
Documentary,Nominee,2018,Joseph Caterini,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
Television Segment,Nominee,2018,Chance Horner,NA,WFAA-TV Dallas and stations owned by TEGNA Media,Verify
"Video Webcast, On Location",Nominee,2017,Michelle Jacoby,NA,"foodtalkies.com, readbite.com",Elements
"Video Webcast, On Location",Winner,2017,Meghan Scibona,NA,video.bonappetit.com,Working 24 Hours atâ€¦
"Video Webcast, On Location",Nominee,2017,Andrew Gooi,NA,"foodtalkies.com, readbite.com",Elements
"Video Webcast, On Location",Nominee,2017,Mark Lipczynski,NA,"foodtalkies.com, readbite.com",Elements
"Video Webcast, On Location",Winner,2017,Joe Williams,NA,video.bonappetit.com,Working 24 Hours atâ€¦
Podcast,Nominee,2017,Anne Noyes Saini,NA,sporkful.com,The Sporkful
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Eric Gillin,NA,Epicurious.com,No Recipe Required
"Video Webcast, On Location",Winner,2017,Andrew Knowlton,NA,video.bonappetit.com,Working 24 Hours atâ€¦
"Video Webcast, On Location",Nominee,2017,James Mulcahy,NA,"YouTube, zagat.com",Ethical Meat: Responsible Farming in America
Podcast,Winner,2017,Katherine Cole,NA,"npr.org, iTunes",The Four Top
Podcast,Nominee,2017,Marty Goldensohn,NA,Serious Eats,Special Sauce
Podcast,Winner,2017,Morgan Holm,NA,"npr.org, iTunes",The Four Top
Podcast,Nominee,2017,Shoshana Gold,NA,sporkful.com,The Sporkful
Podcast,Nominee,2017,Ed Levine,NA,Serious Eats,Special Sauce
Podcast,Nominee,2017,Dan Pashman,NA,sporkful.com,The Sporkful
"Video Webcast, On Location",Nominee,2017,Ryan Ffrench,NA,"YouTube, zagat.com",Ethical Meat: Responsible Farming in America
Documentary,Winner,2017,Masako Tsumura,NA,"iTunes, PBS, vhx.tv",The Birth of SakÃ©
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Greta Anthony,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
Documentary,Nominee,2017,Roland Fraval,NA,"Itunes, Google Play, Thecoffeemanfilm.com",The Coffee Man
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Samantha Schutz,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Anna Stockwell,NA,Epicurious.com,No Recipe Required
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Paul Conigliaro,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Tom Godfrey,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Thomas Joseph,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
Outstanding Personality/Host,Winner,2017,Andrew Zimmern,NA,"Travel Channel, andrewzimmern.com",Andrew Zimmern's Bucket List; Andrew Zimmern's Driven by Food; Bizarre Foods with Andrew Zimmern
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Matt Duckor,NA,Epicurious.com,No Recipe Required
Podcast,Nominee,2017,Dan Charles,NA,sporkful.com,The Sporkful
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Andrew Zimmern,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
Visual and Technical Excellence,Nominee,2017,Andrew Gooi,NA,"foodtalkies.com, readbite.com",Food Talkies
"Video Webcast, On Location",Nominee,2017,James Mulcahy,NA,"YouTube, zagat.com",Ethical Meat: Responsible Farming in America
Special (TV or Web),Winner,2017,Shelly Burgess Nicotra,NA,PBS,Lidia Celebrates America: Holiday for Heroes
"Video Webcast, On Location",Nominee,2017,Ryan Ffrench,NA,"YouTube, zagat.com",Ethical Meat: Responsible Farming in America
"Television Program, in Studio or Fixed Location",Nominee,2017,Shane Smith,NA,Viceland,Bong AppÃ©tit
Television Segment,Nominee,2017,Alex Wagner,NA,"CBS, cbsnews.com","CBS This Morning Saturday, The Dish"
Television Segment,Winner,2017,Gina Romero,NA,"KTVA Anchorage, ktva.com",Harvesting Alaska
Outstanding Personality/Host,Nominee,2017,Emeril Lagasse,NA,Amazon Prime Video,Eat the World with Emeril Lagasse
Podcast,Nominee,2017,Anne Noyes Saini,NA,sporkful.com,The Sporkful
Visual and Technical Excellence,Winner,2017,Aaron Warzynski,NA,tastemade.com,Uncharted
Special (TV or Web),Nominee,2017,Sangita Chandra,NA,"WCVB Boston, wcvb.com",WCVB TV Chronicle â€“ Chocolate
"Video Webcast, On Location",Nominee,2017,Mark Lipczynski,NA,"foodtalkies.com, readbite.com",Elements
Visual and Technical Excellence,Nominee,2017,Andrew Gooi,NA,"foodtalkies.com, readbite.com",Food Talkies
"Television Program, in Studio or Fixed Location",Nominee,2017,Kathleen Flood,NA,Viceland,Bong AppÃ©tit
"Television Program, on Location",Nominee,2017,Jared Andrukanis,NA,"PBS, YouTube",The Mind of a Chef
"Television Program, on Location",Nominee,2017,Gillian Brown,NA,"PBS, YouTube",The Mind of a Chef
"Television Program, on Location",Nominee,2017,Michael Steed,NA,"PBS, YouTube",The Mind of a Chef
Special (TV or Web),Nominee,2017,Ina Garten,NA,Food Network,Barefoot in Washington
"Television Program, on Location",Nominee,2017,Joseph Caterini,NA,"PBS, YouTube",The Mind of a Chef
"Television Program, on Location",Nominee,2017,Morgan Fallon,NA,"PBS, YouTube",The Mind of a Chef
"Video Webcast, On Location",Winner,2017,Joe Williams,NA,video.bonappetit.com,Working 24 Hours atâ€¦
"Video Webcast, On Location",Winner,2017,Andrew Knowlton,NA,video.bonappetit.com,Working 24 Hours atâ€¦
"Television Program, on Location",Nominee,2017,Krissy Lefebvre,NA,"PBS, YouTube",The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Eric Gillin,NA,Epicurious.com,No Recipe Required
"Television Program, on Location",Nominee,2017,Ludovic Lefebvre,NA,"PBS, YouTube",The Mind of a Chef
Special (TV or Web),Nominee,2017,Bridget Lumley,NA,Food Network,Barefoot in Washington
"Television Program, on Location",Nominee,2017,Anthony Bourdain,NA,"PBS, YouTube",The Mind of a Chef
"Television Program, on Location",Nominee,2017,Christopher Collins,NA,"PBS, YouTube",The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Matt Duckor,NA,Epicurious.com,No Recipe Required
Special (TV or Web),Nominee,2017,Carl Green,NA,Food Network,Barefoot in Washington
Television Segment,Nominee,2017,Steve Dolinsky,NA,"ABC 7 Chicago, abc7chicago.com",ABC 7 News â€“ The Hungry Hound
Special (TV or Web),Winner,2017,Laurie Donnelly,NA,PBS,Lidia Celebrates America: Holiday for Heroes
"Television Program, on Location",Nominee,2017,Bill Pruitt,NA,"Amazon Prime Video, YouTube",Eat the World with Emeril Lagasse
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,David Tamarkin,NA,Epicurious.com,No Recipe Required
"Television Program, on Location",Nominee,2017,Lydia Tenaglia,NA,"PBS, YouTube",The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Anna Stockwell,NA,Epicurious.com,No Recipe Required
"Video Webcast, On Location",Winner,2017,Meghan Scibona,NA,video.bonappetit.com,Working 24 Hours atâ€¦
Television Segment,Nominee,2017,Marci Waldman,NA,"CBS, cbsnews.com","CBS This Morning Saturday, The Dish"
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Thomas Joseph,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
Radio Show,Winner,2017,Davia Nelson,NA,"NPR's Morning Edition, npr.org",Hidden Kitchens: War & Peace & Food
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Samantha Schutz,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
Radio Show,Winner,2017,Nikki Silva,NA,"NPR's Morning Edition, npr.org",Hidden Kitchens: War & Peace & Food
Radio Show,Nominee,2017,Joseph Stone,NA,"KCRW Santa Monica, npr.org",Good Food
"Television Program, on Location",Winner,2017,Andrew Fried,NA,Netflix,Chef's Table
Outstanding Personality/Host,Nominee,2017,Mario Batali,NA,munchies.vice.com,Moltissimo
Special (TV or Web),Nominee,2017,Olivia Ball,NA,Food Network,Barefoot in Washington
Special (TV or Web),Winner,2017,Lidia Bastianich,NA,PBS,Lidia Celebrates America: Holiday for Heroes
"Television Program, on Location",Winner,2017,Dane Lillegard,NA,Netflix,Chef's Table
"Video Webcast, On Location",Nominee,2017,Andrew Gooi,NA,"foodtalkies.com, readbite.com",Elements
Special (TV or Web),Nominee,2017,Rachel Nicole Purnell,NA,Food Network,Barefoot in Washington
"Television Program, on Location",Nominee,2017,Tim Duffy,NA,"Amazon Prime Video, YouTube",Eat the World with Emeril Lagasse
"Video Webcast, Fixed Location and/or Instructional",Winner,2017,Greta Anthony,NA,"marthastewart.com, YouTube",Kitchen Conundrums with Thomas Joseph
"Television Program, on Location",Nominee,2017,Emeril Lagasse,NA,"Amazon Prime Video, YouTube",Eat the World with Emeril Lagasse
"Television Program, in Studio or Fixed Location",Nominee,2017,Robert Sullivan,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
"Television Program, in Studio or Fixed Location",Nominee,2017,Mark Schneider,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
"Television Program, on Location",Winner,2017,David Gelb,NA,Netflix,Chef's Table
Radio Show,Nominee,2017,Abbie Fentress Swanson,NA,"KCRW Santa Monica, npr.org",Good Food
"Television Program, on Location",Winner,2017,Brian McGinn,NA,Netflix,Chef's Table
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Andrew Zimmern,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Paul Conigliaro,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
Radio Show,Nominee,2017,Laryl Garcia,NA,"KCRW Santa Monica, npr.org",Good Food
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Nathan Matson,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
"Television Program, in Studio or Fixed Location",Nominee,2017,Allie Wyman,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
Podcast,Nominee,2017,Shoshana Gold,NA,sporkful.com,The Sporkful
Podcast,Nominee,2017,Dan Charles,NA,sporkful.com,The Sporkful
"Television Program, in Studio or Fixed Location",Winner,2017,Chris Knight,NA,"Gusto, gustotv.com",Fish the Dish
Radio Show,Nominee,2017,Lisa Morehouse,NA,"KQED San Francisco, NPR's Weekend Edition and The Salt, californiafoodways.com",California Foodways
"Television Program, in Studio or Fixed Location",Nominee,2017,Pati Jinich,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
"Television Program, in Studio or Fixed Location",Nominee,2017,Gordon Elliott,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
"Television Program, in Studio or Fixed Location",Nominee,2017,Dan Connell,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
Special (TV or Web),Winner,2017,Anne Adams,NA,PBS,Lidia Celebrates America: Holiday for Heroes
"Television Program, on Location",Winner,2017,Matthew Weaver,NA,Netflix,Chef's Table
"Television Program, in Studio or Fixed Location",Nominee,2017,Talin Middleton,NA,Viceland,Bong AppÃ©tit
Radio Show,Nominee,2017,Camellia Tse,NA,"KCRW Santa Monica, npr.org",Good Food
Television Segment,Nominee,2017,Anthony Mason,NA,"CBS, cbsnews.com","CBS This Morning Saturday, The Dish"
"Video Webcast, Fixed Location and/or Instructional",Nominee,2017,Tom Godfrey,NA,andrewzimmern.thebigknow.com,Andrew Zimmern's Kitchen - Online Culinary Literacy Courses
"Video Webcast, On Location",Nominee,2017,Michelle Jacoby,NA,"foodtalkies.com, readbite.com",Elements
"Television Program, in Studio or Fixed Location",Winner,2017,Spencer Watts,NA,"Gusto, gustotv.com",Fish the Dish
Television Segment,Winner,2017,Lauren Maxwell,NA,"KTVA Anchorage, ktva.com",Harvesting Alaska
"Television Program, in Studio or Fixed Location",Nominee,2017,Maria Elena Gutierrez,NA,"WETA Washington, PBS stations, YouTube",Pati's Mexican Table
Radio Show,Nominee,2017,Evan Kleinman,NA,"KCRW Santa Monica, npr.org",Good Food
Television Segment,Winner,2017,Heather Hintze,NA,"KTVA Anchorage, ktva.com",Harvesting Alaska
Radio Show,Nominee,2016,Allison Aubrey,NA,NPR,Eating In Sync With Our Master Clocks
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Matt Duckor,NA,epicurious.com,3-Ingredient Recipes
"Television Program, on Location",Nominee,2016,Jonathan Cianfrani,NA,PBS,The Mind of a Chef
Radio Show,Nominee,2016,Dan Charles,NA,NPR,Devotion to Food: Two Portraits
"Video Webcast, Fixed Location and/or Instructional",Winner,2016,Raghavan Iyer,NA,www.craftsy.com,Indian Curries: The Basics & Beyond
"Television Program, on Location",Nominee,2016,Jared Andrukanis,NA,PBS,The Mind of a Chef
"Television Program, on Location",Nominee,2016,Michael Steed,NA,PBS,The Mind of a Chef
Documentary,Winner,2016,Jesse Roesler,NA,"DirecTV Audience Network, iTunes",The Starfish Throwers
"Video Webcast, On Location",Nominee,2016,James Mulcahy,NA,youtube.com/zagat,Seafood at the Source
"Television Program, on Location",Nominee,2016,Alexandra Chaden,NA,PBS,The Mind of a Chef
Specials,Nominee,2016,Rand Morrison,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
"Television Program, in Studio or Fixed Location",Nominee,2016,Tina Salter,NA,KQED-TV,Jacques PÃ©pin Heart & Soul
"Television Program, in Studio or Fixed Location",Nominee,2016,Dan Connell,NA,WETA,Patiâ€™s Mexican Table
Visual and Technical Excellence,Nominee,2016,Justin Barocas,NA,Cooking Channel,Avec Eric Season 3
