subcategory,rank,year,name,title,publisher
Single Subject,Winner,2019,James Whetlor,Goat,(Quadrille)
Single Subject,Nominee,2019,Grant Harrington,Bread & Butter,(Quadrille)
Single Subject,Nominee,2019,Bill Kim,Korean BBQ,(Ten Speed Press)
Restaurant and Professional,Nominee,2019,Sarah Rich,Rich Table,(Chronicle Books)
Beverage,Winner,2019,Justin Hammack,Wine Folly: Magnum Edition,(Avery)
Health and Special Diets,Winner,2019,Sam Kass,Eat a Little Better,(Clarkson Potter)
International,Nominee,2019,Austin Bush,The Food of Northern Thailand,(Clarkson Potter)
Single Subject,Nominee,2019,Chandra Ram,Korean BBQ,(Ten Speed Press)
Single Subject,Nominee,2019,Richard Snapes,Bread & Butter,(Quadrille Publishing)
Baking & Desserts,Nominee,2019,Jerrelle Guy,Black Girl Baking,(Page Street Publishing Co.)
Writing,Winner,2019,Edward Lee,Buttermilk Graffiti,(Artisan Books)
"Reference, History, and Scholarship",Winner,2019,Anna Zeide,Canned,(University of California Press)
"Reference, History, and Scholarship",Nominee,2019,Julian Rankin,Catfish Dream,(University of Georgia Press)
Writing,Nominee,2019,Jonathan Kauffman,Hippie Food,(William Morrow)
"Reference, History, and Scholarship",Nominee,2019,Justin Nystrom,Creole Italian,(University of Georgia Press)
Writing,Nominee,2019,Matthew Goulding,Pasta Pane Vino,(Harper Wave/Anthony Bourdain)
Restaurant and Professional,Nominee,2019,Peter Gilmore,From The Earth,(Hardie Grant Books)
Photography,Nominee,2019,Luisa Brimble,Wild,(Prestel Publishing)
Photography,Winner,2019,Andrea Fazzari,Tokyo New Wave,(Ten Speed Press)
Restaurant and Professional,Nominee,2019,Evan Rich,Rich Table,(Chronicle Books)
Vegetable-Focused Cooking,Nominee,2019,Cal Peternell,"Almonds, Anchovies, and Pancetta",(William Morrow Cookbooks)
Restaurant and Professional,Winner,2019,Matt Abergel,Chicken and Charcoal,(Phaidon Press)
Beverage,Nominee,2019,Grant Achatz,The Aviary Cocktail Book,(The Alinea Group)
Baking & Desserts,Winner,2019,Lucy Malouf,SUQAR,(Hardie Grant Books)
International,Nominee,2019,Miguel Trinidad,I Am A Filipino,(Artisan Books)
Baking & Desserts,Nominee,2019,Cathy Barrow,Pie Squared,(Grand Central Publishing)
American,Nominee,2019,Jessica B Harris,Sweet Home Cafe Cookbook,(Smithsonian Books)
Health and Special Diets,Nominee,2019,Jodi Moreno,More with Less,(Roost Books)
General,Nominee,2019,Yotam Ottolenghi,Ottolenghi Simple,(Ten Speed Press)
Health and Special Diets,Nominee,2019,Editors at America's Test Kitchen,The Complete Diabetes Cookbook,(America's Test Kitchen)
American,Winner,2019,Veronica Chambers,Between Harlem and Heaven,(Flatiron Books)
General,Nominee,2019,Dorie Greenspan,Everyday Dorie,(Rux Martin/Houghton Mifflin Harcourt)
Book of the Year,Winner,2019,Nick Fauchald,Cocktail Codex,(Ten Speed Press)
Book of the Year,Winner,2019,Devon Tarby,Cocktail Codex,(Ten Speed Press)
Cookbook Hall of Fame,Winner,2019,Jessica B Harris,NA,NA
Book of the Year,Winner,2019,Alex Day,Cocktail Codex,(Ten Speed Press)
Book of the Year,Winner,2019,David Kaplan,Cocktail Codex,(Ten Speed Press)
American,Winner,2019,Alexander Smalls,Between Harlem and Heaven,(Flatiron Books)
Beverage,Winner,2019,Madeline Puckette,Wine Folly: Magnum Edition,(Avery)
Beverage,Nominee,2019,Sarah Hemberger,The Aviary Cocktail Book,(The Alinea Group)
International,Winner,2019,Anissa Helou,Feast: Food of the Islamic World,(Ecco)
American,Nominee,2019,Cynthia Chen McTernan,A Common Table,(Rodale)
Beverage,Nominee,2019,Alex Day,Cocktail Codex,(Ten Speed Press)
Beverage,Nominee,2019,Rebekah Peppler,APÉRITIF,(Clarkson Potter)
Beverage,Nominee,2019,David Kaplan,Cocktail Codex,(Ten Speed Press)
Beverage,Nominee,2019,Devon Tarby,Cocktail Codex,(Ten Speed Press)
Vegetable-Focused Cooking,Nominee,2019,Cameron Stauch,Vegetarian Viet Nam,(W. W. Norton & Company)
Beverage,Nominee,2019,Nick Fauchald,Cocktail Codex,(Ten Speed Press)
Vegetable-Focused Cooking,Winner,2019,Ilene Rosen,Saladish,(Artisan Books)
American,Winner,2019,Jj Johnson,Between Harlem and Heaven,(Flatiron Books)
Baking & Desserts,Winner,2019,Richard Snapes,SUQAR,(Hardie Grant Books)
Beverage,Nominee,2019,Micah Melton,The Aviary Cocktail Book,(The Alinea Group)
American,Nominee,2019,Albert G. Lukas,Sweet Home Cafe Cookbook,(Smithsonian Books)
Photography,Nominee,2019,Nik Sharma,Season,(Chronicle Books)
International,Nominee,2019,Nicole Ponseca,I Am A Filipino,(Artisan Books)
General,Winner,2019,Christopher Kimball,MILK STREET: Tuesday Nights,"(Little, Brown and Company)"
Beverage,Nominee,2019,Allen Hemberger,The Aviary Cocktail Book,(The Alinea Group)
American,Nominee,2018,Erin French,The Lost Kitchen,(Clarkson Potter)
American,Winner,2018,Sean Sherman,The Sioux Chef's Indigenous Kitchen,(University of Minnesota Press)
American,Winner,2018,Beth Dooley,The Sioux Chef's Indigenous Kitchen,(University of Minnesota Press)
American,Nominee,2018,Matthew Shane Jennings,Homegrown: Cooking From My New England Roots,(Artisan Books)
Photography,Nominee,2018,Peden + Munk,Sweet,(Ten Speed Press)
Baking & Desserts,Winner,2018,Stella Parks,BraveTart: Iconic American Desserts,(W. W. Norton & Company)
Baking & Desserts,Nominee,2018,Yotam Ottolenghi,Sweet,(Ten Speed Press)
Baking & Desserts,Winner,2018,Stella Parks,BraveTart: Iconic American Desserts,(W. W. Norton & Company)
Restaurant and Professional,Winner,2018,Francisco Migoya,Modernist Bread,(The Cooking Lab)
Single Subject,Nominee,2018,Chris Cosentino,Offal Good,(Clarkson Potter)
Photography,Nominee,2018,Peden + Munk,Sweet,(Ten Speed Press)
Writing,Nominee,2018,Emily Kaiser Thelin,Unforgettable: The Bold Flavors of Paula Wolfert's Renegade Life,(Grand Central Life & Style)
Writing,Nominee,2018,Lizzie Collingham,The Taste of Empire: How Britain's Quest for Food Shaped the Modern World,(Hachette Book Group / Basic Books)
Single Subject,Nominee,2018,Michael Harlan Turkell,Offal Good,(Clarkson Potter)
Restaurant and Professional,Nominee,2018,Jeremy Fox,On Vegetables: Modern Recipes for the Home Kitchen,(Phaidon)
Vegetable-Focused Cooking,Nominee,2018,Kathleen Squires,The Book of Greens,(Ten Speed Press)
Baking & Desserts,Nominee,2018,Yotam Ottolenghi,Sweet,(Ten Speed Press)
Single Subject,Nominee,2018,Rachael S. Mamane,Mastering Stocks and Broths,(Chelsea Green Publishing)
Single Subject,Winner,2018,Andrea Nguyen,The Pho Cookbook,(Ten Speed Press)
Restaurant and Professional,Nominee,2018,Noah Galuten,On Vegetables: Modern Recipes for the Home Kitchen,(Phaidon)
Restaurant and Professional,Nominee,2018,Stuart Brioza,State Bird Provisions,(Ten Speed Press)
Vegetable-Focused Cooking,Nominee,2018,Deborah Madison,In My Kitchen,(Ten Speed Press)
Restaurant and Professional,Nominee,2018,Nicole Krasinski,State Bird Provisions,(Ten Speed Press)
Photography,Winner,2018,Johnny Miller,Cook Beautiful,(Abrams)
"Reference, History, and Scholarship",Winner,2018,Peter Liem,Champagne,(Ten Speed Press)
Vegetable-Focused Cooking,Winner,2018,Martha Holmberg,Six Seasons: A New Way with Vegetables,(Artisan Books)
"Reference, History, and Scholarship",Nominee,2018,Maricel Presilla,Peppers of the Americas,(Lorena Jones Books)
Restaurant and Professional,Nominee,2018,Jj Goode,State Bird Provisions,(Ten Speed Press)
"Reference, History, and Scholarship",Nominee,2018,David Shields,The Culinarians: Lives and Careers from the First Age of American Fine Dining,(University of Chicago Press)
International,Nominee,2018,Reem Kassis,The Palestinian Table,(Phaidon)
Photography,Nominee,2018,Karen Mordechai,Simple Fare: Spring and Summer,(Abrams)
Vegetable-Focused Cooking,Nominee,2018,Jenn Louis,The Book of Greens,(Ten Speed Press)
International,Winner,2018,Gonzalo Guzman,Nopalito,(Ten Speed Press)
Health and Special Diets,Nominee,2018,Carla Oates,The Beauty Chef,(Hardie Grant Books)
General,Nominee,2018,Christopher Kimball,Christopher Kimball's Milk Street: The New Home Cooking,"(Little, Brown and Company)"
General,Nominee,2018,Melissa Clark,Dinner: Changing the Game,(Dinner: Changing the Game)
Health and Special Diets,Winner,2018,Deepa Thomas,Deepa's Secrets,(Skyhorse)
General,Winner,2018,Samin Nosrat,"Salt, Fat, Acid, Heat",(Simon and Schuster)
International,Winner,2018,Stacy Adimando,Nopalito,(Ten Speed Press)
Health and Special Diets,Nominee,2018,Nick Barnard,Eat Right,(Kyle Books)
Vegetable-Focused Cooking,Winner,2018,Joshua McFadden,Six Seasons: A New Way with Vegetables,(Artisan Books)
Baking & Desserts,Nominee,2018,William Yosses,The Sweet Spot: Dialing Back Sugar and Amping Up Flavor,(Pam Krauss Books)
Beverage,Nominee,2018,Robert Simonson,3-Ingredient Cocktails,(Ten Speed Press)
Baking & Desserts,Nominee,2018,Peter Kaminsky,The Sweet Spot: Dialing Back Sugar and Amping Up Flavor,(Pam Krauss Books)
Baking & Desserts,Nominee,2018,Helen Goh,Sweet,(Ten Speed Press)
Beverage,Winner,2018,Jim Meehan,Meehan's Bartender Manual,(Ten Speed Press)
International,Nominee,2018,Megan Fawn Schlow,Paladares,(Abrams)
Writing,Winner,2018,Michael Twitty,The Cooking Gene,(Amistad)
Beverage,Nominee,2018,Emma Janzen,"Mezcal: The History, Craft & Cocktails of the Worldâ€™s Ultimate Artisanal Spirit",(Voyageur Press)
Restaurant and Professional,Winner,2018,Nathan Myhrvold,Modernist Bread,(The Cooking Lab)
Baking & Desserts,Winner,2017,Dorie Greenspan,Dorie's Cookies,(Rux Martin/Houghton Mifflin Harcourt)
Baking & Desserts,Nominee,2017,Uri Scheft,Breaking Breads: A New World of Israeli Baking,(Artisan)
Baking & Desserts,Nominee,2017,Raquel Pelzel,Breaking Breads: A New World of Israeli Baking,(Artisan)
Beverage,Winner,2017,Martin Cate,"Smugglerâ€™s Cove: Exotic Cocktails, Rum, and the Cult of Tiki",(Ten Speed Press)
Nonfiction,Nominee,2017,Yasmin Khan,Food City: Four Centuries of Food-Making in New York,(W. W. Norton & Company)
American Cooking,Nominee,2017,Martha Hall Foose,My Two Souths: Blending the Flavors of India into a Southern Kitchen,(Running Press)
Cookbook Hall of Fame,Winner,2017,Judith A. Jones,NA,NA
Book of the Year,Winner,2017,Ronni Lundy,"Victuals: An Appalachian Journey, with Recipes",()
American Cooking,Winner,2017,Ronni Lundy,"Victuals: An Appalachian Journey, with Recipes",(Clarkson Potter)
Baking & Desserts,Nominee,2017,Kate McDermott,"Art of the Pie: A Practical Guide to Homemade Crusts, Fillings and Life",(Countryman Press)
Beverage,Nominee,2017,Talia Baiocchi,"Spritz: Italy's Most Iconic Aperitivo Cocktail, with Recipes",(Ten Speed Press)
General Cooking,Nominee,2017,Editors of Cook's Illustrated Magazine,Cook's Science: How to Unlock Flavor in 50 of Our Favorite Ingredients,(Cook's Illustrated)
American Cooking,Nominee,2017,Vivian Howard,Deep Run Roots: Stories and Recipes from My Corner of the South,"(Little, Brown and Company)"
General Cooking,Nominee,2017,Rachel Nicole Purnell,Cooking for Jeffrey: A Barefoot Contessa Cookbook,(Clarkson Potter)
Photography,Nominee,2017,Claire Cottrell,Everything I Want To Eat: Sqirl and the New California Cooking,(Harry N. Abrams)
Photography,Nominee,2017,Jaime Beechum,Everything I Want To Eat: Sqirl and the New California Cooking,(Harry N. Abrams)
Beverage,Nominee,2017,Leslie Pariseau,"Spritz: Italy's Most Iconic Aperitivo Cocktail, with Recipes",(Ten Speed Press)
Photography,Nominee,2017,Nacho Alegre,Everything I Want To Eat: Sqirl and the New California Cooking,(Harry N. Abrams)
Photography,Winner,2017,Chris Court,Taste & Technique: Recipes to Elevate Your Home Cooking,(Ten Speed Press)
International,Winner,2017,Naomi Duguid,"Taste of Persia: A Cook's Travels Through Armenia, Azerbaijan, Georgia, Iran, and Kurdistan",(Artisan)
American Cooking,Nominee,2017,Asha Gomez,My Two Souths: Blending the Flavors of India into a Southern Kitchen,(Running Press)
Single Subject,Nominee,2017,Ken Forkish,The Elements of Pizza: Unlocking the Secrets to World-Class Pies at Home,(Ten Speed Press)
Single Subject,Winner,2017,Nick Haddow,"Milk. Made.: A Book About Cheese. How to Choose It, Serve It and Eat It",(Hardie Grant)
Vegetable Cooking,Nominee,2017,Michelle McKenzie,"Dandelion and Quince: Exploring the Wide World of Unusual Vegetables, Fruits, and Herbs",(Roost Books)
Reference and Scholarship,Nominee,2017,Jamie Goode,I Taste Red: The Science of Tasting Wine,(University of California Press)
Reference and Scholarship,Nominee,2017,Rod Phillips,French Wine: A History,(University of California Press)
Reference and Scholarship,Winner,2017,Catherine Donnelly,The Oxford Companion to Cheese,(Oxford University Press)
Single Subject,Nominee,2017,John Currence,Big Bad Breakfast: The Most Important Book of the Day,(Ten Speed Press)
Vegetable Cooking,Winner,2017,Salma Hage,The Middle Eastern Vegetarian Cookbook,(Phaidon Press)
Vegetable Cooking,Nominee,2017,Cara Mangini,"The Vegetable Butcher: How to Select, Prep, Slice, Dice, and Masterfully Cook Vegetables from Artichokes to Zucchini",(Workman Publishing Company)
Nonfiction,Winner,2017,Andrew Coe,A Square Meal: A Culinary History of the Great Depression,(Harper)
Nonfiction,Nominee,2017,Questlove N/A,Something to Food About: Exploring Creativity with Innovative Chefs,(Clarkson Potter)
Nonfiction,Nominee,2017,Ben Greenman,Something to Food About: Exploring Creativity with Innovative Chefs,(Clarkson Potter)
International,Nominee,2017,Carolyn Phillips,All Under Heaven: Recipes from the 35 Cuisines of China,(Ten Speed Press)
International,Nominee,2017,Fuchsia Dunlop,Land of Fish and Rice: Recipes from the Culinary Heart of China,(W. W. Norton & Company)
Health,Nominee,2017,Gina Homolka,Skinnytaste Fast and Slow: Knockout Quick-Fix and Slow Cooker Recipes,(Clarkson Potter)
General Cooking,Winner,2017,Meike Peters,"Eat in My Kitchen: To Cook, to Bake, to Eat, and to Treat",(Prestel)
Health,Nominee,2017,Heather Christo,"Pure Delicious: More Than 150 Delectable Allergen-Free Recipes Without Gluten, Dairy, Eggs, Soy, Peanuts, Tree Nuts, Shellfish, or Cane Sugar",(Pam Krauss/Avery)
Health,Winner,2017,Ellie Krieger,"You Have It Made: Delicious, Healthy, Do-Ahead Meals",(Houghton Mifflin Harcourt)
Photography,Nominee,2017,Bobby Fisher,Appetites,(Ecco)
Cooking from a Professional point of view,Winner,2017,Pierre Koffmann,Classic Koffmann,(Jacqui Small)
Cooking from a Professional point of view,Nominee,2017,Virgilio Martinez,Central,(Phaidon Press)
Beverage,Nominee,2017,Frank Caiafa,The Waldorf Astoria Bar Book,(Penguin)
Cooking from a Professional point of view,Nominee,2017,Nicholas Gill,Central,(Phaidon Press)
Cooking from a Professional point of view,Nominee,2017,Jason Licker,Lickerland: Asian-Accented Desserts by Jason Licker,(Sirivatana Interprint Public Company Limited)
Nonfiction,Winner,2017,Jane Ziegelman,A Square Meal: A Culinary History of the Great Depression,(Harper)
Cooking from a Professional point of view,Nominee,2016,Allison Hopelain,This Is Camino,(Ten Speed Press)
Focus on Health,Nominee,2016,Jamie Oliver,Everyday Super Food,(Ecco)
Focus on Health,Nominee,2016,Anne Ogden Gaffney,"Cook For Your Life: Delicious, Nourishing Recipes for Before, During, and After Cancer Treatment",(Avery)
Beverage,Nominee,2016,Tom Acitelli,American Wine: A Coming-of-Age Story,(Chicago Review Press)
Beverage,Nominee,2016,Matthew Rowley,Lost Recipes of Prohibition: Notes from a Bootlegger's Manual,(Countryman Press)
Cooking from a Professional point of view,Winner,2016,Ramael Scully,NOPI: The Cookbook,(Ten Speed Press)
Baking & Desserts,Nominee,2016,Abby Dodge,The Everyday Baker,(The Taunton Press)
Beverage,Winner,2016,Julia Harding,The Oxford Companion to Wine,(Oxford University Press)
Baking & Desserts,Winner,2016,Sarah Owens,"Sourdough: Recipes for Rustic Fermented Breads, Sweets, Savories, and More",(Roost Books)
Baking & Desserts,Nominee,2016,Samantha Seneviratne,The New Sugar & Spice: A Recipe for Bolder Baking,(Ten Speed Press)
General Cooking,Winner,2016,J. Kenji Lopez-Alt,The Food Lab: Better Home Cooking Through Science,(W. W. Norton & Company)
Baking & Desserts,Nominee,2016,Samantha Seneviratne,The New Sugar & Spice: A Recipe for Bolder Baking,(Ten Speed Press)
Baking & Desserts,Nominee,2016,Abby Dodge,The Everyday Baker,(The Taunton Press)
Cooking from a Professional point of view,Nominee,2016,Allison Hopelain,This Is Camino,(Ten Speed Press)
Focus on Health,Nominee,2016,Jamie Oliver,Everyday Super Food,(Ecco)
American Cooking,Nominee,2016,Dave DiBenedetto,The Southerner's Cookbook,(Harper Wave)
International,Nominee,2016,Pierre Thiam,Senegal: Modern Senegalese Recipes From The Source To The Bowl,(Lake Isle Press)
Baking & Desserts,Winner,2016,Sarah Owens,"Sourdough: Recipes for Rustic Fermented Breads, Sweets, Savories, and More",(Roost Books)
Beverage,Winner,2016,Jancis Robinson,The Oxford Companion to Wine,(Oxford University Press)
Cooking from a Professional point of view,Winner,2016,Yotam Ottolenghi,NOPI: The Cookbook,(Ten Speed Press)
American Cooking,Nominee,2016,Ashley Gartland,Heartlandia: Heritage Recipes from Portland's The Country Cat,(Houghton Mifflin Harcourt)
American Cooking,Winner,2016,Chris Fischer,THE BEETLEBUNG FARM COOKBOOK,"(Little, Brown and Company)"
American Cooking,Nominee,2016,Jackie Sappington,Heartlandia: Heritage Recipes from Portland's The Country Cat,(Houghton Mifflin Harcourt)
Cooking from a Professional point of view,Nominee,2016,Travis Lett,Gjelina,(Chronicle Books)
American Cooking,Winner,2016,Catherine Young,The Beetlebung Farm Cookbook,"(Little, Brown and Company)"
International,Nominee,2016,Jennifer Sit,Senegal: Modern Senegalese Recipes From The Source To The Bowl,(Lake Isle Press)
