INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
Montclair State U.New Jersey,"20,022","12,654",13,"1,015","1,946","4,447",38,"9,632",637,"1,742",552,"8,096"
Saddleback CollegeCalifornia,"20,007","10,816",51,"1,821",448,"5,024",60,"10,790","1,015",360,438,"8,419"
Central Piedmont Community CollegeNorth Carolina,"19,957","11,165",93,627,"6,286","2,099",31,"8,454",593,735,"1,039","9,729"
U. of Nevada at RenoNevada,"19,934","10,489",143,"1,342",676,"3,283",88,"12,414","1,141",209,638,"6,673"
Northeastern U.Massachusetts,"19,798","9,764",10,"1,753",624,"1,103",7,"8,828",597,"1,413","5,463","4,094"
Sam Houston State U.Texas,"19,573","11,863",88,275,"3,500","3,611",31,"10,714",556,419,379,"8,061"
Chaffey CollegeCalifornia,"19,557","11,306",41,"1,097","1,692","11,880",63,"3,477",637,492,178,"15,410"
U. of Hawaii-ManoaHawaii,"19,507","10,981",40,"6,911",241,"1,625",806,"4,125","4,439",72,"1,248","14,062"
Johnson County Community CollegeKansas,"19,429","10,219",122,786,"1,266","1,394",34,"13,575",596,"1,051",605,"4,198"
Richland CollegeTexas,"19,343","10,611",63,"2,797","3,997","5,874",16,"5,337",251,874,134,"12,998"
City U. of New York Queens CollegeNew York,"19,310","11,314",51,"4,590","1,519","5,076",123,"6,846",155,0,950,"11,514"
Full Sail U.Florida,"19,285","5,467",150,270,"4,613",981,62,"8,323","2,019","2,183",684,"8,095"
Vincennes U.Indiana,"19,205","8,709",49,201,"2,048",947,31,"14,368",336,"1,191",34,"3,612"
Community College of PhiladelphiaPennsylvania,"19,119","11,956",71,995,"8,525","2,071",31,"4,078",518,746,"2,084","12,211"
Keiser U. at Ft. LauderdaleFlorida,"19,110","13,260",34,368,"4,261","5,868",15,"7,356",779,345,84,"11,325"
Sinclair Community CollegeOhio,"19,093","10,855",94,245,"2,821",521,32,"12,342",477,"2,258",303,"4,190"
Troy U.Alabama,"19,041","11,948",143,140,"6,840",666,19,"9,265",486,830,652,"8,294"
Southwestern College (Calif.)California,"19,000","10,136",321,"2,225","1,069","9,705",217,"5,138",0,267,58,"13,537"
California State U. at San BernardinoCalifornia,"18,952","11,685",34,"1,089","1,247","10,400",40,"3,236",486,"1,059","1,361","13,296"
Blinn CollegeTexas,"18,850","9,790",75,425,"1,694","3,667",19,"11,987",534,272,177,"6,414"
Front Range Community CollegeColorado,"18,761","10,769",137,618,324,"2,622",37,"13,228",657,811,327,"4,395"
Los Angeles City CollegeCalifornia,"18,756","10,520",44,"2,443","1,910","9,664",26,"3,339",418,487,425,"14,505"
U. of Alabama at BirminghamAlabama,"18,698","11,288",46,931,"3,943",496,14,"11,840",563,200,665,"5,993"
Bakersfield CollegeCalifornia,"18,698","10,486",73,689,748,"12,269",19,"4,158",591,103,48,"14,389"
Chamberlain College of Nursing at Addison (Ill.)Illinois,"18,665","16,988",41,974,"2,236","1,344",80,"8,880",126,"4,887",97,"4,801"
U. of North Carolina at GreensboroNorth Carolina,"18,647","12,343",72,772,"4,558","1,128",21,"10,370",674,409,643,"7,225"
Los Angeles Valley CollegeCalifornia,"18,641","10,542",29,"1,431",994,"9,401",27,"5,485",393,776,105,"12,275"
Miami U. (Ohio)Ohio,"18,620","10,003",35,358,608,609,4,"14,546",575,216,"1,669","2,189"
San Joaquin Delta CollegeCalifornia,"18,572","10,521",80,"3,178","1,814","8,026",90,"4,253",982,119,30,"14,170"
Sierra CollegeCalifornia,"18,565","10,018",105,869,499,"4,791",59,"10,905",979,168,190,"7,302"
Riverside Community College DistrictCalifornia,"18,547","10,370",50,"1,100","1,576","10,649",67,"3,937",745,142,281,"14,187"
Seminole State College of FloridaFlorida,"18,399","10,295",42,539,"3,043","4,208",51,"9,458",554,178,326,"8,437"
Metropolitan Community College Longview (Mo.)Missouri,"18,222","10,396",66,492,"2,854","1,681",56,"11,701","1,135",94,143,"6,284"
City U. of New York Bernard M. Baruch CollegeNew York,"18,090","8,950",28,"5,456","1,689","3,210",58,"5,176",242,0,"2,231","10,683"
Grossmont CollegeCalifornia,"18,040","10,063",51,"1,466","1,215","5,850",87,"7,475","1,195",178,523,"9,864"
Appalachian State U.North Carolina,"18,026","9,974",44,267,584,702,11,"15,447",441,314,216,"2,049"
Southern Illinois U. at CarbondaleIllinois,"17,989","8,318",46,328,"3,115","1,199",18,"10,967",474,21,"1,821","5,180"
Santa Barbara City CollegeCalifornia,"17,927","9,525",64,888,635,"5,878",26,"7,391",841,734,"1,470","8,332"
U. of California at Santa CruzCalifornia,"17,866","9,301",30,"3,436",339,"5,327",29,"6,404","1,276",380,645,"10,437"
Tulsa Community CollegeOklahoma,"17,861","10,736","1,371",705,"1,569","1,212",16,"10,641","1,421",620,306,"6,294"
Georgetown U.District of Columbia,"17,858","9,573",22,"1,390","1,137","1,075",23,"9,399",486,"1,367","2,959","4,133"
City U. of New York Kingsborough Community CollegeNew York,"17,758","9,642",35,"2,433","5,135","3,748",24,"5,690",226,0,467,"11,601"
Indian River State CollegeFlorida,"17,665","10,652",50,277,"2,935","3,218",34,"10,010",342,584,215,"6,856"
National U.California,"17,608","10,680",101,"1,631","1,855","4,345",247,"7,293",729,892,515,"8,908"
Modesto Junior CollegeCalifornia,"17,578","10,162",104,"1,076",595,"7,820",195,"6,813",455,506,14,"10,245"
Community College of Rhode IslandRhode Island,"17,553","10,371",98,541,"1,667","3,375",8,"10,385",748,714,17,"6,437"
City U. of New York Brooklyn CollegeNew York,"17,390","10,486",37,"2,732","4,204","3,156",41,"6,308",212,0,700,"10,382"
"City U. of New York, New York City College of TechnologyNew York","17,374","7,656",67,"3,332","5,344","5,473",104,"2,113",166,0,775,"14,486"
California State U. at ChicoCalifornia,"17,287","9,180",100,971,350,"4,320",25,"8,465",843,"1,394",819,"6,609"
"U. at Albany, SUNYNew York","17,273","8,895",32,"1,234","2,140","2,024",20,"9,201",416,658,"1,548","5,866"
U. of Louisiana at LafayetteLouisiana,"17,195","9,601",80,373,"3,377",547,15,"11,666",277,187,673,"4,669"
U. of Massachusetts at LowellMassachusetts,"17,179","6,831",22,"1,397",943,"1,346",7,"10,798",351,"1,084","1,231","4,066"
Community College of Allegheny CountyPennsylvania,"17,153","9,915",62,428,"3,026",226,20,"10,205",256,"2,923",7,"4,018"
Delgado Community CollegeLouisiana,"17,152","11,469",75,532,"7,725","1,512",19,"5,556",389,"1,096",248,"10,252"
U. of Alaska at AnchorageAlaska,"17,151","10,009","1,071","1,180",567,"1,230",131,"9,994","1,491","1,173",314,"5,670"
College of the CanyonsCalifornia,"17,148","8,745",35,"1,465",778,"7,686",29,"6,087",775,69,224,"10,768"
U. of Missouri at St. LouisMissouri,"17,072","10,202",61,715,"2,462",413,18,"11,800",213,870,520,"3,882"
Saint Louis U.Missouri,"17,052","10,004",13,"1,111","1,091",567,0,"12,065",699,533,973,"3,481"
Stanford U.California,"16,963","7,034",98,"2,630",633,"1,749",30,"6,218","1,142",584,"3,879","6,282"
Cleveland State U.Ohio,"16,936","9,311",26,504,"2,927",731,18,"10,437",435,415,"1,443","4,641"
Wright State U.Ohio,"16,842","8,687",38,454,"1,939",450,19,"11,382",582,116,"1,862","3,482"
U. of Central OklahomaOklahoma,"16,840","9,947",638,510,"1,552","1,257",28,"9,762","1,257",346,"1,490","5,242"
Webster U.Missouri,"16,769","9,463",75,423,"6,217","1,159",31,"7,166",314,"1,029",355,"8,219"
Madison Area Technical CollegeWisconsin,"16,759","9,177",89,665,"1,070","1,396",13,"12,381",653,261,231,"3,886"
U. of Massachusetts at BostonMassachusetts,"16,756","9,781",23,"1,699","2,210","1,765",4,"7,157",366,"1,615","1,917","6,067"
Milwaukee Area Technical CollegeWisconsin,"16,712","9,382",145,766,"5,042","2,056",10,"7,087",459,"1,147",0,"8,478"
Binghamton U.New York,"16,695","7,952",18,"2,073",782,"1,465",11,"8,742",347,522,"2,735","4,696"
U. of MiamiFlorida,"16,674","8,521",23,953,"1,169","3,526",22,"6,776",408,"1,053","2,744","6,101"
U. of Rhode IslandRhode Island,"16,571","9,077",44,534,803,"1,288",6,"11,396",394,"1,548",558,"3,069"
Columbia College (Mo.)Missouri,"16,567","9,767",166,231,"3,950","1,224",84,"9,256",423,999,234,"6,078"
"Bowling Green State U., Main CampusOhio","16,554","9,388",34,163,"1,508",642,9,"12,566",448,468,716,"2,804"
Saint Leo U.Florida,"16,349","9,532",77,199,"5,694","1,656",29,"6,186",210,"1,933",365,"7,865"
Rochester Institute of TechnologyNew York,"16,310","5,301",31,927,670,899,8,"9,073",374,"1,854","2,474","2,909"
Wayne County Community College DistrictMichigan,"16,310","10,718",66,264,"10,883",267,8,"2,365",522,"1,915",20,"12,010"
Eastern Kentucky U.Kentucky,"16,305","9,373",49,142,967,333,19,"13,545",357,596,297,"1,867"
San Diego City CollegeCalifornia,"16,298","8,507",59,"1,421","1,901","7,877",80,"3,756",718,322,164,"12,056"
Baylor U.Texas,"16,263","9,152",62,939,"1,129","2,146",9,"10,445",699,150,684,"4,984"
Rio Hondo CollegeCalifornia,"16,263","7,668",33,"1,138",226,"13,131",16,"1,256",156,284,23,"14,700"
City U. of New York-Queensborough Community CollegeNew York,"16,182","8,668",136,"3,727","3,645","5,119",147,"2,447",168,0,793,"12,942"
U. of Missouri at Kansas CityMissouri,"16,146","8,951",60,"1,012","1,723",933,15,"9,550",485,803,"1,565","4,228"
Trident Technical CollegeSouth Carolina,"16,136","9,926",97,282,"4,917",752,46,"9,374",375,293,0,"6,469"
West Chester U. of PennsylvaniaPennsylvania,"16,086","9,818",18,356,"1,644",757,17,"12,709",395,64,126,"3,187"
St. Cloud State U.Minnesota,"16,076","8,507",61,745,812,408,10,"11,727",432,856,"1,025","2,468"
U. of North GeorgiaGeorgia,"16,064","8,923",35,437,684,"1,435",17,"12,599",417,212,228,"3,025"
Lansing Community CollegeMichigan,"16,031","8,600",75,499,"1,707","1,107",39,"10,787",484,"1,067",266,"3,911"
U. of North FloridaFlorida,"15,984","8,977",20,674,"1,553","1,481",12,"11,031",779,64,370,"4,519"
Brevard Community CollegeFlorida,"15,931","9,378",77,369,"1,842","1,825",49,"10,877",570,218,104,"4,732"
Loyola U. ChicagoIllinois,"15,902","10,215",15,"1,449",920,"1,793",33,"9,706",721,439,826,"4,931"
Duke U.North Carolina,"15,856","7,891",66,"2,268","1,156",797,20,"7,787",369,494,"2,899","4,676"
New Mexico State U. at Las CrucesNew Mexico,"15,829","8,498",358,220,465,"7,738",32,"5,039",247,523,"1,207","9,060"
Cypress CollegeCalifornia,"15,816","8,814",37,"3,479",689,"7,103",70,"3,223",556,488,171,"11,934"
U. of South AlabamaAlabama,"15,805","9,700",100,539,"3,285",402,33,"10,102",325,352,667,"4,684"
Northwest Vista CollegeTexas,"15,797","8,608",39,509,847,"9,050",47,"4,413",650,210,32,"11,142"
Joliet Junior CollegeIllinois,"15,776","8,564",80,298,"1,454","3,585",14,"9,366",632,341,6,"6,063"
Grand Rapids Community CollegeMichigan,"15,668","7,995",131,562,"1,580","1,541",9,"10,794",262,771,18,"4,085"
Bergen Community CollegeNew Jersey,"15,651","7,531",23,"1,099",961,"3,904",58,"5,100",254,"3,232","1,020","6,299"
City College of City U. of New YorkNew York,"15,579","8,132",18,"3,258","2,682","5,159",70,"2,989",213,0,"1,190","11,400"
College of Lake CountyIllinois,"15,410","8,438",34,875,"1,105","5,105",23,"7,101",320,847,0,"7,462"
Edison State CollegeFlorida,"15,389","9,349",50,268,"1,735","3,995",24,"8,032",269,713,303,"6,341"
Minnesota State U. at MankatoMinnesota,"15,387","8,180",39,519,689,512,6,"11,720",326,537,"1,039","2,091"
Monroe Community CollegeNew York,"15,335","8,146",53,601,"3,118","1,311",22,"9,439",575,85,131,"5,680"
Moraine Valley Community CollegeIllinois,"15,286","8,099",39,364,"1,382","3,348",9,"8,342",251,"1,308",243,"5,393"
Anne Arundel Community CollegeMaryland,"15,274","9,093",84,583,"2,555",916,42,"9,342",480,"1,133",139,"4,660"
Fordham U.New York,"15,231","8,903",18,"1,164",959,"1,879",15,"8,365",420,509,"1,902","4,455"
U. of Nebraska at OmahaNebraska,"15,227","8,007",54,447,921,"1,303",10,"10,684",531,422,855,"3,266"
Academy of Art U.California,"15,212","8,815",70,"1,092",999,"1,383",75,"3,456",312,"2,652","5,173","3,931"
U. of New HampshireNew Hampshire,"15,117","8,277",32,320,168,446,2,"11,908",215,"1,475",551,"1,183"
Glendale Community College (Calif.)California,"15,112","8,298",17,"1,488",373,"4,686",13,"7,051",418,324,742,"6,995"
Eastfield CollegeTexas,"15,112","9,046",52,641,"3,722","6,418",16,"3,722",159,364,18,"11,008"
U. of ChicagoIllinois,"15,097","6,341",35,"1,923",634,928,6,"6,440",336,"1,544","3,251","3,862"
Northern Kentucky U.Kentucky,"15,090","8,452",55,166,996,379,17,"12,551",252,205,469,"1,865"
Texas Woman's U.Texas,"15,071","13,321",68,"1,273","2,931","3,072",19,"6,812",469,133,294,"7,832"
Western Washington U.Washington,"15,060","8,368",65,971,224,"1,095",28,"11,200","1,164",156,157,"3,547"
Santa Fe CollegeFlorida,"15,055","8,317",53,402,"2,411","2,190",31,"8,962",507,231,268,"5,594"
City U. of New York John Jay College of Criminal JusticeNew York,"15,045","8,630",32,"1,553","2,818","6,429",87,"3,422",236,0,468,"11,155"
Foothill CollegeCalifornia,"15,030","7,331",29,"3,555",601,"3,437",103,"5,011",788,268,"1,238","8,513"
Wichita State U.Kansas,"14,995","7,752",118,940,829,"1,289",14,"9,034",435,573,"1,763","3,625"
Montana State U. at BozemanMontana,"14,982","6,947",199,135,93,459,19,"12,458",456,502,661,"1,361"
Harper CollegeIllinois,"14,957","8,200",20,"1,572",569,"3,582",94,"8,119",426,573,2,"6,263"
Indiana Wesleyan U.Indiana,"14,943","9,997",50,133,"2,935",473,12,"10,973",273,43,51,"3,876"
U. of North DakotaNorth Dakota,"14,906","7,062",253,207,344,420,15,"11,768",404,499,996,"1,643"
Lamar U.Texas,"14,895","9,031",55,478,"3,532","2,070",10,"7,196",258,245,"1,051","6,403"
California State U.-East BayCalifornia,"14,823","9,207",31,"3,279","1,537","3,777",144,"2,746",775,"1,148","1,386","9,543"
U. of Southern MississippiMississippi,"14,792","9,344",48,172,"4,033",457,14,"9,308",316,69,375,"5,040"
Rowan U.New Jersey,"14,778","7,430",35,814,"1,342","1,301",13,"10,205",317,595,156,"3,822"
Emory U.Georgia,"14,769","8,349",26,"2,281","1,474",874,8,"6,635",338,776,"2,357","5,001"
North Dakota State U.North Dakota,"14,747","6,786",109,220,361,245,12,"11,878",260,603,"1,059","1,207"
Los Angeles Trade-Technical CollegeCalifornia,"14,688","6,813",41,644,"3,214","8,920",33,874,307,579,76,"13,159"
California State U.-Dominguez HillsCalifornia,"14,687","9,519",28,"1,474","2,107","7,862",46,"1,558",414,757,441,"11,931"
MiraCosta Community College DistrictCalifornia,"14,687","8,277",49,925,499,"4,937",70,"6,679","1,021",301,206,"7,501"
Metropolitan Community College (Neb.)Nebraska,"14,675","8,118",117,524,"1,746","1,549",35,"9,539",265,770,130,"4,236"
Reedley CollegeCalifornia,"14,633","8,385",69,"1,001",379,"8,382",21,"4,245",392,140,4,"10,244"
Ferris State U.Michigan,"14,600","7,744",78,207,"1,013",556,7,"11,383",443,474,439,"2,304"
Mt. San Jacinto CollegeCalifornia,"14,580","8,408",75,745,"1,196","6,536",59,"4,934",798,236,1,"9,409"
Antelope Valley CollegeCalifornia,"14,578","8,644",61,473,"3,021","6,748",24,"3,370",683,182,16,"11,010"
U. of North Carolina at WilmingtonNorth Carolina,"14,570","9,050",69,292,798,917,18,"11,560",423,398,95,"2,517"
U. of Wisconsin at OshkoshWisconsin,"14,541","8,917",92,544,268,464,7,"12,651",262,97,156,"1,637"
Indiana U. of PennsylvaniaPennsylvania,"14,534","7,977",19,141,"1,471",479,5,"10,854",418,255,892,"2,533"
Chandler-Gilbert Community CollegeArizona,"14,500","7,717",239,801,547,"3,133",58,"7,383",371,"1,899",69,"5,149"
Southeastern Louisiana U.Louisiana,"14,487","9,006",35,128,"2,148",893,14,"9,438",757,833,241,"3,975"
Florida Gulf Coast U.Florida,"14,473","8,174",29,235,"1,062","2,648",18,"9,702",373,175,231,"4,365"
Wilmington U. (Del.)Delaware,"14,467","9,401",153,242,"3,428",355,31,"6,983",39,"2,050","1,186","4,248"
Cosumnes River CollegeCalifornia,"14,467","8,188",79,"3,910","1,992","3,426",281,"3,579",850,250,100,"10,538"
U. of Houston-DowntownTexas,"14,439","8,649",62,"1,325","3,572","5,826",37,"2,554",169,177,717,"10,991"
East Tennessee State U.Tennessee,"14,434","8,369",38,232,860,290,9,"11,967",341,209,488,"1,770"
Ozarks Technical Community CollegeMissouri,"14,396","8,329",106,228,427,551,15,"12,357",407,304,1,"1,734"
Kean U.New Jersey,"14,359","9,034",19,802,"2,802","3,443",48,"5,823",244,983,195,"7,358"
Washington U. in St. LouisMissouri,"14,348","7,287",37,"1,945",803,660,3,"7,434",387,634,"2,445","3,835"
College of Staten IslandNew York,"14,346","8,177",26,"1,589","1,884","2,999",40,"7,261",161,0,386,"6,699"
Boston CollegeMassachusetts,"14,317","7,808",15,"1,144",575,"1,238",1,"8,299",375,"1,269","1,401","3,348"
Bunker Hill Community CollegeMassachusetts,"14,253","8,089",40,"1,447","3,879","3,331",22,"3,685",381,804,664,"9,100"
Kirkwood Community CollegeIowa,"14,190","7,099",75,224,991,620,18,"10,603",353,"1,013",293,"2,281"
Embry-Riddle Aeronautical U.-Extended CampusFlorida,"14,176","2,005",77,372,"1,253",764,69,"7,832",785,"2,652",372,"3,320"
Brookdale Community CollegeNew Jersey,"14,144","7,531",58,489,"1,425","1,892",33,"9,507",130,503,107,"4,027"
Stark State CollegeOhio,"14,097","8,307",52,158,"2,398",150,10,"9,851",389,"1,088",1,"3,157"
U. of Wisconsin CollegesWisconsin,"14,045","7,486",67,549,356,804,15,"11,855",294,53,52,"2,085"
U. of Maryland-Baltimore CountyMaryland,"13,979","6,402",24,"2,475","2,181",770,29,"6,336",450,659,"1,055","5,929"
Southern Illinois U. at EdwardsvilleIllinois,"13,972","7,566",30,267,"1,869",499,11,"10,215",399,262,420,"3,075"
U. of Montana at MissoulaMontana,"13,952","7,583",411,343,101,506,31,"10,444",501,988,627,"1,893"
Pikes Peak Community CollegeColorado,"13,947","7,965",119,321,"1,074","1,902",77,"8,872",808,670,104,"4,301"
Arizona State U.-SkysongArizona,"13,938","8,483",184,467,"1,160","2,487",70,"8,816",502,234,18,"4,870"
Westchester Community CollegeNew York,"13,916","7,251",103,607,"2,968","4,326",37,"4,674",268,773,160,"8,309"
Moorpark CollegeCalifornia,"13,880","7,143",41,"1,181",275,"4,369",34,"7,129",683,92,76,"6,583"
Fort Hays State U.Kansas,"13,825","8,367",56,130,514,877,15,"8,190",281,200,"3,562","1,873"
Henry Ford Community CollegeMichigan,"13,790","7,556",75,247,"3,257",305,14,"6,220",253,"3,226",193,"4,151"
Prince George's Community CollegeMaryland,"13,678","8,455",52,479,"9,893","1,340",22,737,352,478,325,"12,138"
Cabrillo CollegeCalifornia,"13,594","7,057",65,447,188,"5,154",26,"6,768",627,247,72,"6,507"
Jefferson Community and Technical CollegeKentucky,"13,550","7,936",53,345,"3,255",701,21,"8,539",380,184,72,"4,755"
Bellevue CollegeWashington,"13,469","7,359",73,"2,267",657,"1,458",79,"6,394",551,"1,216",774,"5,085"
Eastern Washington U.Washington,"13,453","7,482",167,395,432,"1,772",37,"8,667",604,975,404,"3,407"
Oklahoma City Community CollegeOklahoma,"13,444","7,767",565,520,"1,191","1,517",33,"7,871",771,0,976,"4,597"
Idaho State U.Idaho,"13,429","6,964",141,179,156,"1,122",28,"9,640",311,494,"1,358","1,937"
Marshall U.West Virginia,"13,381","7,833",47,157,738,231,10,"10,948",268,557,425,"1,451"
U. of Central MissouriMissouri,"13,379","7,149",26,124,886,322,10,"8,039",266,"1,807","1,899","1,634"
Daytona State CollegeFlorida,"13,248","8,090",50,276,"1,672","1,704",29,"9,093",217,172,35,"3,948"
Texas A&M U. at KingsvilleTexas,"13,246","6,801",26,126,764,"7,898",12,"2,436",81,117,"1,786","8,907"
