name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Career College of Northern Nevada,Nevada,NV,For Profit,2 Year,NA,11250,11250,11250,11250
Careers Unlimited,Utah,UT,For Profit,2 Year,NA,22841,22841,22841,22841
Caribbean University,NA,PR,Private,4 Year,NA,6570,6570,6570,6570
Carl Albert State College,Oklahoma,OK,Public,2 Year,4000,3818,7818,7943,11943
Carl Sandburg College,Illinois,IL,Public,2 Year,NA,5000,5000,8330,8330
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844
Carlos Albizu University,Florida,FL,Private,4 Year,NA,10234,10234,10234,10234
Carlos Albizu University: San Juan,NA,PR,Private,4 Year,NA,5912,5912,5912,5912
Carlow University,Pennsylvania,PA,Private,4 Year,11442,29454,40896,29454,40896
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883
Carolina Christian College,North Carolina,NC,Private,4 Year,NA,8300,8300,8300,8300
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366
Carroll Community College,Maryland,MD,Public,2 Year,NA,5160,5160,10448,10448
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402
Carson-Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710
Carteret Community College,North Carolina,NC,Public,2 Year,NA,2372,2372,8132,8132
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540
Carver College,Georgia,GA,Private,4 Year,6600,13475,20075,13475,20075
Cascadia College,Washington,WA,Public,2 Year,NA,4447,4447,9878,9878
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232
Casper College,Wyoming,WY,Public,2 Year,6880,3072,9952,7584,14464
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920
Catawba College,North Carolina,NC,Private,4 Year,10488,30520,41008,30520,41008
Catawba Valley Community College,North Carolina,NC,Public,2 Year,NA,2400,2400,8160,8160
Catholic Distance University,West Virginia,WV,Private,4 Year,NA,10050,10050,10050,10050
Catholic University of America,NA,DC,Private,4 Year,14650,45804,60454,45804,60454
Cayuga Community College,New York,NY,Public,2 Year,NA,5290,5290,9948,9948
Cazenovia College,New York,NY,Private,4 Year,14596,34630,49226,34630,49226
Cecil College,Maryland,MD,Public,2 Year,NA,4305,4305,9015,9015
Cedar Crest College,Pennsylvania,PA,Private,4 Year,11544,39216,50760,39216,50760
Cedar Valley College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
Cedarville University,Ohio,OH,Private,4 Year,7360,30270,37630,30270,37630
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980
Centenary University,New Jersey,NJ,Private,4 Year,11444,32998,44442,32998,44442
Central Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610
Central Arizona College,Arizona,AZ,Public,2 Year,7700,2580,10280,11100,18800
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700
Central Carolina Community College,North Carolina,NC,Public,2 Year,NA,2392,2392,8152,8152
Central Carolina Technical College,South Carolina,SC,Public,2 Year,NA,5760,5760,9630,9630
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575
Central Community College,Nebraska,NE,Public,2 Year,7106,3000,10106,4320,11426
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032
Central Georgia Technical College,Georgia,GA,Public,2 Year,NA,3308,3308,5978,5978
Central Lakes College,Minnesota,MN,Public,2 Year,4000,5492,9492,5492,9492
Central Maine Community College,Maine,ME,Public,2 Year,9340,3720,13060,6540,15880
Central Methodist University,Missouri,MO,Private,4 Year,7940,24420,32360,24420,32360
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036
Central New Mexico Community College,New Mexico,NM,Public,2 Year,NA,1626,1626,7338,7338
Central Ohio Technical College,Ohio,OH,Public,2 Year,NA,4536,4536,7296,7296
Central Oregon Community College,Oregon,OR,Public,2 Year,10770,4938,15708,13218,23988
Central Penn College,Pennsylvania,PA,For Profit,4 Year,8094,18714,26808,18714,26808
Central Piedmont Community College,North Carolina,NC,Public,2 Year,NA,2792,2792,8936,8936
Central State University,Ohio,OH,Public,4 Year,10232,6346,16578,8346,18578
Central Texas College,Texas,TX,Public,2 Year,5040,2700,7740,7050,12090
Central Virginia Community College,Virginia,VA,Public,2 Year,NA,4838,4838,10766,10766
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168
Central Wyoming College,Wyoming,WY,Public,2 Year,6681,3120,9801,7632,14313
Central Yeshiva Tomchei Tmimim-Lubavitch,New York,NY,Private,4 Year,3500,7700,11200,7700,11200
Centralia College,Washington,WA,Public,2 Year,NA,4438,4438,4873,4873
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180
Century College,Minnesota,MN,Public,2 Year,NA,5417,5417,5417,5417
Cerritos College,California,CA,Public,2 Year,NA,1438,1438,9688,9688
Cerro Coso Community College,California,CA,Public,2 Year,NA,1382,1382,7802,7802
Chabot College,California,CA,Public,2 Year,NA,1414,1414,9664,9664
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576
Chaffey College,California,CA,Public,2 Year,NA,1414,1414,9454,9454
Chamberlain College Of Nursing: Tinley Park,Illinois,IL,For Profit,4 Year,NA,20850,20850,20850,20850
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364
Chandler-Gilbert Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810
Chapman University,California,CA,Private,4 Year,15828,52724,68552,52724,68552
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,NA,17440,17440,17440,17440
Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700
Charlotte Christian College and Theological Seminary,North Carolina,NC,Private,4 Year,NA,10688,10688,10688,10688
Charter Oak State College,Connecticut,CT,Public,4 Year,NA,10161,10161,13101,13101
Chatfield College,Ohio,OH,Private,2 Year,NA,12184,12184,12184,12184
Chatham University,Pennsylvania,PA,Private,4 Year,12090,37611,49701,37611,49701
Chattahoochee Technical College,Georgia,GA,Public,2 Year,NA,3350,3350,6020,6020
Chattahoochee Valley Community College,Alabama,AL,Public,2 Year,NA,4560,4560,8670,8670
Chattanooga State Community College,Tennessee,TN,Public,2 Year,NA,4778,4778,17684,17684
Chemeketa Community College,Oregon,OR,Public,2 Year,NA,4725,4725,12960,12960
Chesapeake College,Maryland,MD,Public,2 Year,NA,4760,4760,9110,9110
Chestnut Hill College,Pennsylvania,PA,Private,4 Year,11000,36180,47180,36180,47180
Cheyney University of Pennsylvania,Pennsylvania,PA,Public,4 Year,11018,9479,20497,14495,25513
Chicago State University,Illinois,IL,Public,4 Year,8724,12177,20901,20877,29601
Chief Dull Knife College,Montana,MT,Public,2 Year,NA,2260,2260,2260,2260
Chipola College,Florida,FL,Public,2 Year,NA,3160,3160,8990,8990
Chippewa Valley Technical College,Wisconsin,WI,Public,2 Year,NA,4364,4364,6377,6377
Chowan University,North Carolina,NC,Private,4 Year,9400,24980,34380,24980,34380
Christendom College,Virginia,VA,Private,4 Year,10280,26360,36640,26360,36640
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680
Cincinnati Christian University,Ohio,OH,Private,4 Year,8360,17528,25888,17528,25888
Cincinnati College of Mortuary Science,Ohio,OH,Private,2 Year,NA,20475,20475,20475,20475
Cincinnati State Technical and Community College,Ohio,OH,Public,2 Year,NA,5242,5242,10001,10001
Cisco College,Texas,TX,Public,2 Year,4355,2940,7295,5070,9425
Citrus College,California,CA,Public,2 Year,NA,1450,1450,9520,9520
City College of San Francisco,California,CA,Public,2 Year,NA,1414,1414,8644,8644
City Colleges of Chicago: Harold Washington College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Harry S. Truman College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Kennedy-King College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Malcolm X College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Olive-Harvey College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Richard J. Daley College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City Colleges of Chicago: Wilbur Wright College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544
City University of New York: Baruch College,New York,NY,Public,4 Year,15178,7261,22439,18531,33709
City University of New York: Borough of Manhattan Community College,New York,NY,Public,2 Year,NA,5169,5169,9969,9969
City University of New York: Bronx Community College,New York,NY,Public,2 Year,NA,5205,5205,10005,10005
City University of New York: Brooklyn College,New York,NY,Public,4 Year,NA,7240,7240,18510,18510
City University of New York: City College,New York,NY,Public,4 Year,18124,7140,25264,18410,36534
City University of New York: College of Staten Island,New York,NY,Public,4 Year,18265,7289,25554,18559,36824
City University of New York: Guttman Community College,New York,NY,Public,2 Year,NA,5193,5193,9993,9993
City University of New York: Hostos Community College,New York,NY,Public,2 Year,NA,5206,5206,10006,10006
City University of New York: Hunter College,New York,NY,Public,4 Year,9714,7180,16894,18450,28164
City University of New York: John Jay College of Criminal Justice,New York,NY,Public,4 Year,17750,7270,25020,18540,36290
City University of New York: Kingsborough Community College,New York,NY,Public,2 Year,NA,5253,5253,10053,10053
City University of New York: LaGuardia Community College,New York,NY,Public,2 Year,NA,5217,5217,10017,10017
City University of New York: Lehman College,New York,NY,Public,4 Year,11820,7209,19029,18479,30299
City University of New York: Medgar Evers College,New York,NY,Public,4 Year,NA,7153,7153,18423,18423
City University of New York: New York City College of Technology,New York,NY,Public,4 Year,NA,7120,7120,18390,18390
City University of New York: Queens College,New York,NY,Public,4 Year,12380,7338,19718,18608,30988
City University of New York: Queensborough Community College,New York,NY,Public,2 Year,NA,5209,5209,10009,10009
City University of New York: York College,New York,NY,Public,4 Year,NA,7157,7157,18427,18427
Clackamas Community College,Oregon,OR,Public,2 Year,NA,4944,4944,12414,12414
Claflin University,South Carolina,SC,Private,4 Year,9294,16622,25916,16622,25916
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110
Clarendon College,Texas,TX,Public,2 Year,4176,5250,9426,7560,11736
Clarion University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12670,11175,23845,15033,27703
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960
Clark College,Washington,WA,Public,2 Year,NA,4287,4287,9718,9718
Clark State Community College,Ohio,OH,Public,2 Year,NA,4480,4480,8420,8420
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950
Clarks Summit University,Pennsylvania,PA,Private,4 Year,6320,23890,30210,23890,30210
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318
Clarkson University,New York,NY,Private,4 Year,14908,49444,64352,49444,64352
Clatsop Community College,Oregon,OR,Public,2 Year,NA,5130,5130,9720,9720
Clayton State University,Georgia,GA,Public,4 Year,9994,6410,16404,19486,29480
Clear Creek Baptist Bible College,Kentucky,KY,Private,4 Year,4160,9440,13600,9440,13600
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850
Clemson University,South Carolina,SC,Public,4 Year,10832,14970,25802,36724,47556
Cleveland Community College,North Carolina,NC,Public,2 Year,NA,2372,2372,8132,8132
Cleveland Institute of Art,Ohio,OH,Private,4 Year,14386,42055,56441,42055,56441
Cleveland Institute of Music,Ohio,OH,Private,4 Year,15048,41987,57035,41987,57035
Cleveland State Community College,Tennessee,TN,Public,2 Year,NA,4539,4539,17445,17445
Cleveland State University,Ohio,OH,Public,4 Year,13560,10625,24185,14992,28552
Clinton College,South Carolina,SC,Private,2 Year,9551,10020,19571,10020,19571
Clinton Community College,Iowa,IA,Public,2 Year,NA,4860,4860,6870,6870
Clinton Community College,New York,NY,Public,2 Year,10500,6090,16590,11096,21596
Cloud County Community College,Kansas,KS,Public,2 Year,5900,3030,8930,3470,9370
Clover Park Technical College,Washington,WA,Public,2 Year,NA,4271,4271,4271,4271
Clovis Community College,New Mexico,NM,Public,2 Year,NA,1296,1296,2904,2904
Coahoma Community College,Mississippi,MS,Public,2 Year,4420,2996,7416,3446,7866
Coastal Alabama Community College,Alabama,AL,Public,2 Year,5800,4740,10540,8610,14410
Coastal Bend College,Texas,TX,Public,2 Year,5100,2646,7746,4956,10056
Coastal Carolina Community College,North Carolina,NC,Public,2 Year,NA,2492,2492,8636,8636
Coastal Carolina University,South Carolina,SC,Public,4 Year,9190,11536,20726,26648,35838
Coastal Pines Technical College,Georgia,GA,Public,2 Year,NA,3248,3248,5918,5918
Coastline Community College,California,CA,Public,2 Year,NA,1400,1400,9530,9530
Cochise College,Arizona,AZ,Public,2 Year,7272,2550,9822,7800,15072
Cochran School of Nursing,New York,NY,Private,2 Year,NA,11302,11302,11302,11302
Coconino County Community College,Arizona,AZ,Public,2 Year,NA,3480,3480,11655,11655
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480
Coffeyville Community College,Kansas,KS,Public,2 Year,6180,2160,8340,3630,9810
Cogswell Polytechnical College,California,CA,For Profit,4 Year,11000,20056,31056,20056,31056
Coker College,South Carolina,SC,Private,4 Year,9090,29328,38418,29328,38418
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400
Colby Community College,Kansas,KS,Public,2 Year,3704,3616,7320,5504,9208
Colby-Sawyer College,New Hampshire,NH,Private,4 Year,14264,42398,56662,42398,56662
Coleman University,California,CA,Private,4 Year,NA,20725,20725,20725,20725
Colgate University,New York,NY,Private,4 Year,13995,55870,69865,55870,69865
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910
College of Alameda,California,CA,Public,2 Year,NA,1416,1416,9606,9606
College of Biblical Studies-Houston,Texas,TX,Private,4 Year,NA,8590,8590,8590,8590
College of Business and Technology: Flagler,Florida,FL,For Profit,2 Year,NA,12222,12222,12222,12222
College of Business and Technology: Hialeah,Florida,FL,For Profit,2 Year,NA,12222,12222,12222,12222
College of Business and Technology: Miami Gardens,Florida,FL,For Profit,2 Year,NA,12222,12222,12222,12222
College of Central Florida,Florida,FL,Public,2 Year,NA,3213,3213,12656,12656
College of Charleston,South Carolina,SC,Public,4 Year,12166,12738,24904,31920,44086
College of Coastal Georgia,Georgia,GA,Public,4 Year,9520,3971,13491,10578,20098
College of Court Reporting,Indiana,IN,For Profit,2 Year,NA,11250,11250,11250,11250
College of DuPage,Illinois,IL,Public,2 Year,NA,4080,4080,11790,11790
College of Eastern Idaho,Idaho,ID,Public,2 Year,NA,5205,5205,8301,8301
College of Idaho,Idaho,ID,Private,4 Year,9697,30155,39852,30155,39852
College of Lake County,Illinois,IL,Public,2 Year,NA,4230,4230,13110,13110
College of Marin,California,CA,Public,2 Year,NA,1418,1418,11018,11018
College of Menominee Nation,Wisconsin,WI,Private,2 Year,NA,7600,7600,7600,7600
College of Mount St. Vincent,New York,NY,Private,4 Year,10500,38180,48680,38180,48680
College of New Rochelle,New York,NY,Private,4 Year,14592,37760,52352,37760,52352
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050
College of Saint Rose,New York,NY,Private,4 Year,12714,32574,45288,32574,45288
College of San Mateo,California,CA,Public,2 Year,NA,1418,1418,8648,8648
College of Southern Idaho,Idaho,ID,Public,2 Year,5750,4200,9950,8550,14300
College of Southern Maryland,Maryland,MD,Public,2 Year,NA,3825,3825,8580,8580
College of Southern Nevada,Nevada,NV,Public,2 Year,NA,3458,3458,10370,10370
College of St. Benedict,Minnesota,MN,Private,4 Year,10904,45264,56168,45264,56168
College of St. Elizabeth,New Jersey,NJ,Private,4 Year,12744,33613,46357,33613,46357
College of St. Joseph in Vermont,Vermont,VT,Private,4 Year,12000,18520,30520,18520,30520
College of St. Scholastica,Minnesota,MN,Private,4 Year,9710,37212,46922,37212,46922
College of the Albemarle,North Carolina,NC,Public,2 Year,NA,2407,2407,8167,8167
College of the Atlantic,Maine,ME,Private,4 Year,9747,43542,53289,43542,53289
