cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Azeitao,https://www.cheese.com/azeitao/,sheep,Portugal,"Setubal, Palmela and Sesimbra",NA,"semi-soft, artisan",NA,NA,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",NA,TRUE,FALSE,Queijo de Azeitao,NA,NA
Baby Brie,https://www.cheese.com/baby-brie/,cow,France,NA,Brie,soft,NA,NA,creamy,bloomy,cream,"creamy, mild",aromatic,FALSE,FALSE,"Petit Brie, Mini Brie",NA,NA
Baby Swiss,https://www.cheese.com/baby-swiss/,cow,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed",43%,NA,"creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",NA,FALSE,FALSE,Lacy cheese,NA,Guggisberg Cheese
Babybel,https://www.cheese.com/babybel/,cow,France,NA,NA,semi-hard,NA,NA,smooth,waxed,NA,NA,NA,NA,NA,NA,NA,NA
Bad Axe,https://www.cheese.com/bad-axe/,sheep,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,TRUE,FALSE,NA,NA,Hidden Springs Company
Baguette Laonnaise,https://www.cheese.com/baguette-laonnaise/,cow,France,Ile-de-France/Champagne,NA,"soft, artisan",28.5%,NA,"open, supple",washed,pale yellow,spicy,pungent,FALSE,FALSE,Baguette Lyonnaise,NA,NA
Baita Friuli,https://www.cheese.com/baita-friuli/,cow,Italy,Friuli-Venezia Giulia,NA,firm,NA,NA,compact,natural,pale yellow,"fruity, spicy",rich,FALSE,FALSE,NA,NA,NA
Baladi,https://www.cheese.com/baladi/,"cow, goat, sheep","Lebanon, Middle East",NA,NA,"fresh soft, artisan",22%,NA,"creamy, dense, smooth",rindless,white,"buttery, mild, salty, sweet",fresh,FALSE,FALSE,"Jibneh Khadra, Jibnah Baladi, Baladieh, Jibneh Baladi",NA,NA
Balaton,https://www.cheese.com/balaton/,cow,Hungary,NA,NA,semi-hard,NA,NA,firm,natural,pale yellow,"acidic, mild",NA,FALSE,FALSE,NA,NA,NA
Balfour,https://www.cheese.com/balfour/,sheep,New Zealand,Queenstown,NA,hard,NA,NA,"crumbly, flaky, grainy",natural,NA,"nutty, sweet",NA,FALSE,FALSE,Balfour Pecorino,NA,The Gibbston Valley Cheese Company
Baluchon,https://www.cheese.com/baluchon/,cow,Canada,Quebec,NA,semi-soft,28%,NA,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",FALSE,FALSE,Le Baluchon,NA,Fromageries Jonathan
Bandal,https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",NA,NA,crumbly,rindless,NA,"salty, smokey , strong",strong,TRUE,FALSE,NA,Bandel,NA
Banon,https://www.cheese.com/banon/,goat,France,Banon,NA,"soft, artisan",NA,NA,"creamy, smooth",leaf wrapped,white,"fruity, mild",earthy,NA,NA,"Banon à la feuille, Banon AOC",NA,NA
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,25.22 g/100g,NA,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,NA,NA,Barambah Organics Pty Ltd.
Barber's 1833,https://www.cheese.com/barbers-1833/,cow,England,NA,Cheddar,hard,NA,NA,creamy,NA,NA,"sweet, tangy",NA,TRUE,FALSE,NA,NA,AJ & RE Barber Ltd
Barberey,https://www.cheese.com/barberey/,cow,France,"Troyes , Aube",NA,soft,20-30%,NA,"dry, smooth, soft",natural,NA,"pungent, woody",mild,FALSE,FALSE,"ash trojan, cheese Troyes",NA,NA
Barden Blue,https://www.cheese.com/barden-blue/,cow,United States,"West Pawlet, VT",Blue,"semi-hard, artisan, blue-veined",NA,NA,"buttery, dense, open",natural,yellow,"mild, nutty, spicy, tangy","barnyardy, herbal",FALSE,FALSE,NA,NA,Consider Bardwell Farm
Barely Buzzed,https://www.cheese.com/barely-buzzed/,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",TRUE,FALSE,NA,NA,Beehive Cheese Company
Barilotto,https://www.cheese.com/barilotto/,buffalo,Italy,Campania,Brie,"hard, soft-ripened",NA,NA,firm,washed,pale yellow,"creamy, sharp","buttery, fresh",FALSE,FALSE,NA,NA,Casa Madaio
Barlocco,https://www.cheese.com/barlocco/,cow,Scotland,NA,NA,semi-soft,NA,NA,creamy,natural,blue,full-flavored,strong,TRUE,FALSE,NA,NA,The Ethical Dairy
Baron Bigod,https://www.cheese.com/baron-bigod/,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,"buttery, mushroomy","grassy, milky",NA,NA,NA,NA,Fen Farm Dairy
Baron Bigod Baby Truffle,https://www.cheese.com/baron-bigod-baby-truffle/,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,milky,"earthy, mushroom",NA,NA,Baby Truffled Baron,NA,Fen Farm Dairy
Baronerosso di Capra,https://www.cheese.com/baronerosso-di-capra/,goat,Italy,Veneto,NA,semi-hard,NA,NA,"crumbly, firm",washed,white,"full-flavored, sharp","fruity, musty",FALSE,FALSE,NA,Baronerosso al Barbera,La Casearia Carpenedo S.r.l.
Barrel Aged Feta,https://www.cheese.com/barrel-aged-feta/,"cow, goat, sheep",Greece,NA,Feta,"soft, artisan",NA,NA,"creamy, crumbly",NA,white,creamy,rich,NA,NA,NA,NA,NA
Barricato al Pepe,https://www.cheese.com/barricato-al-pepe/,cow,Italy,NA,NA,"firm, artisan",NA,NA,crumbly,natural,ivory,NA,"fruity, spicy",NA,NA,NA,NA,NA
Barriquet,https://www.cheese.com/barriquet/,goat,France,NA,NA,soft,NA,NA,"smooth, supple",washed,white,"earthy, full-flavored, meaty, nutty",aromatic,FALSE,FALSE,NA,NA,Pierrick Brendani and Nicolas Trotot
Barry's Bay Cheddar,https://www.cheese.com/barrys-bay-cheddar/,cow,New Zealand,Banks Peninsular in Canterbury,Cheddar,"hard, artisan",NA,NA,creamy,cloth wrapped,NA,NA,NA,FALSE,FALSE,NA,NA,Barry's Bay
Bartlett,https://www.cheese.com/bartlett/,sheep,"England, Great Britain, United Kingdom",Somerset,NA,"soft, artisan",NA,NA,"dense, smooth",mold ripened,white,"buttery, milky","aromatic, strong",TRUE,FALSE,NA,NA,NA
Basajo,https://www.cheese.com/basajo/,sheep,Italy,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,NA,sweet,fruity,FALSE,FALSE,NA,NA,NA
Baserri,https://www.cheese.com/baserri/,sheep,United States,NA,Tomme,"semi-hard, artisan",NA,NA,"creamy, crumbly",NA,NA,"milky, tangy","milky, nutty",NA,NA,Txiki,NA,"Barinaga Ranch, Inc."
Basils Original Rauchkäse,https://www.cheese.com/basils-original-rauchkase/,cow,Germany,NA,NA,semi-soft,25.5%,700 mg/100g,"compact, dense, soft",natural,pale yellow,"salty, smokey , spicy",smokey,FALSE,FALSE,Basil's Smoked Cheese,NA,Bergader Privatkäserei GmbH
Basing,https://www.cheese.com/basing/,goat,United Kingdom,Kent,NA,hard,NA,NA,crumbly,NA,NA,"herbaceous, smooth",NA,TRUE,FALSE,NA,NA,NA
Baskeriu,https://www.cheese.com/baskeriu/,sheep,France,"French Basque Country, Midi-Pyrénées",NA,semi-soft,50%,NA,"dry, smooth",NA,NA,"buttery, nutty","buttery, nutty, rich",TRUE,FALSE,NA,NA,NA
Basket Cheese,https://www.cheese.com/basket-cheese/,cow,Middle East,NA,Cottage,"soft, semi-soft",NA,NA,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,NA,NA,"Specialty Cheese Company, Inc"
Basket Molded Ricotta,https://www.cheese.com/basket-molded-ricotta/,cow,,NA,Cottage,fresh firm,NA,NA,firm,NA,white,"creamy, sweet",fresh,NA,NA,NA,NA,NA
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,NA,NA,semi-soft,45%,NA,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,NA,NA
Bath Blue,https://www.cheese.com/bath-blue/,cow,"England, United Kingdom",South West England,Blue,"soft, artisan, blue-veined",NA,NA,"creamy, smooth",natural,cream,creamy,clean,NA,NA,NA,NA,The Bath Soft Cheese Co.
Bath Soft Cheese,https://www.cheese.com/bath-soft/,cow,England,South West England,Brie,soft,NA,NA,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",NA,NA,NA,Bath Soft,The Bath Soft Cheese Co.
Bath Soft Cheese Truffled,https://www.cheese.com/bath-soft-cheese-truffled/,cow,United Kingdom,NA,Brie,soft,NA,NA,"buttery, soft-ripened",NA,white,NA,NA,NA,NA,NA,NA,The Bath Soft Cheese Co.
Batzos,https://www.cheese.com/batzos/,"goat, sheep",Greece,"Central and Western Macedonia, Thessaly",NA,semi-hard,20%,NA,dry,NA,white,"piquant, salty, sour, spicy",pleasant,FALSE,FALSE,NA,NA,NA
Bavaria blu,https://www.cheese.com/bavaria-blu/,cow,Germany,NA,Blue,"soft, blue-veined",43.3 g/100g,450 mg/100g,"creamy, soft",mold ripened,cream,"creamy, sharp, strong","aromatic, rich",FALSE,FALSE,"Bavaria blu - Tasty Blue, Bavaria blu - Rich & Creamy, Bavaria blu – Classic Blue, Bavaria blu – Mild & Blue",NA,Bergader Privatkäserei GmbH
Bavarian Bergkase,https://www.cheese.com/bavarian-bergkase/,cow,Germany,Allgaeu Alps,NA,"hard, artisan",62%,NA,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE,"Allgäuer Bergkäse DOP, Allgauer Bergkase",Bawarii Bergkäse,NA
Bayley Hazen Blue,https://www.cheese.com/bayley-hazen-blue/,cow,United States,"Greensboro, VT",Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, dense, firm",natural,cream,"buttery, grassy, licorice, nutty, tangy","grassy, spicy, strong",FALSE,FALSE,NA,NA,Jasper Hill Farm
Baylough,https://www.cheese.com/baylough/,cow,Ireland,"County Tipperary, Clogheen",Cheddar,"hard, artisan",NA,NA,"close, firm",waxed,yellow,"garlicky, herbaceous, mild, smokey","herbal, mild",TRUE,FALSE,NA,Bay Lough,BAY LOUGH CHEESE
Beach Box Brie,https://www.cheese.com/beach-box-brie/,cow,Australia,"Mornington Peninsula, Melbourne",Brie,artisan,NA,NA,creamy,ash coated,golden yellow,creamy,rich,TRUE,FALSE,NA,NA,BoatShed Cheese
Bear Hill,https://www.cheese.com/bear-hill/,sheep,United States,Vermont,NA,"semi-hard, smear-ripened",NA,NA,smooth,washed,pale yellow,"fruity, mild, milky, nutty, sweet",NA,NA,NA,NA,NA,Grafton Village Cheese Company
Beaufort,https://www.cheese.com/beaufort/,cow,France,NA,NA,semi-firm,NA,NA,"creamy, smooth",NA,pale yellow,NA,"fruity, nutty",FALSE,FALSE,"Beaufort AOP Chalet Alpage Meule, Beaufort AOC",NA,NA
Beaumont,https://www.cheese.com/beaumont/,cow,France,Rhône-Alpes,NA,semi-soft,50%,NA,"creamy, smooth",washed,pale yellow,NA,"barnyardy, earthy, mild, nutty, rich",NA,NA,NA,NA,NA
Beauvale,https://www.cheese.com/beauvale/,cow,England,East Midlands,NA,"soft, blue-veined",NA,NA,"creamy, smooth",NA,pale yellow,creamy,NA,FALSE,FALSE,NA,NA,Cropwell Bishop Creamery Limited
Beauvoorde,https://www.cheese.com/beauvoorde/,cow,Belgium,Flanders,NA,semi-hard,NA,NA,"creamy, firm",natural,yellow,mild,spicy,NA,NA,NA,NA,NA
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",NA,NA,"buttery, soft",NA,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,NA,NA,Beehive Cheese Company
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",NA,NA,semi-soft,8%,NA,smooth,NA,NA,nutty,"aromatic, floral, fruity",FALSE,FALSE,NA,NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beemster Aged,https://www.cheese.com/beemster-aged/,cow,Netherlands,NA,Gouda,hard,NA,NA,"crystalline, firm, smooth",natural,yellow,"full-flavored, smooth, spicy, strong",rich,FALSE,FALSE,Beemster Old,NA,CONO Kaasmakers / Beemster
Beemster Classic,https://www.cheese.com/beemster-classic/,cow,Netherlands,NA,Gouda,semi-hard,NA,NA,"creamy, firm, smooth",natural,yellow,"buttery, nutty","buttery, rich",FALSE,FALSE,NA,NA,Beemster Cheese
Beemster Extra Aged (XO),https://www.cheese.com/beemster-extra-aged/,cow,Netherlands,NA,Gouda,hard,NA,NA,"brittle, crumbly, grainy",natural,golden yellow,"butterscotch, nutty",aromatic,FALSE,FALSE,"Beemster Extra Old, Beemster X-O, Beemster XO",NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beemster Graskaas,https://www.cheese.com/beemster-graskaas/,cow,Netherlands,NA,Gouda,semi-hard,NA,NA,"creamy, open, smooth",natural,yellow,full-flavored,rich,FALSE,FALSE,NA,NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beenleigh Blue,https://www.cheese.com/beenleigh-blue/,sheep,England,NA,Blue,"soft, blue-veined",NA,NA,smooth,natural,NA,lemony,fresh,TRUE,FALSE,NA,NA,Ticklemore Cheese Dairy
Bega Processed Cheddar,https://www.cheese.com/bega-processed-cheddar/,cow,Australia,NA,Cheddar,soft,NA,NA,"creamy, smooth",NA,yellow,creamy,NA,NA,NA,NA,NA,Bega Cheese Limited
Bel Ceillo,https://www.cheese.com/bel-ceillo/,cow,United States,NY,Parmesan,"semi-hard, artisan",NA,NA,"creamy, crumbly",natural,pale yellow,sharp,pungent,NA,NA,NA,NA,Muranda Cheese Company
Bel Paese,https://www.cheese.com/bel-paese/,cow,Italy,Lombardy,NA,semi-soft,NA,NA,"creamy, smooth",plastic,pale yellow,"buttery, mild, milky, sweet",pleasant,FALSE,FALSE,NA,NA,Galbani
Bella Lodi,https://www.cheese.com/bella-lodi/,cow,Italy,Lodi,Parmesan,"hard, artisan",NA,NA,"crumbly, flaky, grainy",natural,white,full-flavored,"aromatic, rich",TRUE,FALSE,Black Parmesan,"Bella Lodi Raspadura, Lodigrana Bella Lodi",Lodigrana
Belle Creme,https://www.cheese.com/belle-creme/,cow,Canada,Québec,Brie,"soft, soft-ripened",NA,NA,"buttery, creamy, smooth, soft-ripened",bloomy,white,"acidic, buttery, creamy, salty","mushroom, nutty",NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Belletoile,https://www.cheese.com/belletoile/,cow,France,NA,Brie,"soft, soft-ripened",70%,NA,creamy,NA,NA,"garlicky, mild, mushroomy, nutty, tangy",mild,FALSE,FALSE,NA,NA,Fromagerie Henri Hutin
Bellwether Farms Crescenza,https://www.cheese.com/bellwether-farms-crescenza/,cow,United States,"Sonoma, California",NA,"soft, artisan",NA,NA,"buttery, soft-ripened, spreadable",rindless,ivory,"buttery, tart","buttery, rich",TRUE,FALSE,Crescenza,NA,Bellwether Farms
Benedictine,https://www.cheese.com/benedictine/,"cow, goat, sheep",United States,"La Velle, Wisconsin",NA,"semi-hard, artisan",NA,NA,creamy,washed,yellow,NA,NA,NA,NA,NA,NA,Carr Valley Cheese Company
Bent River,https://www.cheese.com/bent-river/,cow,United States,"Mankato, MN",Camembert,"soft, artisan, soft-ripened",NA,NA,"smooth, soft",bloomy,NA,"buttery, mellow, milky, subtle",mushroom,NA,NA,NA,NA,Alemar Cheese
Bergader,https://www.cheese.com/bergader/,cow,Germany,NA,NA,NA,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA,NA,Bergader Privatkäserei GmbH
Bergere Bleue,https://www.cheese.com/bergere-bleue/,sheep,United States,"Marathon, NY",Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, smooth",mold ripened,pale yellow,burnt caramel,"lanoline, rich, yeasty",TRUE,FALSE,NA,NA,Northland Sheep Dairy
Bergues,https://www.cheese.com/bergues/,cow,France,Bergues,NA,semi-hard,15-25%,NA,smooth,washed,NA,"subtle, sweet",aromatic,FALSE,FALSE,NA,NA,NA
Berkswell,https://www.cheese.com/berkswell/,sheep,United Kingdom,NA,NA,hard,NA,NA,"chewy, firm",natural,pale yellow,NA,sweet,NA,NA,NA,NA,NA
Bermondsey Hard Pressed,https://www.cheese.com/bermondsey-hard-pressed/,cow,"England, Great Britain, United Kingdom","Bermondsey, London",Cheddar,"hard, artisan",NA,NA,"creamy, crumbly, open",natural,yellow,"creamy, nutty",barnyardy,NA,NA,NA,NA,KAPPACASEIN DAIRY
Bermuda Triangle,https://www.cheese.com/bermuda-triangle/,goat,United States,California,Brie,"semi-soft, soft-ripened",NA,NA,"creamy, crumbly, dense, firm, smooth",bloomy,white,"earthy, piquant, spicy, tangy","earthy, fresh, spicy",TRUE,FALSE,NA,NA,Cypress Grove Chevre
Bethmale des Pyrenees,https://www.cheese.com/bethmale-des-pyrenees/,cow,France,Pyrenees,NA,semi-hard,NA,NA,,natural,brownish yellow,mild,"aromatic, earthy, mushroom",FALSE,FALSE,NA,NA,NA
Bettine Bleu,https://www.cheese.com/bettine-bleu/,goat,Netherlands,NA,NA,semi-hard,39.6 g/100g,NA,,NA,NA,NA,NA,FALSE,FALSE,NA,NA,Bettinehoeve BV
Bettine Grand Cru,https://www.cheese.com/bettine-grand-cru/,goat,Netherlands,NA,NA,semi-hard,NA,NA,,NA,NA,"spicy, strong",strong,FALSE,FALSE,NA,NA,Bettinehoeve BV
Beyaz Peynir,https://www.cheese.com/beyaz-peynir/,"cow, goat, sheep",Turkey,NA,NA,"semi-soft, brined",NA,NA,,NA,pale white,NA,NA,TRUE,FALSE,NA,NA,NA
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",NA,"fresh soft, artisan",NA,NA,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",NA,NA,NA,NA,Tieton Farm & Creamery
Bianco,https://www.cheese.com/bianco/,cow,Germany,NA,NA,semi-hard,32.5 g/100g,725 mg/100g,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild",NA,FALSE,FALSE,NA,"Bianco Garlic, Bianco Original",Bergader Privatkäserei GmbH
Bica de Queijo,https://www.cheese.com/bica-de-queijo/,"cow, goat, sheep",Portugal,Póvoa de Lanhoso,NA,"semi-soft, artisan",45%,NA,"creamy, firm, smooth, springy",natural,ivory,"buttery, mild, salty",goaty,FALSE,FALSE,NA,"bag of cheese, Queijo de Bica, Bolsa de queso",NA
Bierkase,https://www.cheese.com/bierkase/,cow,Germany,NA,NA,"semi-soft, smear-ripened",NA,NA,smooth,washed,pale yellow,"salty, tangy",strong,NA,NA,"Weisslacker, beer kaese, beer cheese, Whitewash, bierkäse",NA,NA
Big John's Cajun,https://www.cheese.com/big-johns-cajun/,cow,United States,Utah,NA,"hard, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"smooth, spicy","rich, spicy",TRUE,FALSE,NA,NA,Beehive Cheese Company
Big Rock Blue,https://www.cheese.com/big-rock-blue/,cow,United States,California,Blue,"semi-firm, artisan, blue-veined",NA,NA,"buttery, crumbly",rindless,ivory,"buttery, salty",mild,TRUE,FALSE,NA,NA,Central Coast Creamery
Big Woods Blue,https://www.cheese.com/big-woods-blue/,sheep,United States,Minnesota,Blue,"semi-hard, blue-veined",NA,NA,firm,natural,ivory,"full-flavored, sharp, spicy, tangy","pronounced, sweet",TRUE,FALSE,NA,NA,Shepherd's Way Farms
Bijou,https://www.cheese.com/bijou/,goat,United States,"Websterville, VT",NA,"semi-soft, artisan",11%,NA,"creamy, smooth",mold ripened,NA,"sharp, sweet, tangy, yeasty","fresh, yeasty",NA,NA,NA,NA,Vermont Creamery
Binnorie Marinated Fetta,https://www.cheese.com/binnorie-marinated-fetta/,cow,Australia,"Pokolbin, Hunter Valley",Feta,"soft, brined",NA,NA,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",TRUE,FALSE,NA,Marinated Feta,Binnorie Dairy
Bishop Kennedy,https://www.cheese.com/bishop-kennedy/,cow,Scotland,"Kinfauns, Perthshire",NA,soft,45%,NA,smooth,washed,yellow,"creamy, strong",pungent,TRUE,FALSE,NA,NA,"Kinfauns Home Farm, Scotland"
Bismark,https://www.cheese.com/bismark/,sheep,United States,Vermont,NA,"semi-hard, artisan",NA,NA,"crumbly, firm",rindless,yellow,"buttery, creamy, nutty, sweet, tangy",NA,TRUE,FALSE,NA,NA,Grafton Village Cheese Company
Bix,https://www.cheese.com/bix/,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, soft, soft-ripened",NA,pale yellow,NA,NA,NA,NA,NA,NA,NA
Black Betty,https://www.cheese.com/black-betty/,goat,Netherlands,NA,NA,"hard, artisan",NA,NA,firm,waxed,NA,NA,NA,NA,NA,NA,NA,"Essex St. Cheese Co., Fromagerie L'Amuse"
Black Bomber Cheddar,https://www.cheese.com/black-bomber-cheddar/,cow,United Kingdom,NA,NA,hard,NA,NA,"buttery, compact, creamy, crumbly",NA,yellow,NA,rich,NA,NA,"Little Black Bomber, Black Bomber",NA,Snowdonia Cheese Company Limited
Black Pearl,https://www.cheese.com/black-pearl/,goat,Australia,"Mornington Peninsula, Melbourne",NA,"semi-hard, artisan",NA,NA,firm,ash coated,NA,mild,fresh,TRUE,FALSE,Boatshed Black Pearl,NA,BoatShed Cheese
Blackmount,https://www.cheese.com/blackmount/,goat,Scotland,NA,NA,soft,NA,NA,creamy,ash coated,green,earthy,clean,TRUE,FALSE,NA,NA,Errington Cheese Ltd.
Blacksticks Blue,https://www.cheese.com/blacksticks-blue/,cow,United Kingdom,NA,Blue,"soft, blue-veined",NA,NA,"creamy, spreadable",NA,orange,"creamy, tangy",NA,TRUE,FALSE,Butlers Blacksticks Blue,NA,Butlers Farmhouse Cheeses
Blaenafon Pwll Ddu,https://www.cheese.com/blaenafon-pwll-ddu/,cow,Wales,NA,NA,hard,NA,NA,compact,NA,cream,savory,NA,NA,NA,NA,NA,NA
Blarney Castle,https://www.cheese.com/blarney-castle/,cow,Ireland,Blarney,Gouda,semi-soft,NA,NA,creamy,natural,golden yellow,"smooth, tangy",NA,FALSE,FALSE,NA,NA,Kerrygold
Blenda,https://www.cheese.com/blenda/,"cow, sheep",Sweden,Oviken,NA,"hard, artisan",30%,NA,,natural,yellow,"acidic, fruity, mild, nutty",NA,NA,NA,NA,NA,Oviken cheese
Bleu Bénédictin,https://www.cheese.com/bleu-benedictin/,cow,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, firm",natural,pale yellow,"creamy, salty, woody","mushroom, pleasant",FALSE,FALSE,NA,NA,Fromagerie de l'Abbaye Saint-Benoît
Bleu d'Auvergne,https://www.cheese.com/bleu-dauvergne/,cow,France,Auvergne,Blue,"semi-soft, artisan",NA,NA,"creamy, smooth",NA,ivory,"buttery, creamy, pungent",strong,NA,NA,Bleu d'Auvergne AOC,NA,NA
Bleu de Laqueuille,https://www.cheese.com/bleu-de-laqueuille/,cow,France,Laqueuille,Blue,"soft, blue-veined",30%,NA,"creamy, smooth",natural,blue,"salty, spicy, tangy",earthy,FALSE,FALSE,NA,NA,NA
Bleu Des Causses,https://www.cheese.com/bleu-des-causses/,cow,France,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,NA,"milky, spicy",strong,NA,NA,Bleu Des Causses AOC,NA,NA
Bleu L'Ermite,https://www.cheese.com/bleu-lermite/,cow,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",natural,cream,"mushroomy, nutty, salty, sharp",fermented,FALSE,FALSE,"Ermite (L'), Bleu Ermite, Blue Hermit",NA,Abbey de Saint-Benoit-du-lac
Bleu Mont Dairy Bandaged Cheddar,https://www.cheese.com/bleu-mont-dairy-bandaged-cheddar/,cow,United States,Wisconsin,Cheddar,"hard, artisan",NA,NA,"crumbly, crystalline, flaky",cloth wrapped,yellow,"caramel, nutty, sweet",earthy,FALSE,FALSE,NA,NA,NA
Bleubry,https://www.cheese.com/bleubry/,cow,Canada,Quebec,Blue,"soft, blue-veined",37%,NA,"creamy, smooth, supple",mold ripened,cream,"creamy, mild, savory",pungent,FALSE,FALSE,NA,NA,La Maison Alexis de Portneuf Inc.
Blissful Blocks,https://www.cheese.com/blissful-blocks/,,"Canada, United States",NA,Cheddar,hard,NA,NA,"creamy, crumbly",plastic,yellow,"creamy, savory, sharp, spicy",NA,TRUE,FALSE,"Lactose Free Cheddar Blocks, Lactose & Soy Free Cheddar Blocks, Lactose Free Mozzarella Blocks, Lactose & Soy Free Mozzarella Blocks",NA,GO Veggie!
