Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
15,1965-07-07,167.5,Carpentras,Gap,Stage with mountain(s),Giuseppe Fezzardi,ITA
16,1965-07-08,177,Gap,Briançon,Stage with mountain(s),Joaquim Galera,ESP
17,1965-07-09,193.5,Briançon,Aix-les-Bains,Stage with mountain(s),Julio Jiménez,ESP
18,1965-07-10,26.9,Aix-les-Bains,Le Revard,Mountain time trial,Felice Gimondi,ITA
19,1965-07-11,165,Aix-les-Bains,Lyon,Stage with mountain(s),Rik Van Looy,BEL
20,1965-07-12,198.5,Lyon,Auxerre,Plain stage,Michael Wright,GBR
21,1965-07-13,225.5,Auxerre,Versailles,Plain stage,Gerben Karstens,NED
22,1965-07-14,37.8,Versailles,Paris,Individual time trial,Felice Gimondi,ITA
1,1964-06-22,215,Rennes,Lisieux,Plain stage,Edward Sels,BEL
2,1964-06-23,208,Lisieux,Amiens,Plain stage,André Darrigade,FRA
3a,1964-06-24,197,Amiens,Forest,Plain stage,Bernard Vandekerkhove,BEL
3b,1964-06-24,21,Forest,Forest,Team time trial,Kas–Kaskol,
4,1964-06-25,292,Forest,Metz,Plain stage,Rudi Altig,GER
5,1964-06-26,161,Lunéville,Freiburg,Plain stage,Willy Derboven,BEL
6,1964-06-27,200,Freiburg,Besançon,Plain stage,Henk Nijdam,NED
7,1964-06-28,195,Besançon,Thonon-les-Bains,Plain stage,Jan Janssen,NED
8,1964-06-29,249,Thonon-les-Bains,Briançon,Stage with mountain(s),Federico Bahamontes,ESP
9,1964-06-30,239,Briançon,Monaco,Stage with mountain(s),Jacques Anquetil,FRA
10a,1964-07-01,187,Monaco,Hyères,Plain stage,Jan Janssen,NED
10b,1964-07-01,21,Hyères,Toulon,Individual time trial,Jacques Anquetil,FRA
11,1964-07-02,250,Toulon,Montpellier,Plain stage,Edward Sels,BEL
12,1964-07-03,174,Montpellier,Perpignan,Plain stage,Jo de Roo,NED
13,1964-07-04,170,Perpignan,Andorra,Stage with mountain(s),Julio Jiménez,ESP
14,1964-07-06,186,Andorra,Toulouse,Stage with mountain(s),Edward Sels,BEL
15,1964-07-07,203,Toulouse,Luchon,Stage with mountain(s),Raymond Poulidor,FRA
16,1964-07-08,197,Luchon,Pau,Stage with mountain(s),Federico Bahamontes,ESP
17,1964-07-09,43,Peyrehorade,Bayonne,Individual time trial,Jacques Anquetil,FRA
18,1964-07-10,187,Bayonne,Bordeaux,Plain stage,André Darrigade,FRA
19,1964-07-11,215,Bordeaux,Brive,Plain stage,Edward Sels,BEL
20,1964-07-12,217,Brive,Puy de Dôme,Stage with mountain(s),Julio Jiménez,ESP
21,1964-07-13,311,Clermont-Ferrand,Orléans,Plain stage,Jean Stablinski,FRA
22a,1964-07-14,119,Orléans,Versailles,Plain stage,Benoni Beheyt,BEL
22b,1964-07-14,27,Versailles,Paris,Individual time trial,Jacques Anquetil,FRA
1,1963-06-23,152,Paris,Épernay,Plain stage,Eddy Pauwels,BEL
2a,1963-06-24,186,Reims,Jambes,Plain stage,Rik Van Looy,BEL
2b,1963-06-24,22,Jambes,Jambes,Team time trial,Pelforth–Sauvage–Lejeune,
3,1963-06-25,223,Jambes,Roubaix,Plain stage,Seamus Elliott,IRL
4,1963-06-26,236,Roubaix,Rouen,Plain stage,Frans Melckenbeeck,BEL
5,1963-06-27,285,Rouen,Rennes,Plain stage,Antonio Bailetti,ITA
6a,1963-06-28,118,Rennes,Angers,Plain stage,Roger de Breuker,BEL
6b,1963-06-28,25,Angers,Angers,Individual time trial,Jacques Anquetil,FRA
7,1963-06-29,236,Angers,Limoges,Plain stage,Jan Janssen,NED
8,1963-06-30,232,Limoges,Bordeaux,Plain stage,Rik Van Looy,BEL
9,1963-07-01,202,Bordeaux,Pau,Plain stage,Pino Cerami,BEL
10,1963-07-02,148,Pau,Bagnères-de-Bigorre,Stage with mountain(s),Jacques Anquetil,FRA
11,1963-07-03,131,Bagnères-de-Bigorre,Luchon,Stage with mountain(s),Guy Ignolin,FRA
12,1963-07-04,173,Luchon,Toulouse,Stage with mountain(s),André Darrigade,FRA
13,1963-07-05,234,Toulouse,Aurillac,Plain stage,Rik Van Looy,BEL
14,1963-07-07,237,Aurillac,Saint-Étienne,Plain stage,Guy Ignolin,FRA
15,1963-07-08,174,Saint-Étienne,Grenoble,Stage with mountain(s),Federico Bahamontes,ESP
16,1963-07-09,202,Grenoble,Val d'Isère,Stage with mountain(s),Fernando Manzaneque,ESP
17,1963-07-10,228,Val d'Isère,Chamonix,Stage with mountain(s),Jacques Anquetil,FRA
18,1963-07-11,225,Chamonix,Lons-le-Saunier,Stage with mountain(s),Frans Brands,BEL
19,1963-07-12,54,Arbois,Besançon,Individual time trial,Jacques Anquetil,FRA
20,1963-07-13,234,Besançon,Troyes,Plain stage,Roger de Breuker,BEL
21,1963-07-14,185,Troyes,Paris,Plain stage,Rik Van Looy,BEL
1,1962-06-24,253,Nancy,Spa,Plain stage,Rudi Altig,FRG
2a,1962-06-25,147,Spa,Herentals,Plain stage,André Darrigade,FRA
2b,1962-06-25,23,Herentals,Herentals,Team time trial,Faema–Flandria–Clement,
3,1962-06-26,210,Brussels,Amiens,Plain stage,Rudi Altig,FRG
4,1962-06-27,196.5,Amiens,Le Havre,Plain stage,Willy Vanden Berghen,BEL
5,1962-06-28,215,Pont l'Evêque,Saint-Malo,Plain stage,Emile Daems,BEL
6,1962-06-29,235.5,Dinard,Brest,Plain stage,Robert Cazala,FRA
7,1962-06-30,201,Quimper,Saint-Nazaire,Plain stage,Huub Zilverberg,NED
8a,1962-07-01,155,Saint-Nazaire,Luçon,Plain stage,Mario Minieri,ITA
8b,1962-07-01,43,Luçon,La Rochelle,Individual time trial,Jacques Anquetil,FRA
9,1962-07-02,214,La Rochelle,Bordeaux,Plain stage,Antonio Bailetti,ITA
10,1962-07-03,184.5,Bordeaux,Bayonne,Plain stage,Willy Vannitsen,BEL
11,1962-07-04,155.5,Bayonne,Pau,Plain stage,Eddy Pauwels,BEL
12,1962-07-05,207.5,Pau,Saint-Gaudens,Stage with mountain(s),Robert Cazala,FRA
13,1962-07-06,18.5,Luchon,Superbagnères,Mountain time trial,Federico Bahamontes,ESP
14,1962-07-07,215,Luchon,Carcassonne,Stage with mountain(s),Jean Stablinski,FRA
15,1962-07-08,196.5,Carcassonne,Montpellier,Plain stage,Willy Vannitsen,BEL
16,1962-07-09,185,Montpellier,Aix-en-Provence,Plain stage,Emile Daems,BEL
17,1962-07-10,201,Aix-en-Provence,Antibes,Plain stage,Rudi Altig,FRG
18,1962-07-11,241.5,Antibes,Briançon,Stage with mountain(s),Emile Daems,BEL
19,1962-07-12,204.5,Briançon,Aix-les-Bains,Stage with mountain(s),Raymond Poulidor,FRA
20,1962-07-13,68,Bourgoin,Lyon,Individual time trial,Jacques Anquetil,FRA
21,1962-07-14,232,Lyon,Nevers,Plain stage,Dino Bruni,ITA
22,1962-07-15,271,Nevers,Paris,Plain stage,Rino Benedetti,ITA
1a,1961-06-25,136.5,Rouen,Versailles,Plain stage,André Darrigade,FRA
1b,1961-06-25,28.5,Versailles,Versailles,Individual time trial,Jacques Anquetil,FRA
2,1961-06-26,230.5,Pontoise,Roubaix,Plain stage,André Darrigade,FRA
3,1961-06-27,197.5,Roubaix,Charleroi,Plain stage,Emile Daems,BEL
4,1961-06-28,237.5,Charleroi,Metz,Plain stage,Anatole Novak,FRA
5,1961-06-29,221,Metz,Strasbourg,Stage with mountain(s),Louis Bergaud,FRA
6,1961-06-30,180.5,Strasbourg,Belfort,Stage with mountain(s),Jozef Planckaert,BEL
7,1961-07-01,214.5,Belfort,Chalon-sur-Saône,Plain stage,Jean Stablinski,FRA
8,1961-07-02,240.5,Chalon-sur-Saône,Saint-Étienne,Stage with mountain(s),Jean Forestier,FRA
9,1961-07-03,230,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX
10,1961-07-04,250.5,Grenoble,Turin,Stage with mountain(s),Guy Ignolin,FRA
11,1961-07-05,225,Turin,Antibes,Stage with mountain(s),Guido Carlesi,ITA
12,1961-07-06,199,Antibes,Aix-en-Provence,Stage with mountain(s),Michel Van Aerde,BEL
13,1961-07-07,177.5,Aix-en-Provence,Montpellier,Plain stage,André Darrigade,FRA
14,1961-07-09,174,Montpellier,Perpignan,Plain stage,Eddy Pauwels,BEL
15,1961-07-10,206,Perpignan,Toulouse,Plain stage,Guido Carlesi,ITA
16,1961-07-11,208,Toulouse,Superbagnères,Stage with mountain(s),Imerio Massignan,ITA
17,1961-07-12,197,Luchon,Pau,Stage with mountain(s),Eddy Pauwels,BEL
18,1961-07-13,207,Pau,Bordeaux,Plain stage,Martin Van Geneugden,BEL
19,1961-07-14,74.5,Bergerac,Périgueux,Individual time trial,Jacques Anquetil,FRA
20,1961-07-15,309.5,Périgueux,Tours,Plain stage,André Darrigade,FRA
21,1961-07-16,252.5,Tours,Paris,Plain stage,Robert Cazala,FRA
1a,1960-06-26,108,Lille,Brussels,Plain stage,Julien Schepens,BEL
1b,1960-06-26,27.8,Brussels,Brussels,Individual time trial,Roger Rivière,FRA
2,1960-06-27,206,Brussels,Dunkirk,Plain stage,René Privat,FRA
3,1960-06-28,209,Dunkirk,Dieppe,Plain stage,Nino Defilippis,ITA
4,1960-06-29,211,Dieppe,Caen,Plain stage,Jean Graczyk,FRA
5,1960-06-30,189,Caen,Saint-Malo,Plain stage,André Darrigade,FRA
6,1960-07-01,191,Saint-Malo,Lorient,Plain stage,Roger Rivière,FRA
7,1960-07-02,244,Lorient,Angers,Plain stage,Graziano Battistini,ITA
8,1960-07-03,240,Angers,Limoges,Plain stage,Nino Defilippis,ITA
9,1960-07-04,225,Limoges,Bordeaux,Plain stage,Martin van Geneugden,BEL
10,1960-07-05,228,Mont-de-Marsan,Pau,Stage with mountain(s),Roger Rivière,FRA
11,1960-07-06,161,Pau,Luchon,Stage with mountain(s),Kurt Gimmi,SUI
12,1960-07-07,176,Luchon,Toulouse,Stage with mountain(s),Jean Graczyk,FRA
13,1960-07-08,224,Toulouse,Millau,Plain stage,Louis Proost,FRA
14,1960-07-10,217,Millau,Avignon,Stage with mountain(s),Martin van Geneugden,BEL
15,1960-07-11,187,Avignon,Gap,Stage with mountain(s),Michel Van Aerde,BEL
16,1960-07-12,172,Gap,Briançon,Stage with mountain(s),Graziano Battistini,ITA
17,1960-07-13,229,Briançon,Aix-les-Bains,Stage with mountain(s),Jean Graczyk,FRA
18,1960-07-14,215,Aix-les-Bains,Thonon-les-Bains,Stage with mountain(s),Fernando Manzaneque,ESP
19,1960-07-15,83,Pontarlier,Besançon,Individual time trial,Rolf Graf,SUI
20,1960-07-16,229,Besançon,Troyes,Plain stage,Pierre Beuffeuil,FRA
21,1960-07-17,200,Troyes,Paris,Plain stage,Jean Graczyk,FRA
1,1959-06-25,238,Mulhouse,Metz,Plain stage,André Darrigade,FRA
2,1959-06-26,234,Metz,Namur,Plain stage,Vito Favero,ITA
3,1959-06-27,217,Namur,Roubaix,Plain stage,Robert Cazala,FRA
4,1959-06-28,230,Roubaix,Rouen,Plain stage,Dino Bruni,ITA
5,1959-06-29,286,Rouen,Rennes,Plain stage,Jean Graczyk,FRA
6,1959-06-30,45,Blain,Nantes,Individual time trial,Roger Rivière,FRA
7,1959-07-01,190,Nantes,La Rochelle,Plain stage,Roger Hassenforder,FRA
8,1959-07-02,201,La Rochelle,Bordeaux,Plain stage,Michel Dejouhannet,FRA
9,1959-07-03,207,Bordeaux,Bayonne,Plain stage,Marcel Queheille,FRA
10,1959-07-05,235,Bayonne,Bagnères-de-Bigorre,Stage with mountain(s),Marcel Janssens,BEL
11,1959-07-06,119,Bagnères-de-Bigorre,Saint-Gaudens,Stage with mountain(s),André Darrigade,FRA
12,1959-07-07,184,Saint-Gaudens,Albi,Plain stage,Rolf Graf,SUI
13,1959-07-08,219,Albi,Aurillac,Stage with mountain(s),Henry Anglade,FRA
14,1959-07-09,231,Aurillac,Clermont-Ferrand,Stage with mountain(s),André Le Dissez,FRA
15,1959-07-10,12,Puy de Dôme,Puy de Dôme,Mountain time trial,Federico Bahamontes,ESP
16,1959-07-11,210,Clermont-Ferrand,Saint-Étienne,Plain stage,Dino Bruni,ITA
17,1959-07-13,197,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX
18,1959-07-14,243,Grenoble,Saint-Vincent,Stage with mountain(s),Ercole Baldini,ITA
19,1959-07-15,251,Saint-Vincent,Annecy,Stage with mountain(s),Rolf Graf,SUI
20,1959-07-16,202,Annecy,Chalon-sur-Saône,Plain stage,Brian Robinson,GBR
21,1959-07-17,69,Seurre,Dijon,Individual time trial,Roger Rivière,FRA
22,1959-07-18,331,Dijon,Paris,Plain stage,Joseph Groussard,FRA
1,1958-06-26,184,Brussels,Ghent,Plain stage,André Darrigade,FRA
2,1958-06-27,198,Ghent,Dunkirk,Plain stage,Gerrit Voorting,NED
3,1958-06-28,177,Dunkirk,Mers-les-Bains,Plain stage,Gilbert Bauvin,FRA
4,1958-06-29,205,Le Tréport,Versailles,Plain stage,Jean Gainche,FRA
5,1958-06-30,232,Versailles,Caen,Plain stage,Tino Sabbadini,FRA
6,1958-07-01,223,Caen,Saint-Brieuc,Plain stage,Martin van Geneugden,BEL
7,1958-07-02,170,Saint-Brieuc,Brest,Plain stage,Brian Robinson,GBR
8,1958-07-03,46,Châteaulin,Châteaulin,Individual time trial,Charly Gaul,LUX
9,1958-07-04,206,Quimper,Saint-Nazaire,Plain stage,André Darrigade,FRA
10,1958-07-05,255,Saint-Nazaire,Royan,Plain stage,Pierino Baffi,ITA
11,1958-07-06,137,Royan,Bordeaux,Plain stage,Arrigo Padovan,ITA
12,1958-07-07,161,Bordeaux,Dax,Plain stage,Martin van Geneugden,BEL
13,1958-07-08,230,Dax,Pau,Stage with mountain(s),Louis Bergaud,FRA
14,1958-07-09,129,Pau,Luchon,Stage with mountain(s),Federico Bahamontes,ESP
15,1958-07-10,176,Luchon,Toulouse,Stage with mountain(s),André Darrigade,FRA
16,1958-07-11,187,Toulouse,Béziers,Plain stage,Pierino Baffi,ITA
17,1958-07-12,189,Béziers,Nîmes,Plain stage,André Darrigade,FRA
18,1958-07-13,21,Bédoin,Mont-Ventoux,Mountain time trial,Charly Gaul,LUX
19,1958-07-14,178,Carpentras,Gap,Stage with mountain(s),Gastone Nencini,ITA
20,1958-07-15,165,Gap,Briançon,Stage with mountain(s),Federico Bahamontes,ESP
21,1958-07-16,219,Briançon,Aix-les-Bains,Stage with mountain(s),Charly Gaul,LUX
22,1958-07-17,237,Aix-les-Bains,Besançon,Stage with mountain(s),André Darrigade,FRA
23,1958-07-18,74,Besançon,Dijon,Individual time trial,Charly Gaul,LUX
24,1958-07-19,320,Dijon,Paris,Plain stage,Pierino Baffi,ITA
1,1957-06-27,204,Nantes,Granville,Plain stage,André Darrigade,FRA
2,1957-06-28,226,Granville,Caen,Plain stage,René Privat,FRA
3a,1957-06-29,15,"Circuit de la Prairie, Caen","Circuit de la Prairie, Caen",Team time trial,France,
3b,1957-06-29,134,Caen,Rouen,Plain stage,Jacques Anquetil,FRA
4,1957-06-30,232,Rouen,Roubaix,Plain stage,Marcel Janssens,BEL
5,1957-07-01,170,Roubaix,Charleroi,Plain stage,Gilbert Bauvin,FRA
6,1957-07-02,248,Charleroi,Metz,Plain stage,André Trochut,FRA
7,1957-07-03,223,Metz,Colmar,Stage with mountain(s),Roger Hassenforder,FRA
8,1957-07-04,192,Colmar,Besançon,Plain stage,Pierino Baffi,ITA
9,1957-07-05,188,Besançon,Thonon-les-Bains,Plain stage,Jacques Anquetil,FRA
10,1957-07-07,247,Thonon-les-Bains,Briançon,Stage with mountain(s),Gastone Nencini,ITA
11,1957-07-08,286,Briançon,Cannes,Stage with mountain(s),René Privat,FRA
12,1957-07-09,239,Cannes,Marseille,Stage with mountain(s),Jean Stablinski,FRA
13,1957-07-10,160,Marseille,Alès,Plain stage,Nino Defilippis,ITA
14,1957-07-11,246,Alès,Perpignan,Plain stage,Roger Hassenforder,FRA
15a,1957-07-12,197,Perpignan,Barcelona,Plain stage,René Privat,FRA
15b,1957-07-12,9.8,Montjuïc circuit,Montjuïc circuit,Individual time trial,Jacques Anquetil,FRA
16,1957-07-14,220,Barcelona ,Ax-les-Thermes,Stage with mountain(s),Jean Bourlès,FRA
17,1957-07-15,236,Ax-les-Thermes,Saint-Gaudens,Stage with mountain(s),Nino Defilippis,ITA
18,1957-07-16,207,Saint-Gaudens,Pau,Stage with mountain(s),Gastone Nencini,ITA
19,1957-07-17,194,Pau,Bordeaux,Plain stage,Pierino Baffi,ITA
20,1957-07-18,66,Bordeaux,Libourne,Individual time trial,Jacques Anquetil,FRA
21,1957-07-19,317,Libourne,Tours,Plain stage,André Darrigade,FRA
22,1957-07-20,227,Tours,Paris,Plain stage,André Darrigade,FRA
1,1956-07-05,223,Reims,Liège,Plain stage,André Darrigade,FRA
2,1956-07-06,217,Liège,Lille,Plain stage,Fred De Bruyne,BEL
3,1956-07-07,225,Lille,Rouen,Plain stage,Arigo Padovan,ITA
4a,1956-07-08,15.1,Circuit de Rouen-Les-Essarts,Circuit de Rouen-Les-Essarts,Individual time trial,Charly Gaul,LUX
4b,1956-07-08,125,Rouen,Caen,Plain stage,Roger Hassenforder,FRA
5,1956-07-09,189,Caen,Saint-Malo,Plain stage,Joseph Morvan,FRA
6,1956-07-10,192,Saint-Malo,Lorient,Plain stage,Fred De Bruyne,BEL
7,1956-07-11,244,Lorient,Angers,Plain stage,Alessandro Fantini,ITA
8,1956-07-12,180,Angers,La Rochelle,Plain stage,Miguel Poblet,ESP
9,1956-07-13,219,La Rochelle,Bordeaux,Plain stage,Roger Hassenforder,FRA
10,1956-07-15,201,Bordeaux,Bayonne,Plain stage,Fred De Bruyne,BEL
11,1956-07-16,255,Bayonne,Pau,Stage with mountain(s),Nino Defilippis,ITA
12,1956-07-17,130,Pau,Luchon,Stage with mountain(s),Jean-Pierre Schmitz,LUX
13,1956-07-18,176,Luchon,Toulouse,Stage with mountain(s),Nino Defilippis,ITA
14,1956-07-19,231,Toulouse,Montpellier,Plain stage,Roger Hassenforder,FRA
15,1956-07-20,204,Montpellier,Aix-en-Provence,Plain stage,Joseph Thomin,FRA
16,1956-07-22,203,Aix-en-Provence,Gap,Stage with mountain(s),Jean Forestier,FRA
17,1956-07-23,234,Gap,Turin,Stage with mountain(s),Nino Defilippis,ITA
18,1956-07-24,250,Turin,Grenoble,Stage with mountain(s),Charly Gaul,LUX
19,1956-07-25,173,Grenoble,Saint-Étienne,Stage with mountain(s),Stan Ockers,BEL
20,1956-07-26,73,Saint-Étienne,Lyon,Individual time trial,Miguel Bover,ESP
21,1956-07-27,237,Lyon,Montluçon,Stage with mountain(s),Roger Hassenforder,FRA
22,1956-07-28,331,Montluçon,Paris,Plain stage,Gastone Nencini,ITA
1a,1955-07-07,102,Le Havre,Dieppe,Plain stage,Miguel Poblet,ESP
1b,1955-07-07,12.5,Dieppe,Dieppe,Team time trial,Netherlands,
2,1955-07-08,204,Dieppe,Roubaix,Plain stage,Antonin Rolland,FRA
3,1955-07-09,210,Roubaix,Namur,Plain stage,Louison Bobet,FRA
4,1955-07-10,225,Namur,Metz,Plain stage,Willy Kemp,LUX
5,1955-07-11,229,Metz,Colmar,Plain stage,Roger Hassenforder,FRA
6,1955-07-12,195,Colmar,Zürich,Plain stage,André Darrigade,FRA
7,1955-07-13,267,Zürich,Thonon-les-Bains,Plain stage,Jos Hinsen,NED
8,1955-07-14,253,Thonon-les-Bains,Briançon,Stage with mountain(s),Charly Gaul,LUX
9,1955-07-15,275,Briançon,Monaco,Stage with mountain(s),Raphaël Géminiani,FRA
10,1955-07-16,240,Monaco,Marseille,Plain stage,Lucien Lazaridès,FRA
11,1955-07-18,198,Marseille,Avignon,Stage with mountain(s),Louison Bobet,FRA
12,1955-07-19,240,Avignon,Millau,Stage with mountain(s),Alessandro Fantini,ITA
13,1955-07-20,205,Millau,Albi,Plain stage,Daan de Groot,NED
14,1955-07-21,156,Albi,Narbonne,Stage with mountain(s),Louis Caput,FRA
15,1955-07-22,151,Narbonne,Ax-les-Thermes,Plain stage,Luciano Pezzi,ITA
16,1955-07-24,123,Ax-les-Thermes,Toulouse,Plain stage,Rik Van Steenbergen,BEL
17,1955-07-25,250,Toulouse,Saint-Gaudens,Stage with mountain(s),Charly Gaul,LUX
18,1955-07-26,205,Saint-Gaudens,Pau,Stage with mountain(s),Jean Brankart,BEL
19,1955-07-27,195,Pau,Bordeaux,Plain stage,Wout Wagtmans,NED
20,1955-07-28,243,Bordeaux,Poitiers,Plain stage,Jean Forestier,FRA
21,1955-07-29,68.6,Châtellerault,Tours,Individual time trial,Jean Brankart,BEL
22,1955-07-30,229,Tours,Paris,Plain stage,Miguel Poblet,ESP
1,1954-07-08,216,Amsterdam,Brasschaat,Plain stage,Wout Wagtmans,NED
2,1954-07-09,255,Beveren,Lille,Plain stage,Louison Bobet,FRA
3,1954-07-10,219,Lille,Rouen,Plain stage,Marcel Dussault,FRA
4a,1954-07-11,10.4,Rouen,Circuit des Essarts,Team time trial,Switzerland,
4b,1954-07-11,131,Rouen,Caen,Plain stage,Wim van Est,NED
5,1954-07-12,224,Caen,Saint-Brieuc,Plain stage,Ferdinand Kübler,SUI
6,1954-07-13,179,Saint-Brieuc,Brest,Plain stage,Dominique Forlini,FRA
7,1954-07-14,211,Brest,Vannes,Plain stage,Jacques Vivier,FRA
8,1954-07-15,190,Vannes,Angers,Plain stage,Fred De Bruyne,BEL
9,1954-07-16,343,Angers,Bordeaux,Plain stage,Henk Faanhof,NED
10,1954-07-18,202,Bordeaux,Bayonne,Plain stage,Gilbert Bauvin,FRA
11,1954-07-19,241,Bayonne,Pau,Stage with mountain(s),Stan Ockers,BEL
12,1954-07-20,161,Pau,Luchon,Stage with mountain(s),Gilbert Bauvin,FRA
13,1954-07-21,203,Luchon,Toulouse,Plain stage,Fred De Bruyne,BEL
14,1954-07-22,225,Toulouse,Millau,Stage with mountain(s),Ferdinand Kübler,SUI
15,1954-07-23,197,Millau,Le Puy,Stage with mountain(s),Dominique Forlini,FRA
16,1954-07-24,194,Le Puy,Lyon,Stage with mountain(s),Jean Forestier,FRA
17,1954-07-26,182,Lyon,Grenoble,Stage with mountain(s),Lucien Lazaridès,FRA
18,1954-07-27,216,Grenoble,Briançon,Stage with mountain(s),Louison Bobet,FRA
19,1954-07-28,221,Briançon,Aix-les-Bains,Stage with mountain(s),Jean Dotto,FRA
20,1954-07-29,243,Aix les Bains,Besançon,Stage with mountain(s),Lucien Teisseire,FRA
21a,1954-07-30,134,Besançon,Épinal,Plain stage,François Mahé,FRA
21b,1954-07-30,72,Epinal,Nancy,Individual time trial,Louison Bobet,FRA
22,1954-07-31,216,Nancy,Troyes,Plain stage,Fred De Bruyne,BEL
23,1954-08-01,180,Troyes,Paris,Plain stage,Robert Varnajo,FRA
1,1953-07-03,195,Strasbourg,Metz,Plain stage,Fritz Schär,SUI
2,1953-07-04,227,Metz,Liège,Plain stage,Fritz Schär,SUI
3,1953-07-05,221,Liège,Lille,Plain stage,Stanislas Bober,FRA
4,1953-07-06,188,Lille,Dieppe,Plain stage,Gerrit Voorting,NED
5,1953-07-07,200,Dieppe,Caen,Plain stage,Jean Malléjac,FRA
6,1953-07-08,206,Caen,Le Mans,Plain stage,Martin Van Geneugden,BEL
7,1953-07-09,181,Le Mans,Nantes,Plain stage,Livio Isotti,ITA
8,1953-07-10,345,Nantes,Bordeaux,Plain stage,Jan Nolten,NED
9,1953-07-12,197,Bordeaux,Pau,Plain stage,Fiorenzo Magni,ITA
10,1953-07-13,103,Pau,Cauterets,Stage with mountain(s),Jesús Loroño,ESP
11,1953-07-14,115,Cauterets,Luchon,Stage with mountain(s),Jean Robic,FRA
12,1953-07-15,228,Luchon,Albi,Plain stage,André Darrigade,FRA
13,1953-07-16,189,Albi,Béziers,Stage with mountain(s),Nello Lauredi,FRA
14,1953-07-17,214,Béziers,Nîmes,Stage with mountain(s),Bernard Quennehen,FRA
15,1953-07-18,173,Nîmes,Marseille,Plain stage,Maurice Quentin,FRA
16,1953-07-19,236,Marseille,Monaco,Stage with mountain(s),Wim van Est,NED
17,1953-07-21,261,Monaco,Gap,Stage with mountain(s),Wout Wagtmans,NED
18,1953-07-22,165,Gap,Briançon,Stage with mountain(s),Louison Bobet,FRA
19,1953-07-23,227,Briançon,Lyon,Stage with mountain(s),Georges Meunier,FRA
20,1953-07-24,70,Lyon,St. Etienne,Individual time trial,Louison Bobet,FRA
21,1953-07-25,210,St. Etienne,Montluçon,Plain stage,Wout Wagtmans,NED
22,1953-07-26,328,Montluçon,Paris,Plain stage,Fiorenzo Magni,ITA
1,1952-06-25,246,Brest,Rennes,Plain stage,Rik Van Steenbergen,BEL
2,1952-06-26,181,Rennes,Le Mans,Plain stage,André Rosseel,BEL
3,1952-06-27,189,Le Mans,Rouen,Plain stage,Nello Lauredi,FRA
4,1952-06-28,232,Rouen,Roubaix,Plain stage,Pierre Molinéris,FRA
5,1952-06-29,197,Roubaix,Namur,Plain stage,Jean Diederich,LUX
6,1952-06-30,228,Namur,Metz,Plain stage,Fiorenzo Magni,ITA
7,1952-07-01,60,Metz,Nancy,Individual time trial,Fausto Coppi,ITA
8,1952-07-02,252,Nancy,Mulhouse,Stage with mountain(s),Raphaël Géminiani,FRA
9,1952-07-03,238,Mulhouse,Lausanne,Stage with mountain(s),Walter Diggelmann,SUI
10,1952-07-04,266,Lausanne,Alpe d'Huez,Stage with mountain(s),Fausto Coppi,ITA
11,1952-07-06,182,Le Bourg-d'Oisans,Sestriere,Stage with mountain(s),Fausto Coppi,ITA
12,1952-07-07,251,Sestriere,Monaco,Stage with mountain(s),Jan Nolten,NED
13,1952-07-08,214,Monaco,Aix-en-Provence,Plain stage,Raoul Rémy,FRA
14,1952-07-09,178,Aix-en-Provence,Avignon,Stage with mountain(s),Jean Robic,FRA
15,1952-07-10,275,Avignon,Perpignan,Plain stage,Georges Decaux,FRA
16,1952-07-11,200,Perpignan,Toulouse,Plain stage,André Rosseel,BEL
17,1952-07-13,204,Toulouse,Bagnères-de-Bigorre,Stage with mountain(s),Raphaël Géminiani,FRA
18,1952-07-14,149,Bagnères-de-Bigorre,Pau,Stage with mountain(s),Fausto Coppi,ITA
19,1952-07-15,195,Pau,Bordeaux,Plain stage,Hans Dekkers,NED
20,1952-07-16,228,Bordeaux,Limoges,Plain stage,Jacques Vivier,FRA
21,1952-07-17,245,Limoges,Puy de Dôme,Stage with mountain(s),Fausto Coppi,ITA
22,1952-07-18,63,Clermont-Ferrand,Vichy,Individual time trial,Fiorenzo Magni,ITA
23,1952-07-19,354,Vichy,Paris,Plain stage,Antonin Rolland,FRA
1,1951-07-04,185,Metz,Reims,Plain stage,Giovanni Rossi,SUI
2,1951-07-05,228,Reims,Ghent,Plain stage,Jean Diederich,LUX
3,1951-07-06,219,Ghent,Le Tréport,Plain stage,Georges Meunier,FRA
4,1951-07-07,188,Le Tréport,Paris,Plain stage,Roger Lévêque,FRA
5,1951-07-08,215,Paris,Caen,Plain stage,Serafino Biagioni,ITA
6,1951-07-09,182,Caen,Rennes,Plain stage,Édouard Muller,FRA
7,1951-07-10,85,La Guerche-de-Bretagne,Angers,Individual time trial,Hugo Koblet,SUI
8,1951-07-11,241,Angers,Limoges,Plain stage,André Rosseel,BEL
9,1951-07-13,236,Limoges,Clermont-Ferrand,Stage with mountain(s),Raphaël Géminiani,FRA
10,1951-07-14,216,Clermont-Ferrand,Brive,Stage with mountain(s),Bernardo Ruiz,ESP
11,1951-07-15,177,Brive,Agen,Plain stage,Hugo Koblet,SUI
12,1951-07-16,185,Agen,Dax,Plain stage,Wim van Est,NED
