show,synopsis
Miss Saigon,"Set in 1975 during the final days of the of the Vietnam War, Miss Saigon is an epic love story about the relationship between Chris, an American GI and Kim, a young Vietnamese woman. They are separated when the country falls, until she returns to his life years later, in this musical inspired by the opera Madame Butterfly."
Lucifer's Child,"Karen Blixen, the Danish woman who achieved fame as Out of Africa author Isak Dinesen, recalls her life and loves in this one-person play."
Penn & Teller: The Refrigerator Tour,"The popular magicians Penn & Teller perform an evening of comical illusions, including a trick in which a refrigerator appears to fall on them from above."
The Secret Garden,"A spoiled orphan girl is sent to live with her uncle on the Yorkshire moors and discovers renewed life, for herself and her sickly cousin, in bringing her dead aunt's secret garden back to life."
The Will Rogers Follies,"The life of Will Rogers, the comedian and headliner of the Ziegfeld Follies, is told through a series of Follies-like variety acts and lavish production numbers, directed and choreographed by Tommy Tune."
Our Country's Good,"In Timberlake Wertenbaker's dramatization of a real-life incident and Thomas Keneally's novel The Playmaker, it is 1788, and a Royal Marine lieutenant directs several of the criminals and misfits banished to the new British colony of Australia in the first play the country has produced, gradually winning the skeptical fledgling actors over to the magic of the theatre."
Getting Married,NA
On Borrowed Time,"An old man chases Death (called Mr. Brink) up a tree so he can spend more time with his grandson, in Paul Osborn's fantasy based on L.E. Watkin's novel."
Andre Heller's Wonderhouse,NA
Dancing at Lughnasa,"Five unmarried Irish sisters, who escape their drab lives by dancing to music on their new radio, are recalled by the adult son of one of the women."
Nick & Nora,"Nick and Nora Charles, the married amateur sleuths from The Thin Man novel and film series, compete to figure out who murdered a bookkeeper with a mysterious past."
The Homecoming,"An expat professor brings his wife home to North London to meet his working-class family. Fraught with jealousy, tension and rivalry, the homecoming threatens their marriage and intensifies a lifetime of aggression among brothers and sons."
Park Your Car in Harvard Yard,"A dying high school teacher and his young housekeeper, who is also one of his former students, form an unexpected friendship in spite of generational divides and past resentments."
Moscow Circus - Cirk Valentin,The Moscow Circus brings an evening of acrobatics and clown routines to Broadway following a successful engagement at Radio City Music Hall.
Catskills on Broadway,"Freddie Roman, Marilyn Michaels, Mal Z. Lawrence and Dick Capri each perform a 30-minute standup set designed to recall the kind of comedy often performed at the resorts in the Catskills Mountains in New York."
The Crucible,"Arthur Miller's tale of the Salem witch trials, in which a group of girls accuse upstanding women in the town of witchcraft to divert suspicion from their own activities, has been seen as an allegory for Senator Joseph McCarthy's anti-Communist crusades of the 1950s."
A Christmas Carol,"Transporting audiences to a bitterly chilly Christmas Eve night, a hard-hearted miser is visited by four ghosts, who take him on a journey to worlds past, present and future. But will Scrooge save himself from the results of a lifetime of fear and selfishness, now he can see the ramifications of his lonely existence?"
Two Shakespearean Actors,"Richard Nelson's play dramatizes the 1849 incident in which legendary British actor William Charles Macready brought his interpretation of Macbeth to America, only to discover a young American actor, Edwin Forrest, was performing it at the same time, and audiences were willing to riot to show their preferences."
The Visit,NA
A Little Hotel on the Side,"Georges Feydeau and Maurice Desvallieres' 1894 farce brings together a group of guests and staff at a Parisian hotel for bed-hopping, mistaken identity, and other shenanigans."
Crazy He Calls Me,A naïve young Brooklyn lawyer courts and marries an eccentric woman and ends up taking her to court.
The Most Happy Fella,"A middle-aged Italian vineyard owner falls in love with a pretty waitress from afar, sends her the picture of his handsome foreman, and convinces her to move to his California vineyard and marry him, in Frank Loesser's musical adaptation of Sidney Howard's play They Knew What They Wanted."
Crazy for You,"A banker with a yen for show business is sent to foreclose on a property that turns out to be a theatre. After falling in love with the local postmistress, he decides to put on a show to save the theatre, in this musical featuring classic Gershwin songs and a Ken Ludwig libretto inspired by the 1930 musical Girl Crazy."
Search and Destroy,An inept businessman plans to lie and cheat his way to the top of the movie business.
Private Lives,Divorcees Elyot and Amanda unexpectedly meet while honeymooning with their respective new spouses and discover that their passion for — and irritation with — each other is just as strong as ever.
Death and the Maiden,"A Latin American woman meets a man that she believes raped and tortured her when her country was controlled by a dictatorship 15 years earlier. She turns the tables on the man, despite her husband's counseling otherwise, in Ariel Dorfman's political thriller."
Four Baboons Adoring the Sun,"A suburban housewife leaves her husband for an old college boyfriend, joining him and their children on an archeological dig in Sicily where life turns out to be not quite as idyllic as she had hoped."
Conversations with My Father,"Novelist Charlie remembers his relationship with his father, Eddie, a Jewish man who aggressively tried to assimilate into America as a bartender but remained haunted by his past."
Hamlet,NA
Jake's Women,A novelist whose second marriage is on the verge of collapse examines his relationships with all of the women in his life to understand how he might be a better husband.
The Master Builder,An aging architect is haunted by memories and fears until a figure from his past returns.
Five Guys Named Moe,Five guys named Moe leap out of a jukebox and sing the songs of Louis Jordan to teach Nomax how to fix his relationship with his girlfriend.
Guys and Dolls,"A fly-by-night gambler attempts to woo a Salvation Army missioner for a $1,000 bet. Meanwhile, a beleaguered showgirl tries to hook her fiancé of 14 years, the founder of ""the oldest, established, permanent, floating crap game in New York."""
Metro,NA
A Small Family Business,"A middle-aged manager of a frozen foods business takes over the larger company founded by his father-in-law and is ultimately sucked into the family's scheming and errant bookkeeping against his better judgment, in Alan Ayckbourn's indictment of British greed in the Margaret Thatcher years."
