player,year,tournament,outcome,gender
Carole Caldwell Graebner,1972,Australian Open,Absent,Female
Shirley Bloomer Brasher,1972,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1972,Australian Open,NA,Female
Betty Stöve,1972,Australian Open,Absent,Female
Wendy Turnbull,1972,Australian Open,2nd Round,Female
Renáta Tomanová,1972,Australian Open,NA,Female
Helen Gourlay Cawley,1972,Australian Open,Semi-finalist,Female
Sue Barker,1972,Australian Open,NA,Female
Mima Jaušovec,1972,Australian Open,NA,Female
Florența Mihai,1972,Australian Open,NA,Female
Dianne Fromholtz Balestrat,1972,Australian Open,Absent,Female
Sharon Walsh,1972,Australian Open,Absent,Female
Betsy Nagelsen,1972,Australian Open,NA,Female
Christine O'Neil,1972,Australian Open,NA,Female
Barbara Jordan,1972,Australian Open,NA,Female
Chris Evert,1972,French Open,Absent,Female
Billie Jean Moffitt King,1972,French Open,Won,Female
Evonne Goolagong Cawley,1972,French Open,Finalist,Female
Margaret Court,1972,French Open,Absent,Female
Virginia Wade,1972,French Open,Quarterfinalist,Female
Martina Navratilova,1972,French Open,NA,Female
Olga Morozova,1972,French Open,Quarterfinalist,Female
Kerry Melville Reid,1972,French Open,4th Round,Female
Rosemary Casals,1972,French Open,3rd Round,Female
Françoise Dürr,1972,French Open,Semi-finalist,Female
Helga Niessen Masthoff,1972,French Open,Semi-finalist,Female
Nancy Richey Gunter,1972,French Open,3rd Round,Female
Judy Tegart Dalton,1972,French Open,4th Round,Female
Lesley Turner Bowrey,1972,French Open,Absent,Female
Tracy Austin,1972,French Open,NA,Female
Maria Bueno,1972,French Open,Absent,Female
Virginia Ruzici,1972,French Open,NA,Female
Christine Truman Janes,1972,French Open,Absent,Female
Jan Lehane O'Neill,1972,French Open,Absent,Female
Karen Hantze Susman,1972,French Open,Absent,Female
Carole Caldwell Graebner,1972,French Open,Absent,Female
Shirley Bloomer Brasher,1972,French Open,Absent,Female
Lorraine Coghlan Robinson,1972,French Open,NA,Female
Betty Stöve,1972,French Open,3rd Round,Female
Wendy Turnbull,1972,French Open,Absent,Female
Renáta Tomanová,1972,French Open,NA,Female
Helen Gourlay Cawley,1972,French Open,4th Round,Female
Sue Barker,1972,French Open,NA,Female
Mima Jaušovec,1972,French Open,NA,Female
Florența Mihai,1972,French Open,NA,Female
Dianne Fromholtz Balestrat,1972,French Open,Absent,Female
Sharon Walsh,1972,French Open,1st Round,Female
Betsy Nagelsen,1972,French Open,NA,Female
Christine O'Neil,1972,French Open,NA,Female
Barbara Jordan,1972,French Open,NA,Female
Chris Evert,1972,Wimbledon,Semi-finalist,Female
Billie Jean Moffitt King,1972,Wimbledon,Won,Female
Evonne Goolagong Cawley,1972,Wimbledon,Finalist,Female
Margaret Court,1972,Wimbledon,Absent,Female
Virginia Wade,1972,Wimbledon,Quarterfinalist,Female
Martina Navratilova,1972,Wimbledon,NA,Female
Olga Morozova,1972,Wimbledon,4th Round,Female
Kerry Melville Reid,1972,Wimbledon,3rd Round,Female
Rosemary Casals,1972,Wimbledon,Semi-finalist,Female
Françoise Dürr,1972,Wimbledon,Quarterfinalist,Female
Helga Niessen Masthoff,1972,Wimbledon,2nd Round,Female
Nancy Richey Gunter,1972,Wimbledon,Quarterfinalist,Female
Judy Tegart Dalton,1972,Wimbledon,3rd Round,Female
Lesley Turner Bowrey,1972,Wimbledon,Absent,Female
Tracy Austin,1972,Wimbledon,NA,Female
Maria Bueno,1972,Wimbledon,Absent,Female
Virginia Ruzici,1972,Wimbledon,NA,Female
Christine Truman Janes,1972,Wimbledon,Absent,Female
Jan Lehane O'Neill,1972,Wimbledon,Absent,Female
Karen Hantze Susman,1972,Wimbledon,Absent,Female
Carole Caldwell Graebner,1972,Wimbledon,1st Round,Female
Shirley Bloomer Brasher,1972,Wimbledon,2nd Round,Female
Lorraine Coghlan Robinson,1972,Wimbledon,NA,Female
Betty Stöve,1972,Wimbledon,4th Round,Female
Wendy Turnbull,1972,Wimbledon,1st Round,Female
Renáta Tomanová,1972,Wimbledon,NA,Female
Helen Gourlay Cawley,1972,Wimbledon,2nd Round,Female
Sue Barker,1972,Wimbledon,NA,Female
Mima Jaušovec,1972,Wimbledon,NA,Female
Florența Mihai,1972,Wimbledon,NA,Female
Dianne Fromholtz Balestrat,1972,Wimbledon,Absent,Female
Sharon Walsh,1972,Wimbledon,2nd Round,Female
Betsy Nagelsen,1972,Wimbledon,NA,Female
Christine O'Neil,1972,Wimbledon,NA,Female
Barbara Jordan,1972,Wimbledon,NA,Female
Chris Evert,1972,US Open,Semi-finalist,Female
Billie Jean Moffitt King,1972,US Open,Won,Female
Evonne Goolagong Cawley,1972,US Open,3rd Round,Female
Margaret Court,1972,US Open,Semi-finalist,Female
Virginia Wade,1972,US Open,Quarterfinalist,Female
Martina Navratilova,1972,US Open,NA,Female
Olga Morozova,1972,US Open,Quarterfinalist,Female
Kerry Melville Reid,1972,US Open,Finalist,Female
Rosemary Casals,1972,US Open,Quarterfinalist,Female
Françoise Dürr,1972,US Open,3rd Round,Female
Helga Niessen Masthoff,1972,US Open,Absent,Female
Nancy Richey Gunter,1972,US Open,1st Round,Female
Judy Tegart Dalton,1972,US Open,Absent,Female
Lesley Turner Bowrey,1972,US Open,Absent,Female
Tracy Austin,1972,US Open,NA,Female
Maria Bueno,1972,US Open,Absent,Female
Virginia Ruzici,1972,US Open,NA,Female
Christine Truman Janes,1972,US Open,Absent,Female
Jan Lehane O'Neill,1972,US Open,Absent,Female
Karen Hantze Susman,1972,US Open,Absent,Female
Carole Caldwell Graebner,1972,US Open,Absent,Female
Shirley Bloomer Brasher,1972,US Open,Absent,Female
Lorraine Coghlan Robinson,1972,US Open,NA,Female
Betty Stöve,1972,US Open,3rd Round,Female
Wendy Turnbull,1972,US Open,Absent,Female
Renáta Tomanová,1972,US Open,NA,Female
Helen Gourlay Cawley,1972,US Open,1st Round,Female
Sue Barker,1972,US Open,NA,Female
Mima Jaušovec,1972,US Open,NA,Female
Florența Mihai,1972,US Open,NA,Female
Dianne Fromholtz Balestrat,1972,US Open,Absent,Female
Sharon Walsh,1972,US Open,3rd Round,Female
Betsy Nagelsen,1972,US Open,NA,Female
Christine O'Neil,1972,US Open,NA,Female
Barbara Jordan,1972,US Open,NA,Female
Chris Evert,1973,Australian Open,Absent,Female
Billie Jean Moffitt King,1973,Australian Open,Absent,Female
Evonne Goolagong Cawley,1973,Australian Open,Finalist,Female
Margaret Court,1973,Australian Open,Won,Female
Virginia Wade,1973,Australian Open,Quarterfinalist,Female
Martina Navratilova,1973,Australian Open,Absent,Female
Olga Morozova,1973,Australian Open,Absent,Female
Kerry Melville Reid,1973,Australian Open,Semi-finalist,Female
Rosemary Casals,1973,Australian Open,Absent,Female
Françoise Dürr,1973,Australian Open,Absent,Female
Helga Niessen Masthoff,1973,Australian Open,Absent,Female
Nancy Richey Gunter,1973,Australian Open,Absent,Female
Judy Tegart Dalton,1973,Australian Open,Absent,Female
Lesley Turner Bowrey,1973,Australian Open,3rd Round,Female
Tracy Austin,1973,Australian Open,NA,Female
Maria Bueno,1973,Australian Open,Absent,Female
Virginia Ruzici,1973,Australian Open,Absent,Female
Christine Truman Janes,1973,Australian Open,Absent,Female
Jan Lehane O'Neill,1973,Australian Open,Absent,Female
Karen Hantze Susman,1973,Australian Open,Absent,Female
Carole Caldwell Graebner,1973,Australian Open,NA,Female
Shirley Bloomer Brasher,1973,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1973,Australian Open,NA,Female
Betty Stöve,1973,Australian Open,Absent,Female
Wendy Turnbull,1973,Australian Open,3rd Round,Female
Renáta Tomanová,1973,Australian Open,Absent,Female
Helen Gourlay Cawley,1973,Australian Open,Absent,Female
Sue Barker,1973,Australian Open,Absent,Female
Mima Jaušovec,1973,Australian Open,NA,Female
Florența Mihai,1973,Australian Open,NA,Female
Dianne Fromholtz Balestrat,1973,Australian Open,Quarterfinalist,Female
Sharon Walsh,1973,Australian Open,Absent,Female
Betsy Nagelsen,1973,Australian Open,NA,Female
Christine O'Neil,1973,Australian Open,1st Round,Female
Barbara Jordan,1973,Australian Open,NA,Female
Chris Evert,1973,French Open,Finalist,Female
Billie Jean Moffitt King,1973,French Open,Absent,Female
Evonne Goolagong Cawley,1973,French Open,Semi-finalist,Female
Margaret Court,1973,French Open,Won,Female
Virginia Wade,1973,French Open,3rd Round,Female
Martina Navratilova,1973,French Open,Quarterfinalist,Female
Olga Morozova,1973,French Open,2nd Round,Female
Kerry Melville Reid,1973,French Open,Absent,Female
Rosemary Casals,1973,French Open,Absent,Female
Françoise Dürr,1973,French Open,Semi-finalist,Female
Helga Niessen Masthoff,1973,French Open,Quarterfinalist,Female
Nancy Richey Gunter,1973,French Open,3rd Round,Female
Judy Tegart Dalton,1973,French Open,Absent,Female
Lesley Turner Bowrey,1973,French Open,Absent,Female
Tracy Austin,1973,French Open,NA,Female
Maria Bueno,1973,French Open,Absent,Female
Virginia Ruzici,1973,French Open,1st Round,Female
Christine Truman Janes,1973,French Open,Absent,Female
Jan Lehane O'Neill,1973,French Open,Absent,Female
Karen Hantze Susman,1973,French Open,Absent,Female
Carole Caldwell Graebner,1973,French Open,NA,Female
Shirley Bloomer Brasher,1973,French Open,Absent,Female
Lorraine Coghlan Robinson,1973,French Open,NA,Female
Betty Stöve,1973,French Open,3rd Round,Female
Wendy Turnbull,1973,French Open,1st Round,Female
Renáta Tomanová,1973,French Open,3rd Round,Female
Helen Gourlay Cawley,1973,French Open,Absent,Female
Sue Barker,1973,French Open,Absent,Female
Mima Jaušovec,1973,French Open,NA,Female
Florența Mihai,1973,French Open,NA,Female
Dianne Fromholtz Balestrat,1973,French Open,Absent,Female
Sharon Walsh,1973,French Open,2nd Round,Female
Betsy Nagelsen,1973,French Open,NA,Female
Christine O'Neil,1973,French Open,Absent,Female
Barbara Jordan,1973,French Open,NA,Female
Chris Evert,1973,Wimbledon,Finalist,Female
Billie Jean Moffitt King,1973,Wimbledon,Won,Female
Evonne Goolagong Cawley,1973,Wimbledon,Semi-finalist,Female
Margaret Court,1973,Wimbledon,Semi-finalist,Female
Virginia Wade,1973,Wimbledon,Quarterfinalist,Female
Martina Navratilova,1973,Wimbledon,3rd Round,Female
Olga Morozova,1973,Wimbledon,Quarterfinalist,Female
Kerry Melville Reid,1973,Wimbledon,Quarterfinalist,Female
Rosemary Casals,1973,Wimbledon,Quarterfinalist,Female
Françoise Dürr,1973,Wimbledon,4th Round,Female
Helga Niessen Masthoff,1973,Wimbledon,Absent,Female
Nancy Richey Gunter,1973,Wimbledon,Absent,Female
Judy Tegart Dalton,1973,Wimbledon,Absent,Female
Lesley Turner Bowrey,1973,Wimbledon,Absent,Female
Tracy Austin,1973,Wimbledon,NA,Female
Maria Bueno,1973,Wimbledon,Absent,Female
Virginia Ruzici,1973,Wimbledon,2nd Round,Female
Christine Truman Janes,1973,Wimbledon,1st Round,Female
Jan Lehane O'Neill,1973,Wimbledon,Absent,Female
Karen Hantze Susman,1973,Wimbledon,Absent,Female
Carole Caldwell Graebner,1973,Wimbledon,NA,Female
Shirley Bloomer Brasher,1973,Wimbledon,1st Round,Female
Lorraine Coghlan Robinson,1973,Wimbledon,NA,Female
Betty Stöve,1973,Wimbledon,1st Round,Female
Wendy Turnbull,1973,Wimbledon,3rd Round,Female
Renáta Tomanová,1973,Wimbledon,1st Round,Female
Helen Gourlay Cawley,1973,Wimbledon,1st Round,Female
Sue Barker,1973,Wimbledon,2nd Round,Female
Mima Jaušovec,1973,Wimbledon,NA,Female
Florența Mihai,1973,Wimbledon,NA,Female
Dianne Fromholtz Balestrat,1973,Wimbledon,1st Round,Female
Sharon Walsh,1973,Wimbledon,1st Round,Female
Betsy Nagelsen,1973,Wimbledon,NA,Female
Christine O'Neil,1973,Wimbledon,Absent,Female
Barbara Jordan,1973,Wimbledon,NA,Female
Chris Evert,1973,US Open,Semi-finalist,Female
Billie Jean Moffitt King,1973,US Open,3rd Round,Female
Evonne Goolagong Cawley,1973,US Open,Finalist,Female
Margaret Court,1973,US Open,Won,Female
Virginia Wade,1973,US Open,Quarterfinalist,Female
Martina Navratilova,1973,US Open,1st Round,Female
Olga Morozova,1973,US Open,3rd Round,Female
Kerry Melville Reid,1973,US Open,Quarterfinalist,Female
Rosemary Casals,1973,US Open,Quarterfinalist,Female
Françoise Dürr,1973,US Open,1st Round,Female
Helga Niessen Masthoff,1973,US Open,Semi-finalist,Female
Nancy Richey Gunter,1973,US Open,3rd Round,Female
Judy Tegart Dalton,1973,US Open,Absent,Female
Lesley Turner Bowrey,1973,US Open,2nd Round,Female
Tracy Austin,1973,US Open,NA,Female
Maria Bueno,1973,US Open,Absent,Female
Virginia Ruzici,1973,US Open,Absent,Female
Christine Truman Janes,1973,US Open,Absent,Female
Jan Lehane O'Neill,1973,US Open,Absent,Female
Karen Hantze Susman,1973,US Open,Absent,Female
Carole Caldwell Graebner,1973,US Open,NA,Female
Shirley Bloomer Brasher,1973,US Open,Absent,Female
Lorraine Coghlan Robinson,1973,US Open,NA,Female
Betty Stöve,1973,US Open,2nd Round,Female
Wendy Turnbull,1973,US Open,Absent,Female
Renáta Tomanová,1973,US Open,Absent,Female
Helen Gourlay Cawley,1973,US Open,1st Round,Female
Sue Barker,1973,US Open,Absent,Female
Mima Jaušovec,1973,US Open,NA,Female
Florența Mihai,1973,US Open,NA,Female
Dianne Fromholtz Balestrat,1973,US Open,Absent,Female
Sharon Walsh,1973,US Open,1st Round,Female
Betsy Nagelsen,1973,US Open,NA,Female
Christine O'Neil,1973,US Open,Absent,Female
Barbara Jordan,1973,US Open,NA,Female
Chris Evert,1974,Australian Open,Finalist,Female
Billie Jean Moffitt King,1974,Australian Open,Absent,Female
Evonne Goolagong Cawley,1974,Australian Open,Won,Female
Margaret Court,1974,Australian Open,Absent,Female
Virginia Wade,1974,Australian Open,Absent,Female
Martina Navratilova,1974,Australian Open,Absent,Female
Olga Morozova,1974,Australian Open,Absent,Female
Kerry Melville Reid,1974,Australian Open,Semi-finalist,Female
Rosemary Casals,1974,Australian Open,Absent,Female
Françoise Dürr,1974,Australian Open,Absent,Female
Helga Niessen Masthoff,1974,Australian Open,Absent,Female
Nancy Richey Gunter,1974,Australian Open,Absent,Female
Judy Tegart Dalton,1974,Australian Open,Quarterfinalist,Female
Lesley Turner Bowrey,1974,Australian Open,Absent,Female
Tracy Austin,1974,Australian Open,NA,Female
Maria Bueno,1974,Australian Open,Absent,Female
Virginia Ruzici,1974,Australian Open,Absent,Female
Christine Truman Janes,1974,Australian Open,Absent,Female
Jan Lehane O'Neill,1974,Australian Open,2nd Round,Female
Karen Hantze Susman,1974,Australian Open,Absent,Female
Carole Caldwell Graebner,1974,Australian Open,NA,Female
Shirley Bloomer Brasher,1974,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1974,Australian Open,NA,Female
Betty Stöve,1974,Australian Open,Absent,Female
Wendy Turnbull,1974,Australian Open,2nd Round,Female
Renáta Tomanová,1974,Australian Open,Absent,Female
Helen Gourlay Cawley,1974,Australian Open,2nd Round,Female
Sue Barker,1974,Australian Open,3rd Round,Female
Mima Jaušovec,1974,Australian Open,Absent,Female
Florența Mihai,1974,Australian Open,NA,Female
Dianne Fromholtz Balestrat,1974,Australian Open,2nd Round,Female
Sharon Walsh,1974,Australian Open,Absent,Female
Betsy Nagelsen,1974,Australian Open,Absent,Female
Christine O'Neil,1974,Australian Open,1st Round,Female
Barbara Jordan,1974,Australian Open,NA,Female
Chris Evert,1974,French Open,Won,Female
Billie Jean Moffitt King,1974,French Open,Absent,Female
Evonne Goolagong Cawley,1974,French Open,Absent,Female
Margaret Court,1974,French Open,Absent,Female
Virginia Wade,1974,French Open,2nd Round,Female
Martina Navratilova,1974,French Open,Quarterfinalist,Female
Olga Morozova,1974,French Open,Finalist,Female
Kerry Melville Reid,1974,French Open,Absent,Female
Rosemary Casals,1974,French Open,Absent,Female
Françoise Dürr,1974,French Open,Absent,Female
Helga Niessen Masthoff,1974,French Open,Semi-finalist,Female
Nancy Richey Gunter,1974,French Open,Absent,Female
Judy Tegart Dalton,1974,French Open,Absent,Female
Lesley Turner Bowrey,1974,French Open,Absent,Female
Tracy Austin,1974,French Open,NA,Female
Maria Bueno,1974,French Open,Absent,Female
Virginia Ruzici,1974,French Open,2nd Round,Female
Christine Truman Janes,1974,French Open,Absent,Female
Jan Lehane O'Neill,1974,French Open,Absent,Female
Karen Hantze Susman,1974,French Open,Absent,Female
Carole Caldwell Graebner,1974,French Open,NA,Female
Shirley Bloomer Brasher,1974,French Open,Absent,Female
Lorraine Coghlan Robinson,1974,French Open,NA,Female
Betty Stöve,1974,French Open,Absent,Female
Wendy Turnbull,1974,French Open,Absent,Female
Renáta Tomanová,1974,French Open,1st Round,Female
Helen Gourlay Cawley,1974,French Open,Absent,Female
Sue Barker,1974,French Open,Absent,Female
Mima Jaušovec,1974,French Open,2nd Round,Female
Florența Mihai,1974,French Open,NA,Female
Dianne Fromholtz Balestrat,1974,French Open,3rd Round,Female
Sharon Walsh,1974,French Open,Absent,Female
Betsy Nagelsen,1974,French Open,1st Round,Female
Christine O'Neil,1974,French Open,Absent,Female
Barbara Jordan,1974,French Open,NA,Female
Chris Evert,1974,Wimbledon,Won,Female
Billie Jean Moffitt King,1974,Wimbledon,Quarterfinalist,Female
Evonne Goolagong Cawley,1974,Wimbledon,Quarterfinalist,Female
Margaret Court,1974,Wimbledon,Absent,Female
Virginia Wade,1974,Wimbledon,Semi-finalist,Female
Martina Navratilova,1974,Wimbledon,1st Round,Female
Olga Morozova,1974,Wimbledon,Finalist,Female
Kerry Melville Reid,1974,Wimbledon,Semi-finalist,Female
Rosemary Casals,1974,Wimbledon,4th Round,Female
Françoise Dürr,1974,Wimbledon,3rd Round,Female
Helga Niessen Masthoff,1974,Wimbledon,Quarterfinalist,Female
Nancy Richey Gunter,1974,Wimbledon,Absent,Female
Judy Tegart Dalton,1974,Wimbledon,Absent,Female
Lesley Turner Bowrey,1974,Wimbledon,Absent,Female
Tracy Austin,1974,Wimbledon,NA,Female
Maria Bueno,1974,Wimbledon,Absent,Female
Virginia Ruzici,1974,Wimbledon,2nd Round,Female
Christine Truman Janes,1974,Wimbledon,3rd Round,Female
Jan Lehane O'Neill,1974,Wimbledon,Absent,Female
Karen Hantze Susman,1974,Wimbledon,Absent,Female
Carole Caldwell Graebner,1974,Wimbledon,NA,Female
Shirley Bloomer Brasher,1974,Wimbledon,2nd Round,Female
Lorraine Coghlan Robinson,1974,Wimbledon,NA,Female
Betty Stöve,1974,Wimbledon,1st Round,Female
Wendy Turnbull,1974,Wimbledon,2nd Round,Female
Renáta Tomanová,1974,Wimbledon,2nd Round,Female
Helen Gourlay Cawley,1974,Wimbledon,3rd Round,Female
Sue Barker,1974,Wimbledon,1st Round,Female
Mima Jaušovec,1974,Wimbledon,3rd Round,Female
Florența Mihai,1974,Wimbledon,NA,Female
Dianne Fromholtz Balestrat,1974,Wimbledon,1st Round,Female
Sharon Walsh,1974,Wimbledon,2nd Round,Female
Betsy Nagelsen,1974,Wimbledon,3rd Round,Female
Christine O'Neil,1974,Wimbledon,3rd Round,Female
Barbara Jordan,1974,Wimbledon,NA,Female
Chris Evert,1974,US Open,Semi-finalist,Female
Billie Jean Moffitt King,1974,US Open,Won,Female
Evonne Goolagong Cawley,1974,US Open,Finalist,Female
Margaret Court,1974,US Open,Absent,Female
Virginia Wade,1974,US Open,2nd Round,Female
Martina Navratilova,1974,US Open,3rd Round,Female
Olga Morozova,1974,US Open,Absent,Female
Kerry Melville Reid,1974,US Open,Quarterfinalist,Female
Rosemary Casals,1974,US Open,Quarterfinalist,Female
Françoise Dürr,1974,US Open,2nd Round,Female
Helga Niessen Masthoff,1974,US Open,Absent,Female
Nancy Richey Gunter,1974,US Open,Quarterfinalist,Female
Judy Tegart Dalton,1974,US Open,Absent,Female
Lesley Turner Bowrey,1974,US Open,Absent,Female
Tracy Austin,1974,US Open,NA,Female
Maria Bueno,1974,US Open,Absent,Female
Virginia Ruzici,1974,US Open,1st Round,Female
Christine Truman Janes,1974,US Open,Absent,Female
Jan Lehane O'Neill,1974,US Open,Absent,Female
Karen Hantze Susman,1974,US Open,Absent,Female
