"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"BK Reader",,https://bkreader.com,"Clara Zawadi Morris",No,"New York",NY,"United States",English,,LLC,LLC,2013,2,61-70,0-10,0-10,11-20,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Events in coverage area, Food, Gender Identity, Government, Health & Medicine, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Content Sponsorship, Display",,"We have provided coverage in fast-developing borough-- Brooklyn-- in neighborhoods that have been news deserts, traditionally underreported, poorly reported or not reported.","BK Reader is a hyperlocal digital daily news source reporting the art, culture, business and lifestyle of Brooklyn’s fastest-developing areas, including the neighborhoods of Bedford-Stuyvesant, Crown Heights, Fort Greene, Clinton Hill, Brownsville, East New York, Prospect Heights, Flatbush and Bushwick."
BKLYNER,,https://bklyner.com,,No,Brooklyn,NY,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bklyner is Brooklyn’s largest local news site.  Our roots are in community reporting, and we care about the communities we cover. We strive to cover the diversity of the Brooklyn neighborhoods and the news, issues, events, and businesses that matter to their residents."
"Bladen Online",,https://bladenonline.com,,No,Elizabethtown,NC,"United States",English,,,"For Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"In 2017, during BladenOnline.com‘s 10th year in existence the team expanded its services. Not only does the local online indie news outlet use its website to keep readers informed, but now it uses social medias, YouTube and published Bladen County Beautiful magazine."
"BLNDED Media",,https://blndedmedia.com,"Naji H. Kelley",No,Throckmorton,TX,"United States",English,,LLC,"S Corp",2016,1,0-10,0-10,0-10,11-20,"Originally-reported articles, Newsletters",,Website,,"State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Business, Events in coverage area, Immigration, Race & Ethnicity, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Haven’t generated revenue yet, but intend to do so",,,"Haven’t generated revenue yet, but intend to do so",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We connect stories from entrepreneurs to resources that help them scale/grow their companies.","BLNDED Media is an empowerment platform for people of color interested in tech, media, and business."
"Block Club Chicago",,https://Blockclubchicago.org,"Stephanie Lulay, Shamus Toomey, Jen Sabella",Yes,Chicago,IL,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2018,11-15,61-70,11-20,0-10,11-20,"Newsletters, Originally-reported articles",,"Social media, Website",,Neighborhood(s),"Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Business, Environment, Planning & Development, Social Justice & Inequality, Transportation",,"People of color",,"Foundation funding, Philanthropic funding from major institutions, Reader subscriptions, Small individual gifts",,,"Reader subscriptions",,"Hybrid model (some free content, separate premium tier)",,Email,,,"Block Club Chicago is a nonprofit news organization dedicated to delivering reliable, nonpartisan and essential coverage of Chicago’s diverse neighborhoods."
"Blowing Rock News",,https://blowingrocknews.com,,No,"Blowing Rock",NC,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blowing Rock News was launched in August 2010, to capture the “heart” of the life and times of Blowing Rock and its surrounding communities. In addition to local government, business trends, special events and cultural features coverage, including thought-provoking opinion pieces, Blowing Rock News’ content features unparalleled, high quality images in almost every story."
"Bluffton Icon",,http://www.blufftonicon.com,,No,Bluffton,OH,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Bluffton Icon is where Bluffton gets its information. The Icon is the center of information and commerce for Bluffton, Ohio. We promote Bluffton through advertising, the printed word, photographs and other tools of technology."
"Boise Guardian",,https://boiseguardian.com,,No,Boise,ID,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"The GUARDIAN was born of necessity and frustration. The people need a voice and the internet is the perfect forum.
Local politicians with their personal agendas work to circumvent the will of the people. The local media depends on a friendly reception from the government and big business. This natural timidity combined with a profit motive leaves print, TV and radio news emasculated (in English that means they don’t have any cajones)."
BoiseDev,,https://boisedev.com,"Don Day",Yes,Boise,ID,"United States",English,,"For Profit","For Profit",2013,3-5,51-60,0-10,11-20,0-10,"News aggregation, Originally-reported articles, Podcasts",,"Email, Podcast, Print, Radio, Television, Website",,"County/Counties/Regional districts","In-depth feature and explanatory reporting, Investigative news",,"Business, Government, Housing, Local News, Planning & Development",,,,"Direct sold advertising, Reader membership",,,"Reader membership",,Other,,"Content Sponsorship, Display, Email, Podcast Sponsorship, Social Media",,,"BoiseDev covers business, growth, development and civic issues in the greater Boise, Idaho area. It focuses on a reader-first model of coverage and is the only locally-owned commercial news outlet in Boise."
Borderzine,,https://borderzine.com,,No,"El Paso",TX,"United States","Bilingual (Spanish & English)",,,"Not for Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are an innovative journalism education initiative and online publishing platform that prepares young bilingual journalists for jobs in 21st century news media."
"Boston Institute for Nonprofit Journalism",,https://www.binjonline.org,,Yes,Boston,MA,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2015,3-5,,,,,"Branded Merchandise, Events, Newsletters, Originally-reported articles, Printed media, Video",,"Email, Events, Print, Social media, Syndicated feed or content partnerships, Television, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Entertainment & Arts, Health & Medicine, Local News, Politics, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, People of color",,,,,,,,,,,"Over the years, BINJ has published dozens of significant investigative news articles on major underreported issues—and hundreds of articles overall—and distributed them to multiple independent news organizations around Massachusetts and nationwide. But the longer-term expansion of its core mission came with the founding of the Somerville News Garden project in 2019 in response to the rolling collapse of the local news industry. BINJ's mission was further expanded by its legislative work on a key bill aimed at getting a journalism commission established by the state legislature.","The Boston Institute for Nonprofit Journalism supports the development and production of independent news. BINJ achieves its mission by: providing organizational support to community publications; running reporting collaborations and civic engagement initiatives; training promising journalists; and producing bold independent journalism. Best known for its investigative reporting, BINJ launched the Somerville News Garden project in 2019 to experiment with creating a replicable volunteer-driven model that municipalities can use to reverse their slide toward becoming news deserts."
"Boyle Heights Beat",,https://boyleheightsbeat.com,,No,"Los Angeles",CA,"United States",English,,,"Not for Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Boyle Heights Beat/Pulso de Boyle Heights is a bilingual, independent project under the fiscal sponsorship of the non-profit Social and Environmental Entrepreneurs.
Boyle Heights Beat offers a unique brand of community journalism, built around neighborhood meetings that youth reporters lead each quarter to solicit ideas and hear concerns."
Bramptonist,,https://bramptonist.com,,No,Brampton,ON,Canada,English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurant openings, up-and-coming hotspots, best-of lists. We bring news, opinion, entertainment and culture content to the 18-35s living in Brampton."
"Branford Seven",,http://www.branfordseven.com,,No,Branford,CT,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreakingAC,,https://www.breakingac.com,,No,"Egg Harbor Township",NJ,"United States",English,,,"For Profit",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,"In this time of media doubt, it’s important to have a news source that people can trust.
Everyone wants to be first, but it’s more important to be right. To be ethical. And to care about the community you are covering.
That’s where BreakingAC comes in."
"Breckenridge Texan",,https://breckenridgetexan.com,,No,Breckenridge,TX,"United States",English,,,"Not for Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Breckenridge Texan is a nonprofit community news website dedicated to our mission of providing accurate, high-quality, current, local journalism to the residents of Breckenridge, Texas, and the surrounding area, as well as to those who are interested in the region. Our goal is to make a difference in the lives of people living here by informing and educating through a sustainable source for news, entertainment and sports coverage."
