industry,major_occupation,minor_occupation,race_gender,industry_total,employ_n,year
Nondurable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,3441000,402000,2020
Wholesale and retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,10634000,940000,2020
Wholesale and retail trade,"Management, professional, and related occupations",Professional and related occupations,Men,10634000,559000,2020
Wholesale and retail trade,Service occupations,Protective service occupations,Men,10634000,49000,2020
Wholesale and retail trade,Service occupations,"Service occupations, except protective",Men,10634000,265000,2020
Wholesale and retail trade,Sales and office occupations,Sales and related occupations,Men,10634000,4491000,2020
Wholesale and retail trade,Sales and office occupations,Office and administrative support occupations,Men,10634000,680000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,10634000,27000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,10634000,124000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,10634000,640000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Production occupations,Men,10634000,373000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,10634000,2488000,2020
Wholesale trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,2358000,340000,2020
Wholesale trade,"Management, professional, and related occupations",Professional and related occupations,Men,2358000,106000,2020
Wholesale trade,Service occupations,Protective service occupations,Men,2358000,7000,2020
Wholesale trade,Service occupations,"Service occupations, except protective",Men,2358000,28000,2020
Wholesale trade,Sales and office occupations,Sales and related occupations,Men,2358000,855000,2020
Wholesale trade,Sales and office occupations,Office and administrative support occupations,Men,2358000,159000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,2358000,16000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,2358000,24000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,2358000,140000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Production occupations,Men,2358000,86000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,2358000,597000,2020
Retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,8276000,600000,2020
Retail trade,"Management, professional, and related occupations",Professional and related occupations,Men,8276000,453000,2020
Retail trade,Service occupations,Protective service occupations,Men,8276000,42000,2020
Retail trade,Service occupations,"Service occupations, except protective",Men,8276000,237000,2020
Retail trade,Sales and office occupations,Sales and related occupations,Men,8276000,3636000,2020
Retail trade,Sales and office occupations,Office and administrative support occupations,Men,8276000,521000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,8276000,10000,2020
Retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,8276000,100000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,8276000,500000,2020
Retail trade,"Production, transportation, and material moving occupations",Production occupations,Men,8276000,287000,2020
Retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,8276000,1891000,2020
Transportation and utilities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,6492000,708000,2020
Transportation and utilities,"Management, professional, and related occupations",Professional and related occupations,Men,6492000,303000,2020
Transportation and utilities,Service occupations,Protective service occupations,Men,6492000,34000,2020
Transportation and utilities,Service occupations,"Service occupations, except protective",Men,6492000,62000,2020
Transportation and utilities,Sales and office occupations,Sales and related occupations,Men,6492000,81000,2020
Transportation and utilities,Sales and office occupations,Office and administrative support occupations,Men,6492000,1023000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,6492000,2000,2020
