id,name,normalized_name
2730,Country Club Prison,country club prison
2731,NORTHERN CALIFORNIA,northern california
2732,COSMIC WARS RANCH,cosmic wars ranch
2733,CREATURE WORKS BUILDING,creature works building
2734,Lush Valley Winery,lush valley winery
2735,RANDALL CURTIS' OFFICE,randall curtis office
2736,OKTOBERFEST PARKING LOT,oktoberfest parking lot
2737,EMBANKMENT,embankment
2738,Quitters,quitters
2739,REC ROOM,rec room
2740,GIRLS' DEPARTMENT,girls department
2741,COSMETICS DEPT.,cosmetics dept
2742,DRESSING ROOM AREA,dressing room area
2743,Housewares Section,housewares section
2744,Springfield Juvenile Correctional Facility,springfield juvenile correctional facility
2746,Prison Hallway,prison hallway
2747,Small Prison Auditorium,small prison auditorium
2748,PRISON PLAY YARD,prison play yard
2749,Prison Visiting Room,prison visiting room
2750,Juvenile Prison,juvenile prison
2751,Prison Rec Room,prison rec room
2752,Prison Gymnasium,prison gymnasium
2753,JUVENILE CORRECTIONAL FACILITY,juvenile correctional facility
2754,Countryside,countryside
2755,BLACKSMITH'S,blacksmith
2756,FORK IN ROAD,fork in road
2757,FORK IN THE ROAD,fork in the road
2758,JUVENILE HALL,juvenile hall
2759,FUTURISTIC LIVING ROOM,futuristic living room
2760,MULTI-PURPOSE ROOM B,multi-purpose room b
2761,UNCLE TYRONE'S HOUSE,uncle tyrone house
2762,Video Rental Store,video rental store
2763,ADULT FILM SECTION,adult film section
2764,Plane Cabin,plane cabin
2765,Swelldorado Hotel,swelldorado hotel
2766,HIGHWAY NORTH OF MIAMI,highway north of miami
2767,Miami Airport,miami airport
2768,Miami Beach,miami beach
2769,Miami,miami
2770,Atlantic City,atlantic city
2771,ATLANTIC CITY HOTEL,atlantic city hotel
2772,Luxury Apartment Tower,luxury apartment tower
2773,Raoul's Penthouse,raoul penthouse
2774,NIAGARA FALLS AIRPORT,niagara falls airport
2775,Niagara Falls Hotel,niagara falls hotel
2776,TOP OF FERRIS WHEEL,top of ferris wheel
2777,"""MOON BOUNCE"" CASTLE",moon bounce castle
2778,MOON BOUNCE,moon bounce
2779,NIAGARA RIVER,niagara river
2780,BASE OF THE FALLS,base of the falls
2781,Poolside Patio,poolside patio
2782,COUNTY FAIR,county fair
2783,CITY,city
2784,SUMMER CAMP,summer camp
2785,Homer's Cabin,homer cabin
2786,Motorboat,motorboat
2787,Girls' Dining Room,girls dining room
2788,GIRLS' KITCHEN,girls kitchen
2789,Camp Infirmary,camp infirmary
2790,LAKESHORE,lakeshore
2791,GIRLS' BEACH,girls beach
2792,GIRLS' CAMP,girls camp
2793,GIRLS DINING HALL,girls dining hall
2794,Marge's Cabin,marge cabin
2795,PROMONTORY,promontory
2796,SECOND DATE ROCK,second date rock
2797,Fat Camp,fat camp
2798,GIRLS' CAMP PAY PHONE,girls camp pay phone
2799,BOYS' CAMP PAYPHONE,boys camp payphone
2800,GIRLS' PAYPHONE,girls payphone
2801,GIRLS' CAMPGROUND,girls campground
2802,CHILDREN'S EXAM ROOM,children exam room
2803,When You Wash Upon a Car Wash,when you wash upon a car wash
2804,"""HEADBUTT"" SET",headbutt set
2805,LIBERTYVILLE,libertyville
2806,First Church of Libertyville,first church of libertyville
2807,Ronald Reagan Reeducation Center,ronald reagan reeducation center
2808,Prison Auditorium,prison auditorium
2809,SPRINGFIELD MOUNTAIN AREA,springfield mountain area
2810,Geezer Rock,geezer rock
2811,Channel 6 Building,channel 6 building
2812,Springfield Sky,springfield sky
2813,ARMY BASE,army base
2814,BOOTH,booth
2815,CORE,core
2816,VICTORIAN LONDON,victorian london
2817,SCOTLAND YARD,scotland yard
2818,EMPORIUM OF EXOTICA,emporium of exotica
2819,OPIUM DEN,opium den
2820,PUBLIC YARD,public yard
2821,MAO'S DEN,mao den
2822,MAO'S,mao
2823,CAPSULE,capsule
2824,MR. BURNS' BODY,mr burns body
2825,BURNS' BODY,burns body
2826,VESSEL,vessel
2827,FRINK'S OFFICE,frink office
2828,MR. BURNS,mr burns
2829,HOUSE NEXT DOOR,house next door
2830,JUDGING ROOM,judging room
2831,THE THIN CROWD,the thin crowd
2832,BAD PART OF TOWN,bad part of town
2833,Muntz House,muntz house
2834,WINDOW,window
2835,Springfield Press Club,springfield press club
2836,Chloe's Car,chloe car
2837,Springfield Four Seasons,springfield four seasons
2838,Highway Outside Capital City,highway outside capital city
2839,Base Of The Springfield Volcano Site,base of the springfield volcano site
2840,U. N. WOMEN'S CONFERENCE,u n women conference
2841,WOMEN'S CONFERENCE,women conference
2842,SPRINGFIELD VOLCANO,springfield volcano
2843,BASE OF THE VOLCANO,base of the volcano
2844,Barney's Helicopter,barney helicopter
2845,PLUTONIUM STORAGE ROOM,plutonium storage room
2846,Goose's Gags and Gifts,goose gags and gifts
2847,Springfield Air and Space Museum,springfield air and space museum
2848,AIR MUSEUM,air museum
2849,Tarmac,tarmac
2850,MUSEUM STAGE,museum stage
2851,Springfield Employment Agency,springfield employment agency
2852,Police Evidence Room,police evidence room
2853,Drug Manufacturing Plant,drug manufacturing plant
2854,CANADIAN VFW-STYLE BUILDING,canadian vfw-style building
2855,DUDLEY DO-DRUGS PHARMACY,dudley do-drugs pharmacy
2856,CANADIAN PHARMACY,canadian pharmacy
2857,U.S.,us
2858,Rented Van,rented van
2859,STREETS OF WINNIPEG,streets of winnipeg
2860,"BORDER CROSSING, CANADIAN SIDE",border crossing canadian side
2861,CANADIAN JAIL,canadian jail
2862,AIRPORT HANGAR,airport hangar
2863,Canadian Warehouse,canadian warehouse
2864,Skies,skies
2865,PLYWOOD PELICAN,plywood pelican
2866,Tower Room,tower room
2867,Fancy Hotel,fancy hotel
2868,FANCY ATRIUM,fancy atrium
2869,ATRIUM,atrium
2870,HOT AIR BALLOON,hot air balloon
2871,LARGE FOOTBALL STADIUM,large football stadium
2872,COMMISSIONER'S OFFICE,commissioner office
2873,Capital City Stadium,capital city stadium
2874,ARK,ark
2875,HUMMER LIMO,hummer limo
2876,FANCY ESTATE,fancy estate
2877,Alcatraaaz Mansion,alcatraaaz mansion
2878,ALCATRAAAZ' HOUSE,alcatraaaz house
2879,SPRINGFIELD GLACIER PARK,springfield glacier park
2880,SPRINGFIELD SPRAWL*MART,springfield sprawlmart
2881,SPRINGFIELD GLACIER VISITOR CENTER,springfield glacier visitor center
2882,SPRAWL*MART,sprawlmart
2883,GLACIER VISITOR CENTER,glacier visitor center
2884,Springfield Glacier,springfield glacier
2885,FAMILY COURT,family court
2886,Bart's Sylvan Glade,bart sylvan glade
2887,Henhouse,henhouse
2888,SUBURBAN ROAD,suburban road
2889,Selma's Hospital Room,selma hospital room
2890,Springfield Orphanage,springfield orphanage
2891,CHINESE CONSULATE,chinese consulate
2892,ADOPTION AFFAIRS OFFICE,adoption affairs office
2893,BEIJING AIRPORT,beijing airport
2894,GREAT HALL OF THE PEOPLE,great hall of the people
2895,IN FRONT OF SHAOLIN TEMPLE,in front of shaolin temple
2896,MAO'S TOMB,mao tomb
2897,Great Wall of China,great wall of china
2898,Beijing Playhouse,beijing playhouse
2899,Playhouse,playhouse
2900,INSIDE FORBIDDEN CITY,inside forbidden city
2901,CHINESE STREET,chinese street
2902,ZHENGYICI THEATER,zhengyici theater
2903,Simpsons' Hotel,simpsons hotel
2904,ORPHANAGE,orphanage
2905,BEIJING STREET,beijing street
2906,FISHING WHARF,fishing wharf
2907,STRIP MALL INSURANCE AGENCY,strip mall insurance agency
2908,MERRY WIDOW LIFE INSURANCE,merry widow life insurance
2909,Motor Home,motor home
2910,RV DEALERSHIP,rv dealership
2911,TURNPIKE,turnpike
2912,REAR DECK OF SHIP,rear deck of ship
2913,Shelbyville Main Street,shelbyville main street
2914,Shelbyville,shelbyville
2915,FRANK GEHRY-STYLE HOUSE,frank gehry-style house
2916,SPRINGFIELD TOWN ASSEMBLY HALL,springfield town assembly hall
2917,Prison Shower,prison shower
2918,Homer's Cell,homer cell
2919,SNOWBALL'S OTHER FAMILY'S HOUSE,snowball other family house
2920,EXERCISE YARD,exercise yard
2921,Prison Library,prison library
2922,Woods Near Prison,woods near prison
2923,Prison Cellblock,prison cellblock
2924,Prison Kitchen,prison kitchen
2925,Gas Chamber,gas chamber
2926,Prison Room,prison room
2927,HIGH SCHOOL,high school
2928,HIGH SCHOOL GYM,high school gym
2929,CLIFF WITH CITY VIEW,cliff with city view
2930,UNDERWATER HOUSE,underwater house
2931,FUTURISTIC KWIK-E-MART,futuristic kwik-e-mart
2932,GRADUATION STAGE,graduation stage
2933,DECOMPRESSION CHAMBER,decompression chamber
2934,Knockers,knockers
2935,Builder's Barn,builder barn
2936,MENTAL HOSPITAL,mental hospital
2937,ELECTRO-SHOCK ROOM,electro-shock room
2938,CALMWOOD,calmwood
2939,Dr. Itchy's,dr itchy
2940,HEALTH SPA,health spa
2941,Serenity Ranch,serenity ranch
2942,Tab Spangler's Car,tab spangler car
2943,Front of Simpson Home,front of simpson home
2944,OUTSIDE WINDOW,outside window
2945,Van Houten Living Room,van houten living room
2946,Gospel for Less,gospel for less
2947,DESERT HIGHWAY,desert highway
2948,MESA,mesa
2949,SUSHI BAR,sushi bar
2950,DESERT ROAD OUTSIDE SPRINGFIELD,desert road outside springfield
2951,SPRINGFIELD MESA,springfield mesa
2952,UPSCALE RESORT LOBBY,upscale resort lobby
2953,Swanky Hotel Suite,swanky hotel suite
2954,God's Office,god office
2955,NPR RADIO STUDIO,npr radio studio
2956,LIMITED APPEAL THEATER,limited appeal theater
2957,FLANDERS' GUEST ROOM,flanders guest room
2958,FLANDERS' (FORMER) HOUSE,flanders house
2959,Humbleton,humbleton
2960,Humble Figurine Factory,humble figurine factory
2961,FLANDERS' HUMBLETON HOUSE,flanders humbleton house
2962,FLANDERS' SPRINGFIELD HOUSE,flanders springfield house
2963,ST. JEROME'S,st jerome
2964,Dublin Street,dublin street
2965,Confessional,confessional
2966,Lovejoy's Van,lovejoy van
2967,PROTESTANT YOUTH FEST FAIRGROUND,protestant youth fest fairground
2968,PROTESTANT YOUTH FEST,protestant youth fest
2969,YOUTH FESTIVAL,youth festival
2970,POST-APOCALYPTIC BATTLEFIELD,post-apocalyptic battlefield
2971,Fat Tony's Office,fat tony office
2972,HIGHWAY REST STOP,highway rest stop
2973,PAY PHONE,pay phone
2974,ROADSIDE CAFE,roadside cafe
2975,SOUTHERN COAST,southern coast
2976,Chicken Coop,chicken coop
2977,SOUTHERN COASTAL TOWN,southern coastal town
2978,STAMP MUSEUM,stamp museum
2979,LENNY'S FRONT LAWN,lenny front lawn
2980,Child's Bedroom,child bedroom
2981,Psychiatrist's Office,psychiatrist office
2982,OTHER SIDE OF THE GATE,other side of the gate
2983,First A. M. E. Church of Springfield,first a m e church of springfield
2984,Spinster City Apartments,spinster city apartments
2985,SPRINGFIELD HOSPITAL GROUNDS,springfield hospital grounds
2986,FOREST CLEARING,forest clearing
2987,BURNS ESTATE,burns estate
2988,Burns Dining Room,burns dining room
2989,SECLUDED MOUNTAIN CLEARING,secluded mountain clearing
2990,PARADISE PIER,paradise pier
2991,ANOTHER AREA OF THE PIER,another area of the pier
2992,Tea House,tea house
2993,SPRINGSHIRE,springshire
2994,Teahouse,teahouse
2995,Karaoke Store,karaoke store
2996,Arts And Crafts Store,arts and crafts store
2997,Cletus and Brandine's Pickup Truck,cletus and brandine pickup truck
2998,Quimby's Bedroom,quimby bedroom
2999,TV SOUNDSTAGE,tv soundstage
3000,MAYORAL MANSION,mayoral mansion
3001,ITALIAN COUNTRYSIDE,italian countryside
3002,Little Italy,little italy
3003,SKIES ABOVE SPRINGFIELD,skies above springfield
3004,TAMMY'S REC ROOM,tammy rec room
3005,CHILDREN'S HOSPITAL,children hospital
3006,Burns's Basement,burns basement
3007,LAWN,lawn
3008,STREET NEXT TO SPRINGFIELD ELEMENTARY,street next to springfield elementary
3009,Italy,italy
3010,Lamborgotti Factory,lamborgotti factory
3011,ITALIAN HIGHWAY,italian highway
3012,PISA,pisa
3013,POMPEII,pompeii
3014,Salsiccia Town Square,salsiccia town square
3015,PALAZZO,palazzo
3016,WELL-APPOINTED STUDY,well-appointed study
3017,Tuscan Countryside,tuscan countryside
3018,WINE VAT,wine vat
3019,ROW OF SHOPS,row of shops
3020,SAUSAGE SHOP,sausage shop
3021,FIELD ON THE EDGE OF TOWN,field on the edge of town
3022,Sideshow Bob's House,sideshow bob house
3023,Rome,rome
3024,ROMAN STREET,roman street
3025,INSIDE COLOSSEUM,inside colosseum
3026,INSIDE THE COLOSSEUM,inside the colosseum
3027,NAZARETH (1 B.C.),nazareth
3028,MARY'S HOUSE,mary house
3029,King Herod's Palace,king herod palace
3030,INN,inn
3031,Bethlehem Inn,bethlehem inn
3032,SKY OVER THE PACIFIC,sky over the pacific
3033,PACIFIC ATOLL,pacific atoll
3034,Tahiti,tahiti
3035,DUMPSTER,dumpster
3036,TOLL ROAD,toll road
3037,Car Behind Marge,car behind marge
3038,Tire Fire,tire fire
3039,Moe's House,moe house
3040,MASON'S HOUSE,mason house
3041,MASON'S BOAT,mason boat
3042,SPANISH GALLEON,spanish galleon
3043,SUBMERSIBLE,submersible
3044,STEAM TUNNEL,steam tunnel
3045,Boiler Room,boiler room
3046,SIXTH GRADE CLASS,sixth grade class
3047,BAND ROOM,band room
3048,ROADSIDE DINER,roadside diner
3049,Bathroom Stall,bathroom stall
3050,Diner Bathroom,diner bathroom
3051,YARD SALE,yard sale
3052,UPWARD BOUND CAMP,upward bound camp
3053,Go-cart Track,go-cart track
3054,BEHIND THE SCHOOL,behind the school
3055,Pants Factory,pants factory
3056,CAVERNS,caverns
3057,LARGE MARBLE-FLOORED ROOM,large marble-floored room
3058,TOWER,tower
3059,TOWER ATTIC ROOM,tower attic room
3060,EXCLUDERS' CLUB,excluders club
3061,FOG-SHROUDED FIELD,fog-shrouded field
3062,CHAMBER OF CAVE,chamber of cave
3063,Upscale Restaurant,upscale restaurant
3064,Moeview Motel,moeview motel
3065,Edna's Apartment Building,edna apartment building
3066,SHEEP'S THOUGHT BUBBLE (BIGHORN SHEEP'S STORY),sheep thought bubble
3067,Burns's Attic,burns attic
3068,CAVE MOUTH,cave mouth
3069,CAVE CHAMBER,cave chamber
3070,OUTSIDE SCHOOL,outside school
3071,Riverbank Park,riverbank park
3072,RIVERSIDE PARK,riverside park
3073,OLD WOODEN MILL,old wooden mill
3074,MILL,mill
3075,Animal Retirement Home,animal retirement home
3076,CHIMP HABITAT,chimp habitat
3077,Ruffintumble's Fun Zone,ruffintumble fun zone
3078,Swanky Apartment Building,swanky apartment building
3079,Lenny's Bedroom,lenny bedroom
3080,Lenny's Apartment Building,lenny apartment building
3081,FOX LOT,fox lot
3082,FOX NETWORK BUILDING,fox network building
3083,SUBURBAN CONNECTICUT HOME,suburban connecticut home
3084,Dank Irish Pub,dank irish pub
3085,CHARLES AND VERITY'S HOUSE,charles and verity house
3086,Professional Football Headquarters,professional football headquarters
3087,Duff Beer Etc. Stadium,duff beer etc stadium
3088,Dr. Egoyan's Office,dr egoyan office
3089,SUICIDE ROOM,suicide room
3090,Another Springfield Street,another springfield street
3091,Bangalore Airport,bangalore airport
3092,BANGALORE MARKET PLACE,bangalore market place
3093,Bangalore,bangalore
3094,Bangalore Nuclear Power Plant,bangalore nuclear power plant
3095,Concrete Apartment Building,concrete apartment building
3096,Kavi's Apartment,kavi apartment
3097,WAITING AREA,waiting area
3098,Homer's Throne Room,homer throne room
3099,CEREMONIAL CHAMBER,ceremonial chamber
3100,"PLYMOUTH, ENGLAND",plymouth england
3101,DOCKS,docks
3102,DECK OF THE SHIP,deck of the ship
3103,Mayflower,mayflower
3104,SHIP DECK,ship deck
3105,Atlantic ocean,atlantic ocean
3106,PLYMOUTH COLONY,plymouth colony
3107,Portsmouth Harbor,portsmouth harbor
3108,BOUNTY,bounty
3109,PALAPA,palapa
3110,UPSIDE-DOWN SHIP,upside-down ship
3111,UPSIDE DOWN SHIP,upside down ship
3112,BROADWAY THEATER,broadway theater
3113,SPRINGFIELD ELEMENTARY GIRLS' SIDE,springfield elementary girls side
3114,GIRLS' SCHOOL,girls school
3115,BOYS' SCHOOL,boys school
3116,PINK,pink
3117,FLANDERS' FRONT PORCH,flanders front porch
3118,CURB,curb
3119,Banquet Hall,banquet hall
3120,Hallway Outside Marge's Hospital Room,hallway outside marge hospital room
3121,SPRINGFIELD PUBLIC PARK,springfield public park
3122,Shelbyville Inn,shelbyville inn
3123,FUNCTION ROOM,function room
3124,Seaside Café,seaside café
3125,Springfield Community Theater,springfield community theater
3126,MUSEUM EXHIBIT,museum exhibit
3127,WEAPONS EXHIBIT,weapons exhibit
3128,HALL OF MAN,hall of man
3129,EPISCOPALIAN CHURCH,episcopalian church
3130,OWNER'S BOX,owner box
3131,BUCK AND TABITHA'S HOUSE,buck and tabitha house
3132,Springfield Music Hall,springfield music hall
3133,DRESSING ROOM DOOR,dressing room door
3134,BAD NEIGHBORHOOD,bad neighborhood
3135,NICE NEIGHBORHOOD,nice neighborhood
3136,FAT TONY'S SUV,fat tony suv
3137,SUV,suv
3138,FAT TONY'S MANSION,fat tony mansion
3139,COGNAC ROOM,cognac room
3140,Therapy Office,therapy office
3141,Jazzy Goodtime's,jazzy goodtime
3142,Springfield Animal Shelter,springfield animal shelter
3143,Old Springfield Mall,old springfield mall
3144,Builders' Barn,builders barn
3145,ROLLER COASTER SITE,roller coaster site
3146,Thai Food Factory,thai food factory
3147,ROLLER-COASTER SITE,roller-coaster site
3148,SPRINGFIELD MAIN STREET,springfield main street
3149,PRAGUE,prague
3150,BREADLINE,breadline
3151,KBBL SKYSCRAPER,kbbl skyscraper
3152,KANG AND KODOS'S SPACESHIP,kang and kodos spaceship
3153,MILITARY BASE,military base
3154,The Sole Provider,the sole provider
3155,AWARDS CEREMONY,awards ceremony
3156,Army Recruitment Office,army recruitment office
3157,BASE,base
3158,VISITING AREA,visiting area
3159,RIDGE,ridge
3160,COLONEL'S TENT,colonel tent
3161,ARMY COMMAND CENTER,army command center
3162,Internment Camp,internment camp
3163,Springfield Reservoir,springfield reservoir
3164,German Olympic Stadium,german olympic stadium
3165,ATHLETIC FIELD,athletic field
3166,SPECTATOR STANDS,spectator stands
3167,DIVING PLATFORM,diving platform
3168,AREA BESIDE TRACK,area beside track
3169,SEEDY NEIGHBORHOOD,seedy neighborhood
3170,Regent Hotel,regent hotel
3171,NEW YORK,new york
3172,American Poetry Perspectives,american poetry perspectives
3173,NEW ENGLAND COUNTRYSIDE,new england countryside
3174,College-looking Building,college-looking building
3175,Main Building,main building
3176,Cocktail Party,cocktail party
3177,WORDLOAF,wordloaf
3178,Vermont,vermont
3179,ROADSIDE MAPLE SYRUP STAND,roadside maple syrup stand
3180,POND,pond
3181,BREAK ROOM,break room
3182,BLACK VOID,black void
3183,NELSON'S BACKYARD,nelson backyard
3184,LOCKER,locker
3185,ROCKY COAST,rocky coast
3186,Tide Pools,tide pools
3187,GROTTO,grotto
3188,ROCKY BEACH,rocky beach
3189,Springfield Sports Arena,springfield sports arena
3190,SPORTS ARENA,sports arena
3191,Scottsdale,scottsdale
3192,JACKPOT REALTY BUILDING,jackpot realty building
3193,SCOTTSDALE HOUSE,scottsdale house
3194,SIMPSON SCOTTSDALE HOUSE,simpson scottsdale house
3195,FERRY DOCK,ferry dock
3196,Ferry Boat,ferry boat
3197,Barnacle Bay,barnacle bay
3198,Dilapidated Hotel,dilapidated hotel
3199,LOW-QUALITY INN,low-quality inn
3200,THE ROTTING PELICAN,the rotting pelican
3201,OPEN SEA,open sea
3202,Oceanographic Institute,oceanographic institute
3203,Old New England Lighthouse,old new england lighthouse
3204,CAPTAIN'S BRIDGE,captain bridge
3205,STORMY SEAS,stormy seas
3206,JAPANESE FISHING TRAWLER,japanese fishing trawler
3207,NEW ENGLAND FOREST,new england forest
3208,INTERSTATE,interstate
3209,Paris,paris
3210,Chez Simpson,chez simpson
3211,PALAIS DE JUSTICE,palais de justice
3212,Chateau d'If Prison,chateau dif prison
3213,Chateau d'If,chateau dif
3214,Deserted Island,deserted island
3215,BEAUTIFUL PALACE,beautiful palace
3216,Chez Meaux,chez meaux
3217,MONTE CRISTO'S PALACE,monte cristo palace
3218,OPERA HALL,opera hall
3219,Bart-man's Mansion,bart-man mansion
3220,OUTLOOK,outlook
3221,CLETUS' BARN,cletus barn
3222,ROAD OUTSIDE SPRINGFIELD,road outside springfield
3223,SPRINGFIELD MULTICULTURAL CENTER,springfield multicultural center
3224,CENTER,center
3225,North Haverbrook Main Drag,north haverbrook main drag
3226,North Haverbrook Overlook,north haverbrook overlook
3227,North Haverbrook Courthouse,north haverbrook courthouse
3228,Capital City Convention Center,capital city convention center
3229,CONVENTION CENTER AUDITORIUM,convention center auditorium
3230,CHAPEL OFFICE,chapel office
3231,PLAY FIELD (BLACK AND WHITE),play field
3232,ART ROOM,art room
3233,INFOMERCIAL STUDIO,infomercial studio
3234,Homer and Marge's First Apartment,homer and marge first apartment
3235,LAKESIDE MANSION,lakeside mansion
3236,CAFÉ DE MEXICO,cafÉ de mexico
3237,Upscale Apartment,upscale apartment
3238,Marge's Apartment,marge apartment
3239,Dept. Store,dept store
3240,Homer and Marge's Apartment,homer and marge apartment
3241,SHUTTLE,shuttle
3242,SPUCKLER FARM,spuckler farm
3243,Dr. Swanson's Office,dr swanson office
3244,Different Psychologist's Office,different psychologist office
3245,HONEYMOON SUITE,honeymoon suite
3246,Grampa and Selma's House,grampa and selma house
3247,DMV FRONT AREA,dmv front area
3248,Travel Agency,travel agency
3249,Large Magazine Building,large magazine building
3250,EDITOR'S OFFICE,editor office
3251,Upscale Supermarket,upscale supermarket
3252,PILLOWMINT HOTEL,pillowmint hotel
3253,The Springfield Inquisitor Offices,the springfield inquisitor offices
3254,WATERFALL,waterfall
3255,CELEBRITY MANSION,celebrity mansion
3256,TABLOID EDITOR'S OFFICE,tabloid editor office
3257,HIP CLUB,hip club
3258,SNUB CLUB,snub club
3259,OCEAN RIG,ocean rig
3260,EARTHLAND REALMS,earthland realms
3261,TROPHY ROOM,trophy room
3262,Little League Field,little league field
3263,Shelbyville Grand Wailea Hotel,shelbyville grand wailea hotel
3264,FIRE STATION,fire station
3265,DALMATIAN KENNEL,dalmatian kennel
3266,JEWEL-ENCRUSTED DOODADS ROOM,jewel-encrusted doodads room
3267,Springfield Public Pool,springfield public pool
3268,The Sharper Mark-Up,the sharper mark-up
3269,Burning Apartment Building,burning apartment building
3270,Upper Apartment,upper apartment
3271,SKID ROW MISSION,skid row mission
3272,OUTDOOR FAIRGROUNDS,outdoor fairgrounds
3273,OCTOBER HARVEST FESTIVAL,october harvest festival
3274,HARVEST FESTIVAL,harvest festival
3275,CORN MAZE,corn maze
3276,Springfield Animal Police Academy,springfield animal police academy
3277,Cop Bar,cop bar
3278,Lou's Police Cruiser,lou police cruiser
3279,LOU'S TOWNHOUSE,lou townhouse
3280,CTU,ctu
3281,BULLIES' HIDEOUT,bullies hideout
3282,JIMBO'S BASEMENT,jimbo basement
3283,JIMBO'S HOUSE,jimbo house
3284,VENTILATION ROOM,ventilation room
3285,WIENER WATER,wiener water
3286,SPINSTER CITY APT.,spinster city apt
3287,MAYOR QUIMBY'S MANSION,mayor quimby mansion
3288,SEWER,sewer
3289,Springfield Dental Complex,springfield dental complex
3290,DENTAL COMPLEX,dental complex
3291,DENTAL TREATMENT ROOM,dental treatment room
3292,DENTAL ROOM,dental room
3293,CHANNEL SIX WEATHER DESK,channel six weather desk
3294,BROCKMAN'S OFFICE,brockman office
3295,Sideshow Mel's House,sideshow mel house
3296,DARK CASTLE,dark castle
3297,CHICAGO'S MIDWAY AIRPORT,chicago midway airport
3298,Second City Theater,second city theater
3299,Midway Airport,midway airport
3300,Barney's,barney
3301,Handyman's Choice Factory,handyman choice factory
3302,HANDYMAN'S CHOICE,handyman choice
3303,HANDYMAN'S CHOICE CORPORATION,handyman choice corporation
3304,Shelbyville Airport,shelbyville airport
3305,Burns's Chest,burns chest
3306,GUIDOPOLIS MOOK-E-MART,guidopolis mook-e-mart
3307,Bank Parking Lot,bank parking lot
3308,GUIDOPOLIS STREET,guidopolis street
3309,Tow Truck Cab,tow truck cab
3310,INSIDE IMPOUND LOT,inside impound lot
3311,TOWN LINE,town line
3312,LOUIE'S HOUSE,louie house
3313,LOUIE'S BASEMENT,louie basement
3314,Guidopolis,guidopolis
3315,STREETS OF GUIDOPOLIS,streets of guidopolis
3316,APPLE ORCHARD,apple orchard
3317,Ladies Clothes Store,ladies clothes store
3318,Prison Yard,prison yard
3319,Therapist's Office,therapist office
3320,Upstairs Hallway Bathroom,upstairs hallway bathroom
3321,CONSTRUCTION SITE OVERLOOKING MUSEUM,construction site overlooking museum
3322,GIRDER,girder
3323,What Looks Like Couples Therapist's Office,what looks like couples therapist office
3324,Deserted Street,deserted street
3325,GOVERNMENT BUILDING,government building
3326,MRS. SKINNER'S FRONT DOOR,mrs skinner front door
3327,Heck House,heck house
3328,CRUISE SHIP TERMINAL,cruise ship terminal
3329,CRUISE SHIP,cruise ship
3330,SPRINGFIELD COUNTRYSIDE,springfield countryside
3331,TELEPHONE COMPANY OFFICE,telephone company office
3332,COOLSVILLE,coolsville
3333,FLASHY GYM,flashy gym
3334,L.A. Body Works,la body works
3335,Storefront,storefront
3336,Shapes,shapes
3337,MINI MALL,mini mall
3338,PALM SPRINGFIELD,palm springfield
3339,RESORT,resort
3340,FANCY RECEPTION,fancy reception
3341,Plastic Surgeon's Office,plastic surgeon office
3342,SURGERY ROOM,surgery room
3343,Nurse's Station,nurse station
3344,SHOPPING CENTER,shopping center
3345,GADGET GULCH,gadget gulch
3346,LIVING ROOM SET (COMMERCIAL),living room set
3347,FREEWAY OFFRAMP,freeway offramp
3348,RIB RESTAURANT,rib restaurant
3349,Wes Doobner's Restaurant,wes doobner restaurant
3350,CASKET,casket
3351,Dimwillie's,dimwillie
3352,Medium-sized Medical Building,medium-sized medical building
3353,Medical Office,medical office
3354,TREATMENT ROOM,treatment room
3355,Homer's Apartment,homer apartment
3356,Homer's Memory,homer memory
3357,BELOW BRIDGE,below bridge
3358,AIR BELOW BRIDGE,air below bridge
3359,Duff Party Boat,duff party boat
3360,PARTY BOAT,party boat
3361,New Hampshire,new hampshire
3362,Corporate Hotel,corporate hotel
3363,SPOOKY CASTLE,spooky castle
3364,REPUBLICAN PARTY CASTLE,republican party castle
3365,Trader Earth's,trader earth
3366,PROF. AUGUST'S CLASS,prof august class
3367,COLLEGE,college
3368,College Campus,college campus
3369,PROFESSOR AUGUST'S OFFICE,professor august office
3370,COLLEGE GREEN,college green
3371,GRUNGE CLUB,grunge club
3372,BROWNSTONE,brownstone
3373,Victorian Mansion,victorian mansion
3374,RURAL ROAD NEAR BEACH,rural road near beach
3375,STUDENT UNION,student union
3376,Little Seattle,little seattle
3377,Classic Simpsons Mini-golf Course,classic simpsons mini-golf course
3378,TUNNEL OF LOVE,tunnel of love
3379,Rural Texas,rural texas
3380,Small Town Bank,small town bank
3381,UPSCALE EARLY 20TH CENTURY NEIGHBORHOOD,upscale early 20th century neighborhood
3382,THE VAMP'S MANSION,the vamp mansion
3383,CREST OF HILL,crest of hill
3384,Dog Moe's Watering Hole,dog moe watering hole
3385,THE VAMP'S YARD,the vamp yard
3386,PUNK CLUB,punk club
3387,LONDON STREET OUTSIDE CLUB,london street outside club
3388,INDOOR ARENA,indoor arena
3389,Cbgb,cbgb
3390,LOANER CAR,loaner car
3391,LOADING DOCK BEHIND AUDITORIUM,loading dock behind auditorium
3392,Storage Warehouse,storage warehouse
3393,Warehouse Roof,warehouse roof
3394,BLEACHERS,bleachers
3395,TELEVISION ROOM,television room
3396,SPRINGFIELD NATIONAL FOREST- DAY,springfield national forest- day
3397,SPRINGFIELD NATIONAL FOREST- ANOTHER AREA,springfield national forest- another area
