title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
Fatal Frame (2014),Horror,26-Sep-14,Japan,NA,5.8,104 min,"Directed by Mari Asato. With Aoi Morikawa, Ayami Nakajô, Kôdai Asaka, Minori Hagiwara. Michi a student in a conservative all-girls school, must resolve the mysterious disappearances and deaths of her fellow classmates after they found an intriguing but haunting photo of Aya, the best singer of class, who apparently is being held locked in her room, physically but not spiritually... A death curse is placed on anyone who sees Aya's photo, which seems to be taken with a ""Camera ...",Aoi Morikawa|Ayami Nakajô|Kôdai Asaka|Minori Hagiwara|Fujiko Kojima|Jun Miho|Karen Miyama|Noriko Nakagoshi|Yuri Nakamura|Kasumi Yamaya,Japanese,NA,NA
Visceral: Entre las cuerdas de la locura (2012),Horror,29-Nov-12,Chile,NA,5.4,69 min,"Directed by Felipe Eluti. With Felipe Eluti, Carolina Salles, Felipe Ruiz, José Manuel García. A washed-up boxer finally gets his big chance to prove that he is worthy of the champion's gloves on his much-awaited title fight.",Felipe Eluti|Carolina Salles|Felipe Ruiz|José Manuel García|Gabriela Arancibia|Macarena Jiménez|Valentina Varela|Mauricio Dukeduro|Tamara Zuñega|Daniela Pardo|Lucas García|Pia Cardenas|Carolina Palacios|Claudia Mena|Juan José Vargas,Spanish,NA,NA
The Dark Castle (2015),Horror| Thriller,28-Mar-15,Indonesia,NA,NA,80 min,"Directed by Sasha Mahé. With Rachel Albert, Bruno Henry, Laurent Paris, Rahajeng Sekar Putri. A newlywed couple who go on their honeymoon in St Jean Le Vieux, France are kidnapped by a local mysterious cult.",Rachel Albert|Bruno Henry|Laurent Paris|Rahajeng Sekar Putri|Panji Saputra,English|Indonesian,"Pérouges, Ain, Rhône-Alpes, France",NA
The Ouija Exorcism (2015),Horror,6-Oct-15,USA,UNRATED,2.1,87 min,"Directed by Nick Slatkin. With J. Damian Anastasio, Brittney Bertier, Cameron Bigelow, Jay Brothers. In 1985, a celebrated exorcist trapped a horrific demon inside a ouija board. Thinking the board to be a game, his son played without obeying the rules, and let the demon loose. In order to save his son, the exorcist sent him far away until the demon could be destroyed. Thirty years later, and after his death, his grandson finds the board and makes the same mistake his father did. Now the evil is...",J. Damian Anastasio|Brittney Bertier|Cameron Bigelow|Jay Brothers|Tony Harutyunyan|Lola Kelly|Laura Kirchner|Walker Mintz|Ben Morrison|Lynne Newton|Michael Palladino|Julia Rae|Branden Smith,English,"Los Angeles, California, USA",NA
Soldiers of the Damned (2015),Action| Horror| Thriller| War,8-Aug-15,UK,NA,3.6,99 min,"Directed by Mark Nuttall. With Gil Darnell, Miriam Cooke, Lucas Hansen, Tom Sawyer. An evil secret awaits.",Gil Darnell|Miriam Cooke|Lucas Hansen|Tom Sawyer|Jason Kennedy|Mark Fountain|Matthew John Morley|Nicholas Keith|Nicky Bell|Renny Krupinski|Alan French|Andonis Anthony|Natalia Ryumina|Andrei Zayats|Stuart Adams,English,"Cumbria, England, UK",NA
Smothered (2016),Comedy| Horror,29-Mar-16,USA,NOT RATED,4.1,96 min,"Directed by John Schneider. With Kane Hodder, R.A. Mihailoff, Bill Moseley, Dane Rhodes. Five horror icons ditch an unprofitable autograph signing convention to earn some extra cash haunting an RV park, but find themselves being haunted instead.",Kane Hodder|R.A. Mihailoff|Bill Moseley|Dane Rhodes|Malcolm Danare|Don Shanks|Rachel Alana Handler|Amy Brassette|Ritchie Montgomery|Michael Berryman|Andrew Bowen|Joseph Randy Causin|Edward A. Chambers|Rebecca Collins|Aiden Flowers,English,"Baton Rouge, Louisiana, USA",NA
Necrophobia 3D (2014),Horror| Mystery| Thriller,19-Sep-14,USA,NA,4.2,75 min,"Directed by Daniel de la Vega. With Luis Machín, Raúl Taibo, Viviana Saccone, Gerardo Romano. Dante is a tailor who after losing his twin brother to death became phobic which prevents him from being in contact with death. Whenever he is in front of a dead body, he experiences a creepy feeling that makes him lose his mind.",Luis Machín|Raúl Taibo|Viviana Saccone|Gerardo Romano|Julieta Cardinali|Hugo Astar,Spanish,NA,NA
Roommate (2013),Drama| Horror| Thriller,9-Nov-13,Japan,NA,5.9,NA,"Directed by Takeshi Furusawa. With Keiko Kitagawa, Kyoko Fukada, Kengo Kôra, Mariko Tsutsui. Harumi Hagiwara lands in the hospital after being involved in an accident. She hits it off with her nurse, Reiko Nishimura, and the two decide to move in together after she's discharged. However, Harumi begins to witness a series of mysterious events soon after noticing Reiko's strange behavior. Additionally, she fears for her own safety when Reiko starts referring to herself as 'Mari' as if ...",Keiko Kitagawa|Kyoko Fukada|Kengo Kôra|Mariko Tsutsui|Minori Hagiwara|Yukijirô Hotaru|Chihiro Ohtsuka|Hiroyuki Onoue|Tomorô Taguchi,Japanese,NA,NA
Kawan Aku Mati Dalam Rumah Sewa (2014),Comedy| Horror,14-Aug-14,Malaysia,NA,NA,NA,"With Abam Bocey, Acey Bocey, Fad Bocey, Epy Kodiang. One of their friends accidentally died in their house by mistake. What are they gonna do with their friend's corpse?",Abam Bocey|Acey Bocey|Fad Bocey|Epy Kodiang|Shah Rempit|Yassin Yahya,Malay,NA,NA
Hate Crime (2012),Action| Horror| Thriller,2012,USA,NOT RATED,5.1,73 min,"Directed by James Cullen Bressack. With Jody Barton, Nicholas Adam Clark, Greg Depetro, Debbie Diesel. A Jewish family, that just arrived in a new neighborhood, are recording their youngest son's birthday celebrations on video when their home is suddenly invaded by a bunch of crystal-meth-crazed Neo-Nazi lunatics.",Jody Barton|Nicholas Adam Clark|Greg Depetro|Debbie Diesel|Tim Moran|Ian Roberts|Sloane Morgan Siegel|Maggie Wagner,English,NA,NA
Scars (2016),Horror,23-Jan-17,UK,NA,3.9,108 min,"Directed by Sean K. Robb. With Danielle Cole, Neale Kimmel, Matt Wells, Eric Regimbald. SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K. Robb. In this stark and disturbing story, Scar - a raven-haired punk with blood under her fingernails - and Scarlett - a blond beauty with a penchant for extortion - discover that they enjoy killing men together. 'Killing dudes is easy,' says Scar, as the two women embark on a violent and ruthless killing spree,...",Danielle Cole|Neale Kimmel|Matt Wells|Eric Regimbald|Ophilia Davis|Nigel Downer|Chris Handfield|Greg LeGros|Jennifer McAuliffe|Jon Pressick|Ryan Alexander Scott II|Tennessee Webb,English,"Toronto, Ontario, Canada",NA
Legend Has It (2009),Horror,17-Sep-14,UK,NOT RATED,4.1,95 min,"Directed by Max Nikoff. With Todd Oeltze, Julia Fazakerly, Heath Finn, Amanda Ward. A family of four was brutally slaughtered years in their farmhouse, and the killer was never caught. Now, a young film crew returns to find the bloody truth of the murders. Will they come out alive?",Todd Oeltze|Julia Fazakerly|Heath Finn|Amanda Ward|Jared Cohn|Theodore Perkins|Andreas Wigand|Teresa Berkin|Peter Choyce|Sebastien Szumilas|Mark Irvingsen|Jeff Blumberg|Jim Asseltyne|Mike Nelsen|Randy Hallusen,English,"Pasadena, California, USA","$350,000"
Sociopathia (2015),Horror,19-Nov-15,USA,NA,4.3,86 min,"Directed by Ruby Larocca, Rich Mallery. With Nicola Fiore, Asta Paredes, Ruby Larocca, Tammy Jean. Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to...",Nicola Fiore|Asta Paredes|Ruby Larocca|Tammy Jean|George Stover|Rich Mallery|Nicolette le Faye|Brandy Noir|Desiree Saetia|Tabetha Ray|Matthew Garrett|Cori Dials|Sean Murray|Dante Rene|Nick Decarlo,English,"Baltimore, Maryland, USA","$750,000"
Echoes (2014),Drama| Horror| Thriller,18-May-15,Sweden,NOT RATED,4.4,93 min,"Directed by Nils Timm. With Kate French, Steven Brand, Steve Hanks, Billy Wirth. Struggling with horrifying, sleep-paralysis induced visions, a young writer retreats with her boyfriend to an isolated desert house. As the visions intensify, she finds herself on the verge of losing her mind...or uncovering a life-threatening secret.",Kate French|Steven Brand|Steve Hanks|Billy Wirth|Caroline Whitney Smith|Kevin Brewerton|Nicolas Charles|Ivory Dortch|Tina Huang|Stacey Souther|Oxley,English,"Joshua Tree, California, USA",NA
In the Dark (2015),Horror| Thriller,6-Oct-15,USA,TV-MA,4.1,85 min,"Directed by David Buchert, Chris St.Croix. With Scott Aaker, Andria Armstrong, Shannon Beals, Olivia Bishop. Twisted tales of terror featuring an axe wielding maniac, a sinister matchmaker and sin eating creature from hell.",Scott Aaker|Andria Armstrong|Shannon Beals|Olivia Bishop|Clay Brocker|Raven Bryant|Emily Byrd|Chris Carson|Chris Cavolo|Vince Cusomato|Leah Fincher|Katie Groshong|Cooper Guy|Justin Hand|William J. Harrison,English,"Nashville, Tennessee, USA",NA
Dabbe: Bir Cin Vakasi (2012),Horror,3-Aug-12,Turkey,NA,6.3,119 min,"Directed by Hasan Karacadag. With Elcin Atamgüc, Nihan Aypolat, Pervin Bagdat, Elif Erdal. Turkish director Hasan Karacadag is something of an unusual case. In a nation that appears uncertain how to feel about its own history with exploitation film and generally reluctant to embrace genre film - though there are obvious exceptions - Karacadag has jumped headlong into the horror pool. The director first came to attention with the J-horror influenced D@BB, a surprise hit in Turkey that ...",Elcin Atamgüc|Nihan Aypolat|Pervin Bagdat|Elif Erdal|Koray Kadiraga|Mete Sahinoglu|Ceren Sertac|Su Burcu Yazgi|Ismail Yildiz|Nalan Örgöt,Turkish,NA,NA
The Haunter of the Dark (2015),Horror| Thriller,28-Jan-15,Russia,NA,6.9,83 min,"Directed by Dmitriy Khmelyov. With Sergey A., Giza, Dmitriy Khmelyov, Vladislav Krivenchuk. Alexey ""Blake"" Blochenkov goes to an old abandoned sanatorium to film a video for his blog. There, he lets out something horrible. An ancient evil. The Haunter Of The Dark.",Sergey A.|Giza|Dmitriy Khmelyov|Vladislav Krivenchuk|Sanek,Russian,NA,RUR 700
Hectic Knife (2016),Action| Comedy| Horror,28-Jul-16,USA,NA,6.6,NA,"Directed by Greg DeLiso. With Peter Litvin, Georgia Kate Haege, J.J. Brine, John Munnelly. A put upon, knife wielding vigilante, Hectic Knife protects the city from scum, baddies and a new super villain bent on world domination, Piggly Doctor.",Peter Litvin|Georgia Kate Haege|J.J. Brine|John Munnelly|Don Abood|Michael Anthony|Andrea Baquero|Robert Bella|Richie Blackwood|Joe Cipriano|Niki Cipriano|Edward Colon|Andy Could|Alexis Cundiff|Leah Debene,English|Spanish,"Bay Ridge, Brooklyn, New York City, New York, USA","$15,000"
Toxin: 700 Days Left on Earth (2015),Action| Drama| Horror,19-Apr-15,USA,NA,8.4,NA,"Directed by Shawn Welling. With Lee Majors, Isabella Blake-Thomas, Sarati, Elizabeth Blake-Thomas. 700 days after the U.S. president announces a new, rapidly spreading virus, a resulting plague has killed most of humanity and transformed the rest into mutants. The sole survivor, Sarah Teller (Sarati), and her canine companion, Ranger (Max the Dog), struggle valiantly to find a cure and restore the human race. When a mysterious force pulls her to a displaced mansion deep in the Texas hills, ...",Lee Majors|Isabella Blake-Thomas|Sarati|Elizabeth Blake-Thomas|Preslee Bishop|Nick W. Nicholson|Shawn Welling|Alexis B. Santiago|Michelle Ellen Jones|Bob Boudreaux|Lee Gailey|Matthew Carter|Reneé Redden-Somoza|Brandon Itz|Katia Hadjiyska,English,"Mexia, Texas, USA","$30,000"
La Niña de la Mina (2016),Horror,1-Jul-16,Mexico,NA,3.8,82 min,"Directed by Jorge Eduardo Ramírez. With Gerardo Taracena, Regina Blandón, Daniel Martínez, Thomas Ebert. Arter a tourist disappears inside a mine in Guanajuato, Mat Medina a young expert in mine engineering is hired to make a security diagnostic in the mines of a big company.",Gerardo Taracena|Regina Blandón|Daniel Martínez|Thomas Ebert|Susana Lozano|Sophie Gómez|Fernanda Sasse|Bárbara Islas|Fernando Banda|Jose Angel Bichir|Paola Galina|Ruy Senderos|Víctor Huggo Martin|Mary Paz Mata|Elena Puig,NA,NA,"$1,200,000"
Beneath the Old Dark House (2015),Horror,13-Mar-15,USA,NA,6.5,NA,"Directed by Jaysen P. Buterin, Matt Cloude, Jesse H. Knight. With Mandy Divine, Tom Gore, Bradley Eugene Greer, Kelli-Anne Harris. Four strangers suddenly awaken deep within the catacombs of a dark and decrepit House, with no memory of how they got there. The only thing they have in common is their being held captive by a Mysterious Man, and it is there in his domain, that he waits to tell these helpless strangers the fates that await them in Beneath the Old Dark House.",Mandy Divine|Tom Gore|Bradley Eugene Greer|Kelli-Anne Harris|Christy Johnson|Patrick G. Keenan|Kely McClung|Casey Murray|Paul Sieber|Kaila Spargo|Marius Wiley|Michael Ray Williams,English,NA,"$100,000"
Stag Hunt (2015),Adventure| Comedy| Drama| Fantasy| Horror| Thriller,16-May-15,USA,NA,3.6,94 min,"Directed by James Shanks. With Mackenzie Astin, Neil Cole, Chris Rogers, Donald Morrison. A stag do in Dartmoor goes horribly wrong when the guys discover they are not alone.",Mackenzie Astin|Neil Cole|Chris Rogers|Donald Morrison|Julie T. Wallace,English,NA,"£400,000"
Fetish Dolls Die Laughing (2012),Comedy| Fantasy| Horror,24-Apr-12,USA,NOT RATED,2,100 min,"Directed by David Silvio. With Laura Romeo, Michael McGovern, Aaron Bernard, Angelo Bruni. Do you remember, as a child, when your parents teased you with the ""Tickle Monster""? It turns out that he's more real (and even more malevolent) than you could have ever imagined! With seedy photographer Billy Tagg (Michael McGovern) serving as the ancient entity's latest vessel, the Tickle Monster torments his way through a catalog of Billy's beautiful bondage babes - until no-nonsense homicide ...",Laura Romeo|Michael McGovern|Aaron Bernard|Angelo Bruni|Diana Silvio|Antietam|Kimberly Naim|Tiffany Apan|Angie Azur|Stacey Bartlebaugh-Gmys|Daniel Baxter|Michael Burkett|Diane Cholock|Mike Danylo|David Dietz,English,"Pittsburgh, Pennsylvania, USA","$4,000"
Shame the Devil (2013),Crime| Horror| Thriller,9-Sep-14,USA,NOT RATED,3.5,94 min,"Directed by Paul Tanter. With Simon Phillips, Juliette Bennett, Will de Meo, Bradford West. A London detective tracking a serial killer finds the killers ""truth or die"" methods take him to New York to solve the case.",Simon Phillips|Juliette Bennett|Will de Meo|Bradford West|Doug Bradley|Kellie Shirley|Peter Woodward|Peter Barrett|Lucy Clements|Jack Murray|Martin Fisher|Leo Goodman|Thomas Worthington|Warwick Evans|Charlotte Lewis,English,"London, England, UK","$3,000,000"
Holla II (2013),Comedy| Horror,19-Apr-13,USA,R,6.9,90 min,"Directed by H.M. Coakley. With Vanessa Bell Calloway, Kiely Williams, Greg Cipes, Trae Ireland. After narrowly escaping with her life at the hands of her mentally ill sister Veronica, Monica, with the help of her Mother, Marion, has taken great measures to ensure her safety, including changing her face and relocating to the South. Six years has past and now she finally believes she is safe from Veronica. Little does she know that death and betrayal still await her and her friends on the eve...",Vanessa Bell Calloway|Kiely Williams|Greg Cipes|Trae Ireland|Allison Kyler|Teairra Mari|Liana Mendoza|Omar Gooding|Laila Odom|Akeem Smith|Shelli Boone|Crystal Hoang|Masasa Moyo|Chase Anthony|Cyann Ribeiro,English,"Ellenton, Florida, USA","$1,000,000"
Made Me Do It (2017),Drama| Fantasy| Horror| Thriller,29-Sep-17,USA,NA,8.3,90 min,"Directed by Benjamin Ironside Koppin. With Anna B. Shaffer, Kyle Van Vonderen, Cortney Palm, Jason Gregory London. College student Ali Hooper and her little brother are attacked by a masked maniac, and the key to them surviving the night lies in unlocking a secret from the killer's past.",Anna B. Shaffer|Kyle Van Vonderen|Cortney Palm|Jason Gregory London|Liston Spence|Elain Rinehart|Cole Jenkins|Daniel E. Kafer|Kytia L'Amour|George Capacete|Andrew Harmon|Katherine McKalip|Emily Tess Miller|Latrell Hart,English,NA,NA
The Tale of the Voodoo Prostitute (2012),Horror,5-Jun-12,USA,NOT RATED,4.1,75 min,"Directed by Chaz Buchanan. With Jayde Kelley, Heather McCormick, Charles Buchanan, Martin Ezelle. In the Tale of the Voodoo Prostitute, a master manipulator and hustler by the name of Fleetwood Deville dispenses heinous wrong-doings to nearly everyone that crosses his path. One particular female managed to meet and exceed any expectation of evil. She cursed Fleetwood to a fate even worse than death: impotence. With his harem of beautiful women and killers, Fleetwood must rival neighboring ...",Jayde Kelley|Heather McCormick|Charles Buchanan|Martin Ezelle|Joshua Winch|Trent Hotman|Kenneth Duane|Derrick Pointer|Roger Nelson|Ron Clemons|Christina Wiley|Stefany Torres|Jeannie Stroumpos|Kate Lindeman|Suavey Harrison,English,"Dallas, Texas, USA",NA
Necrophile Passion (2013),Horror,18-Aug-13,Germany,NA,3.1,52 min,"Directed by Tom Heidenberg. With Günther Brandl, Eldrid Remy, Katharina Buchberger, Sandra Pucher. Solitary and alone, left by his girlfriend, after being treated badly by her, a young man finds a female body in the woods. His conscience tells him to call the police, but something inside him, something evil commands him to take the corpse with him and satisfy his darkest desires. His Life is total pieces of trash and only the love to the female corpse gives him the power to continue his life. ...",Günther Brandl|Eldrid Remy|Katharina Buchberger|Sandra Pucher|Simone R.,German,NA,NA
Killer Campout (2017),Horror,21-Jul-17,USA,NA,5.8,86 min,"Directed by Brad Twigg. With Herschell Gordon Lewis, John A. Russo, Nadia White, George Stover. Two youth counselors bring a group of emotionally troubled teens deep into the woods for a weekend of solitude and confrontational therapy. The trip turns deadly when they are terrorized by a cannibalistic hermit with a thirst for blood.",Herschell Gordon Lewis|John A. Russo|Nadia White|George Stover|Julio Bana Fernandez|Chris O'Brocki|Gary Lee Vincent|James L. Edwards|Roger Yawson|Jenny Jannetty|Rosanna Nelson|Andrea Marie|Lindsay Lockhart|Luba Hansen|Jason Delgado,English,NA,NA
