date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1837-12-30,1837,Aisthorpe,W00115,Unknown,"Master was Sewell. Ran ashore entering the harbour en route from St John, New Brunswick. Vessel expected to become a wreck.",30/12/1837,"Dundalk, N Bull",NA,NA,NA
1852-11-12,1852,Alexander,W00116,Sloop,"45-ton, 21-year-old Dundalk sloop. Classed Ã 1 by Lloydâs. Master was Mooney. En route from Troon to Dundalk with four crew and cargo of coal for Gartlan & Sons. Encountered ESE force 11 wind and thick, hazy conditions. Anchor failed, drifted ashore. All on board survived. Estimated loss on vessel, Â£100; on cargo, Â£25; neither was insured.",12/11/1852,"Dundalk Bay, near Black Rock, 2 miles S of Soldierâs Point",NA,NA,NA
1852-11-11,1852,Ally and Betty,W00117,Smack,"26-ton, 38-year-old smack of Ardglass. Previously known as Sally and Betty. Captain was Smyth. En route from Belfast to Dublin, three crew, cargo of moulding and leather. Encountered ESE force 11 wind and thick, hazy conditions. Sprang a leak, mainboom carried away. Driven ashore, one life lost. Estimated loss on vessel, Â£50; on cargo, Â£40; neither was insured.",11/11/1852,"Blackrock, near, 1.5 miles S of Soldierâs Point",NA,NA,NA
NA,NA,Alsopp,W00118,Crane Vessel,"Dublin vessel bought by Dundalk Harbour Commissioners. Crane mounted on vessel for work in the docks. Sold to Mr Heraty for drying nets. Later towed to the far side of the river beyond the walls, sunk. A vessel is still visible at this location.",Unknown,"Louth, Dundalk Harbour, opposite Georgeâs Quay Public House. Lies beside wreck of the Night Watch. 54 00 37.447N, 006 23 21.906W PA",54.0104,-6.38942,National Monuments Service
1877-04-16,1877,Andromeda,W00119,Schooner,"99-ton, 16-year-old wooden schooner of London. Owned by T. Barnsey of Goole, master was T. Earnshaw. En route from Garston to Dublin, five crew, two passengers (the masterâs wife and daughter), laden with coal. Became stranded during an ESE force 9 gale. Blackrock lifeboat rescued four crew, the masterâs wife and daughter. Master took to the mast. Dundalk coastguard rescued him before vessel broke up. No loss of life. The Jane (W00178) was also wrecked near the lighthouse during the same storm. Some sails, chains, running gear saved.",16/04/1877,"Dundalk Bar, close to the lighthouse",NA,NA,NA
1786-12-05,1786,Ann,W00120,Brig,"Brig, classed E2 by Lloydâs. Master was Swann. Went ashore en route from Liverpool to Newry. Cargo saved.",05/12/1786,"Dundalk, near, Dundalk Bay",NA,NA,NA
1787-12-17,1787,Ann,W00121,Unknown,"Of Boâness, master was Johnston. Went ashore en route from Limerick to Liverpool. Became a total wreck, crew saved.",17/12/1787,Dundalk Bay,NA,NA,NA
1844-11-01,1844,Ann,W00122,Unknown,"Of Boâness, master was Johnston. Went ashore en route from Limerick to Liverpool. Became a total wreck, crew saved.",01/11/1844,"Annagassan, Co Louth, Dundalk Bay, off",NA,NA,NA
1862-01-22,1862,Anne McCloud / Anne McLeod,W00123,Schooner,"Schooner en route to Newry, three crew, cargo of coal. Owner and captain was Darby. Sank in about 12 fathoms of water after violent storm on 22 January 1862. Captain and crew lost. The boat was picked up by the Coastguard at Deinjonge (?) County Down before 26 January 1862",22/01/1862,Dundalk Bay,NA,NA,NA
NA,NA,Anthea,W00124,Fishing boat,Fishing boat abandoned on mill side of bridge. Owned by Mr King of Annagassan.,Post-WW1,"Annagassan, Co Louth, Bridge over River Glyde, Dundalk Bay",NA,NA,NA
1863-10-07,1863,Arion,W00125,Unknown,"Of Workington, master was MâCaul. Ran ashore during an EâENE gale en route from Workington to Drogheda, cargo of coal. Crew saved by Dundalk lifeboat. Vessel fell over, drifted westward, filled with water.",07/10/1863,"Dundalk Lighthouse, opposite, W of the Bar, Dundalk Bay",NA,NA,NA
1901-11-16,1901,Arizona,W00126,Barque,"Norwegian barque en route from Miramichi to Dundalk, cargo of timber for Jennings & Co. Grounded whilst being towed by tug into Dundalk. Lighters attempted to refloat the barque by discharging cargo, but failed.",16/11/1901,"Dundalk Harbour, W bank, opposite Rock Hole, Dundalk Bay",NA,NA,NA
1859-04-27,1859,Boucalais,W00127,Lugger,"110-ton French lugger. Captain was Puyo. En route from Bayonne to Belfast, five crew, cargo of Indian corn. Encountered gales, driven ashore. Crew rescued. Vessel and cargo possibly saved later.",27/04/1859,"Dundalk Bay, off Blackrock",NA,NA,NA
1879-04-14,1879,Brothers,W00128,Brigantine,"135-ton, 15-year-old wooden brigantine/schooner of Greenock. Built in Prince Edward Island, official no. 50,946. Owned by T. Stewart, Lamlash, master was P. Mailey. En route from Ardrossan to Dundalk, four crew, 210 tonnes of coal for Mr Oakes of Dundalk. Encountered force 5 wind. Sprang a leak, water gained on pumps. Crew abandoned ship. Vessel sank in 6 fathoms of water, became a total wreck. Defective hull thought to be cause of leak.",14/04/1879,"Dundalk, 0.75 mile WNW of the middle buoy, Dundalk Bay",NA,NA,NA
1832-01-22,1832,Castor,W00129,Brig,"Brig of Workington, captain was MâGilton. En route from Dundalk to Dublin, cargo of deals. Became stranded, 8ft of water in hold. Cargo and materials landed, doubtful that vessel was saved.",22/01/1832,Dundalk Bay,NA,NA,NA
1855-05-23,1855,Catherine,W00130,Unknown,"Of Dundalk, cargo of coal. Stranded during low tide.",23/05/1855,"Dundalk, Rock Perch, outside of Soldier's Point, Dundalk Bay",NA,NA,NA
1820-11-20,1820,Ceres,W00132,Unknown,"Captain was Clementson. Went ashore en route from Liverpool to Brazil, feared vessel would not be got off.",20/11/1820,Dundalk Bay,NA,NA,NA
1841-05-02,1841,Clytie / Clythie,W00133,Schooner,"69-ton, 17-year-old schooner/brigantine ofWorkington. Built in Maryport. Owned by Jackson & Co., captain was Lemon. En route from Workington to Drogheda/Annagassan, cargo of coal. Struck a reef of rocks, sank. Three days later vessel broke up during a gale. Estimated value on vessel, Â£600.",02/05/1841,"Ballagan Point / off Cooley Point, Dundalk Bay",NA,NA,NA
1881-10-19,1881,Cocker,W00134,Schooner,"53-ton, 38-year-old wooden schooner of Whitehaven. Owned by E. Jones of Dunany, master was T. Hanratty. En route from Whitehaven to Dunany, three crew, cargo of coal. Totally wrecked in SE force 9 gale. No loss of life.",19/10/1881,"Dunany Harbour, Â½ mile NW, Dundalk Bay",NA,NA,NA
NA,NA,Constitution,W00135,Tender,98-ton vessel used as a tender in 1876. Remains of hulk lying under the timber wharf may be the Constitution. Three iron knees supporting the vesselâs deck were visible in 1967.,C 1878,"Dundalk, timber wharf, Dundalk Bay",NA,NA,NA
1890-03-24,1890,Cumberland,W00136,Schooner,"Schooner of Drogheda, official number was 9,378. Parted from its cables, became stranded.",24/03/1890,"Annagassan, Co Louth, 1 mile NNW of the Coastguard Station, Dundalk Bay",NA,NA,NA
1891-10-14,1891,Cumberland,W00137,Schooner,"65-ton, 35-year-old wooden schooner of Drogheda. Master was T Hanratty. Owned by P. Hanratty, Adamston, Co. Louth. Moored in ballast, wrecked in SW force 7 wind.",14/10/1891,"Annagassan, Co Louth, 1 mile N, Dundalk Bay",NA,NA,NA
1899-04-11,1899,Daggry,W00138,Barquentine,"361-ton, 44-year-old wooden barquentine of Norway. Owned by W. Augensen, Frederickstadt, Norway, master was O.J. Petersen. En route from Frederickstadt to Dundalk, nine crew, cargo of timber. Stranded in NNW force 6 wind, total loss.",11/04/1899,Dundalk Harbour,NA,NA,NA
1887-02-05,1887,Day Star,W00139,Brigantine,"164-ton, 32-year-old wooden brigantine of Liverpool. Built in the USA. Owned by McMaster. Vessel was wrecked. Wreck possibly broken up for reuse by a Mr Oakes.",05/02/1887,"Dundalk, between the end of the jetty and the wreck of the Thomas, Dundalk Bay",NA,NA,NA
1828-11-08,1828,Derwent,W00140,Unknown,"Of Whitehaven, driven ashore during a gale en route from Whitehaven to Dublin. Expected to be got off after discharging. Master was Harrison.",08/11/1828,"Codley (sic. Cooley) Point, near, Dundalk Bay",NA,NA,NA
1829-08-20,1829,Diligent,W00141,Collier,"Collier brig of Irvine, en route from Irvine to Dundalk with a cargo of coal. Master was Gibb. Struck rocks during a gale and sank. Crew saved.",20/08/1829,"Cooley Point, on a reef of rocks off, Dundalk Bay",NA,NA,NA
1803-01-28,1803,Dorothy,W00142,Unknown,"Captain was Straker. Stranded en route from London to Liverpool, vessel expected to be got off.",28/01/1803,Dundalk Bay,NA,NA,NA
1885-10-16,1885,Duddon (SS),W00143,Steamship,"Whitehaven steamer became wrecked, broke up. Gyles Quay lifeboat saved the crew.",16/10/1885,"Dundalk Bay, Co Louth, S Bull, Dundalk lighthouse, opposite",NA,NA,NA
1837-07-10,1837,Eagle,W00144,Unknown,"Of Drogheda, captain was Berry. Sank at the quay en route from Ayr.",10/07/1837,"Dundalk, off the quay, Dundalk Bay",NA,NA,NA
NA,NA,Edward Henry,W00145,Unknown,"62-ton, 6-year-old vessel, foundered at sea.",1833,"Dundalk, Dundalk Bay",NA,NA,NA
1768-01-26,1768,Elizabeth,W00146,Unknown,"En route from Liverpool to Waterford to Jamaica. Captain was Pool. Parted from anchors, went ashore. Hoped to be got off.",26/01/1768,"Dundalk, Dundalk Bay",NA,NA,NA
NA,NA,Elizabeth,W00147,Unknown,"30-ton, 26-year-old vessel went missing, supposed lost.",Between 1/2/1975 and 1/3/1975,"Dundalk, Dundalk Bay ?",NA,NA,NA
1834-07-11,1834,Emilie,W00148,Unknown,"63-ton, 24-year-old vessel of Newry and Strangford. Classed as E1 by Lloydâs. Master was Cringle. Wrecked en route to Ayr during a SW gale, crew saved.",11/07/1834,"Dundalk Bay, Blackrock strand",NA,NA,NA
1881-10-23,1881,Empire of Peace,W00149,Barque,"1,493-ton, 22-year-old barque of Liverpool. Built in Gass, New Brunswick. Owned by Merchantsâ Trading Co. Ltd. of Liverpool, master was A. Sandison. En route from Liverpool to New Orleans, 22 crew, general cargo. Stranded during a SE force 10 gale, totally wrecked. Crew took to their own boat, got ashore safely.",23/10/1881,"Louth, Annagassan Harbour, c.1 mile N, Dundalk Bay",53.9055,-6.31867,UKHO
1858-04-08,1858,Endeavour,W00150,Sloop,"50-ton, 8-year-old sloop of Amlwich. En route from Dundalk to Bangor, three crew, cargo of slates. Stranded in E by S force 10 gale, partially wrecked. Crew drowned.",08/04/1858,"Cooley Mount, Dundalk, Dundalk Bay",NA,NA,NA
1881-11-21,1881,Entered Apprentice,W00151,Smack,"4-ton, 17-year-old, unregistered wooden smack. Owned by G. Percival of Balbriggan, master was P. Walsh. Fishing in ballast from Balbriggan, three crew. Foundered in SW force 10 gale. All lives lost.",21/11/1881,"Dunany Point, 1 mile NE, Dundalk Bay",NA,NA,NA
1798-12-21,1798,Enterprize,W00152,Unknown,"Went ashore en route from Lisbon to Liverpool, expected to get off. Master was Slater.",21/12/1798,Dundalk Bay,NA,NA,NA
1895-12-24,1895,Erin,W00153,Schooner,"70â89-ton, 33-year-old, single-decked, doublemasted wooden schooner of Wexford. Owned by Clement Morris of Wexford, master was J. Whelan. En route from Gloucester to Dublin, four crew, cargo of bricks, retorts and clay. Stranded in SE force 11 wind, total loss.",24/12/1895,"Mitchelstown / Dunany Point, Dundalk Bay",NA,NA,NA
1874-12-19,1874,Fairy Queen,W00154,Unknown,Masts still visible above water after sinking.,19/12/1874,Dundalk Bay,NA,NA,NA
1883-03-02,1883,Fanny,W00155,Unknown,"Became grounded, cargo of bricks, fire bricks, tiles, fireclay was brought ashore.",02/03/1883,"Dundalk Harbour, between Connicks Quay and Cross Bank, Dundalk Bay",NA,NA,NA
1879-01-19,1879,Fanny Bailey,W00156,Brigantine,"138-ton, 22-year-old wooden brigantine/schooner. Owned by Mr J. Oakes and Mr Cunningham of Dundalk, master was W. Thomas. En route from Troon to Dundalk, five crew, 220-ton cargo of coal and iron. Encountered SE force 7 gale, struck the lighthouse, became stranded, sprang a leak, flew distress signal. Crew rescued by Blackrock lifeboat. Vessel broke up within three days. Seven tonnes of iron salvaged from wreck.",19/01/1879,"Dundalk Bar, near the lighthouse",NA,NA,NA
1848-12-24,1848,Favorite/Favourite,W00157,Unknown,"The Favourite, Captain Thomas, en route from London to Newry, came on shore 24 December 1848 but was thought likely to get off.",24/12/1848,"Dundalk, near, Dundalk Bay",NA,NA,NA
1825-12-02,1825,Felicity,W00158,Unknown,"Of Lynn, captain was Teasdale. Stranded on rocks entering harbour, became bilged. Crew and stores saved.",02/12/1825,"Dundalk, Co Louth, Spanish Battery, Dundalk Bay",NA,NA,NA
1773-11-11,1773,Fortune,W00159,Unknown,"Captain was Bolton. Driven ashore en route from Glasgow to Dublin, feared vessel would be lost.",11/11/1773,Dundalk Bay,NA,NA,NA
1824-10-11,1824,Frances and Ann,W00160,Unknown,"En route from Liverpool to Strangford, captain was Quail. Driven ashore, filled with water. Crew saved.",11/10/1824,"Dundalk, Dundalk Bay",NA,NA,NA
1861-08-21,1861,Frederick,W00161,Barque,"372-ton, 14-year-old barque of Dublin. Built in New Brunswick, classed AE 1 by Lloydâs. Owned by J. Lynam, captain was Hoare. En route from Quebec to bring cargo of timber to Thomas Williamson of Dundalk. Driven onto the Bar. Blackrock lifeboat rescued all 21 people on board. Some cargo, including rigging and masts, was saved. Vessel broke up 13th September.",21/08/1861,"Dundalk Bar, near, Dundalk Bay",NA,NA,NA
1856-06-24,1856,Galatea,W00162,Brig,163-ton brig of Dartmouth went ashore laden with Indian corn from Constantinople (now Istanbul). Some cargo saved.,24/06/1856,"Dundalk, N Bull, Dundalk Bay",NA,NA,NA
1858-04-06,1858,Gebrueders Zelling,W00163,Dutch Galliot,"Gebroeder/Gebruder/ Gelrode / Zelling Dutch galliot of Mecklenburg/Zelling Eckser, Holland. En route from Rostock/Nantes to Douglas, cargo of wheat. Went ashore, total wreck. Cargo and some of wreck sold by auction at the German consulate in Dundalk. Estimated loss on vessel, Â£1,200.",06/04/1858,"Dundalk Bay, near Dundalk",NA,NA,NA
NA,NA,Goldman / Gouldman,W00164,Unknown,Wreck still visible above low water mark in 1893. Red buoy marked wreck.,1862,"Dundalk Bar, W side of channel, Dundalk Bay",NA,NA,NA
1861-02-09,1861,Guess,W00165,Unknown,"62-ton vessel, owned by P. Brennan. Stranded during a gale. Crew rescued by local fishermen.",09/02/1861,"Annagassan, Co Louth, Dundalk Bay",NA,NA,NA
1875-10-28,1875,Harriet McBeath,W00166,Barque,"358.37-ton, 11-year-old, barque-rigged, wooden vessel of Liverpool. Built in St Johnâs port. Classed A1 by Lloydâs, official no. 48,225. Owned by Alfred Ashmall of Liverpool, master was William Henry Pollard. En route from Cameroon to Liverpool, fourteen crew, one passenger, cargo of palm oil. Sprang a leak on 27th October, headed for Isle of Man. Carlingford lights mistaken for Bahama Light-vessel. Became stranded during low water. Anchors failed to prevent vessel being driven further ashore upon rocks. Took on 5ft of water, pumps failed, became a total wreck. Crew saved. Cargo mostly salvaged.",28/10/1875,"Dundalk Bay, Co Louth, Salterstown",NA,NA,NA
1803-01-25,1803,Hebe,W00167,Brig,"101-ton brig, classed A1 by Lloydâs. Owner and captain was Hodgson, built in Chepstow. En route from Bristol to Dublin. Went ashore, filled with water.",25/01/1803,Dundalk Bay,NA,NA,NA
1833-10-03,1833,Hebe,W00168,Unknown,"En route from Dundalk to Irvine, master was OâHara. Struck its own anchor, sank immediately. Cargo damaged, but much of it saved.",03/10/1833,"Dundalk, in the River, Dundalk Bay",NA,NA,NA
1867-01-08,1867,Hop(k),W00169,Unknown,"The Hop(k), master Crawley, en route from Whitehaven, was reported ashore and filling with the tide at Annagassan on 8 January 1867.",08/01/1867,"Annagassan, Co Louth, Dundalk Bay",NA,NA,NA
1809-10-11,1809,Hope,W00170,Unknown,"Lost en route from Liverpool to Newfoundland, master was Wylie.",11/10/1809,Dundalk Bay,NA,NA,NA
1861-02-09,1861,Hope,W00171,Unknown,"Owned by Hoey of Annagassan, wrecked during a gale. Crew rescued by Annagassan fishermen.",09/02/1861,"Dundalk Bay, in the channel of the River Fane outside the wreck of the Imla (W00174)",NA,NA,NA
1828-11-14,1828,Ibe,W00172,Sloop,"41-ton, 11-year-old sloop of Dundalk, master was Darby. Wrecked en route from Liverpool to Dundalk. Cargo expected to be saved in a damaged state.",14/11/1828,Dundalk Bay,NA,NA,NA
1875-02-27,1875,Ida,W00173,Brigantine,"285-ton, 10-year-old wooden brigantine/schooner of Dundalk. Built in New Brunswick. Owned by R. Brown, master was R. Curran. En route from Troon to Dundalk, eight crew, cargo of coal. Stranded during an ESE gale. One life lost. Anchors, chains and sails saved, vessel expected to become a total wreck.",27/02/1875,"Dundalk Bay, between lighthouse and channel of River Fane, 3 miles E of Soldiers Point.",NA,NA,NA
NA,NA,Imla,W00174,Unknown,Wreck lies in the River Fane channel.,Unknown,"Dundalk Bay, in the channel of the River Fane, near the wreck of the Hope",NA,NA,NA
