medal,beer_name,brewery,city,state,category,year
Bronze,Triple-Whirl,217 Brew Works,Wilson,NC,Belgian-Style Tripel,2019
Gold,Way West Wit,Zuni Street Brewing Co.,Denver,CO,Belgian-Style Witbier,2019
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2019
Bronze,Under a Blood Orange Sky,Temblor Brewing Co.,Bakersfield,CA,Belgian-Style Witbier,2019
Silver,Maibock,Dry Dock Brewing Co. - South Dock,Aurora,CO,Bock,2019
Bronze,Dunkel Bock,Pilot Brewing Co.,Charlotte,NC,Bock,2019
Gold,Bohemian Shine,Castle Island Brewing Co.,Norwood,MA,Bohemian-Style Pilsener,2019
Silver,Bo Pils,East Brother Beer Co.,Richmond,CA,Bohemian-Style Pilsener,2019
Silver,St. Eldritch,Cellar Works Brewing Co.,Sarver,PA,Brett Beer,2019
Bronze,C'Mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Brett Beer,2019
Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Brown Porter,2019
Silver,Brown Claw,Kern River Brewing Co. - The Backyard,Kernville,CA,Brown Porter,2019
Bronze,Honey Porter,Cape May Brewing Co. - Rio Grande,Cape May,NJ,Brown Porter,2019
Gold,Jalapeno Pineapple Pils,Brickway Brewery & Distillery,Omaha,NE,Chili Beer,2019
Silver,Bringin' Da Heat,Devil's Creek Brewery,Collingswood,NJ,Chili Beer,2019
Bronze,Oyster Jalapeno Porter,Bull Island Brewing Co.,Hampton,VA,Chili Beer,2019
Gold,Old Balltown Bulleit Bourbon Barrel Aged Salted Caramel Dark Chocolate Brownie Milk Stout,PIVO Brewery,Calmar,IA,Chocolate Beer,2019
Silver,**Contains Chocolate**,Corporate Ladder Brewing Co.,Palmetto,FL,Chocolate Beer,2019
Gold,SeaSide Stout,Pizza Port - Solana Beach,Solana Beach,CA,Classic Irish-Style Dry Stout,2019
Silver,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Classic Irish-Style Dry Stout,2019
Bronze,O'Dark Thirty,6 Bears & A Goat Brewing Co.,Fredericksburg,VA,Classic Irish-Style Dry Stout,2019
Gold,Meadowlark,Metazoa Brewing Co.,Indianapolis,IN,Classic Saison,2019
Bronze,Gray Matter,Aspetuck Brew Lab,Bridgeport,CT,Classic Saison,2019
Gold,Duluth Coffee Pale Ale,Earth Rider Brewery,Superior,WI,Coffee Beer,2019
Silver,Clear Sky Daybreak,Wolf's Ridge Brewing,Columbus,OH,Coffee Beer,2019
Gold,There is No Cow Level,GameCraft Brewing,Laguna Hills,CA,Coffee Stout or Porter,2019
Silver,Portola Breakfast Stout,Tustin Brewing Co.,Tustin,CA,Coffee Stout or Porter,2019
Bronze,White Russian,SunUp Brewing Co.,Phoenix,AZ,Coffee Stout or Porter,2019
Silver,Are You Pricklish?,TaftE2=80=99s Brewing Co.,Louisville,KY,Collab,2019
Bronze,Willie Big Dog,Public Coast Brewing Company,Canon Beach,OR,Collab,2019
Gold,Lazy River Pils,New Trail Brewing Co.,Williamsport,PA,Contemporary American-Style Pilsener,2019
Silver,Citra Pils,Saint Archer Brewing Co.,San Diego,CA,Contemporary American-Style Pilsener,2019
Silver,Mimosa Gose,Pilot Brewing Co.,Charlotte,NC,Contemporary Gose,2019
Bronze,Galactic Minotaurt,True Vine Brewing Co.,Tyler,TX,Contemporary Gose,2019
Gold,Schnitzengiggles,New England Brewing Co.,Woodbridge,CT,Dortmunder or German-Style Oktoberfest,2019
Bronze,Chuckanut Fest Bier,Chuckanut Brewery - South Nut,Burlington,WA,Dortmunder or German-Style Oktoberfest,2019
Gold,Station 101,Claremont Craft Ales,Claremont,CA,Double Hoppy Red Ale,2019
Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Double Hoppy Red Ale,2019
Bronze,Cannon Ball,Migration Brewing Co. - Glisan,Portland,OR,Double Hoppy Red Ale,2019
Gold,Pure Tropics,Parish Brewing Co.,Broussard,LA,Emerging India Pale Ale,2019
Silver,Vladimir Brutin,Cannonball Creek Brewing Co.,Golden,CO,Emerging India Pale Ale,2019
Gold,Bobcat Brown Ale,Bridger Brewing,Bozeman,MT,English-Style Brown Ale,2019
Silver,Eclipse Brown Ale,Equinox Brewing,Fort Collins,CO,English-Style Brown Ale,2019
Bronze,Mischievous Brown,Helltown Brewing,Export,PA,English-Style Brown Ale,2019
Bronze,Hoppy Poppy,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,English-Style India Pale Ale,2019
Gold,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2019
Bronze,Saddle Bronc Brown,Black Tooth Brewing Co.,Sheridan,WY,English-Style Mild Ale,2019
Gold,Ferment Pale Ale,Ferment Brewing Co.,Hood River,OR,English-Style or International-Style Pale Ale,2019
Silver,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,English-Style or International-Style Pale Ale,2019
Bronze,Endless Summer Nights,Cloudburst Brewing,Seattle,WA,English-Style or International-Style Pale Ale,2019
Gold,Organic California Blonde Ale,Eel River Brewing Co.,Scotia,CA,English-Style Summer Ale,2019
Silver,Quid,Rhinegeist - Innovation Brewery,Cincinnati,OH,English-Style Summer Ale,2019
Bronze,Breakside Wentworth by the Sea,Breakside Brewery,Portland,OR,English-Style Summer Ale,2019
Gold,Fungus Shui,Meadowlark Brewing,Sidney,MT,Experimental Beer,2019
Silver,Shibbleshabble,Primitive Beer,Longmont,CO,Experimental Beer,2019
Bronze,Fluffernutter,Kings Brewing Co.,Rancho Cucamonga,CA,Experimental Beer,2019
Gold,Correspondent,Wander Brewing,Bellingham,WA,Export Stout,2019
Silver,Thor's Shadow Imperial Stout,Odin Brewing Co.,Tukwila,WA,Export Stout,2019
Bronze,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Export Stout,2019
Gold,ESB,Hillman Beer,Asheville,NC,Extra Special Bitter,2019
Silver,Bridgeview,Henderson Brewing Co.,Henderson,KY,Extra Special Bitter,2019
Bronze,Red Ale,The Vanguard Brewpub & Distillery,Hampton,VA,Extra Special Bitter,2019
Gold,Scoring Discrepancies,Listermann Brewing Co.,Cincinnati,OH,Field Beer,2019
Silver,Dessert Station: Cherry Almond Cookie,Corporate Ladder Brewing Co.,Palmetto,FL,Field Beer,2019
Bronze,Grandma's Pecan,The Dudes' Brewing Co.,Torrance,CA,Field Beer,2019
Gold,Fresh Hop Green Battles,Pinthouse Pizza North,Austin,TX,Fresh Hop Beer,2019
Silver,Hop Stalker,Fat Head's Brewery - Canton,Canton,OH,Fresh Hop Beer,2019
Gold,Bitchin' Berry,Great Basin Brewing Co. - Production Facility,Reno,NV,Fruit Wheat Beer,2019
Silver,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2019
Bronze,Smash,10 Barrel Brewing Co.,Bend,OR,Fruit Wheat Beer,2019
Silver,Hoochie Mama,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruited American-Style Sour Ale,2019
Bronze,Sour Blackberry Raspberry,EdmundE2=80=99s Oast Brewing Co.,Charleston,SC,Fruited American-Style Sour Ale,2019
Gold,Midnight Choir,Sun King Brewing,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2019
Bronze,Rossano,Kings Brewing Co.,Rancho Cucamonga,CA,Fruited Wood- and Barrel-Aged Sour Beer,2019
Silver,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2019
Bronze,Jeremy Altbier,The Royal Oak Brewery,Royal Oak,MI,German-Style Altbier,2019
Silver,Black Lager,Bingo Beer Co.,Richmond,VA,German-Style Dark Lager,2019
Bronze,Don't Drop That Dun Dun Dunkel,TAPS Brewery &amp; Barrel Room,Tustin,CA,German-Style Dark Lager,2019
Gold,Eis Nine,Sun King Brewing - Fishers Small Batch,Fishers,IN,German-Style Doppelbock or Eisbock,2019
Silver,Doppelbock,Scorched Earth Brewing Co.,Algonquin,IL,German-Style Doppelbock or Eisbock,2019
Bronze,Eis Vienne,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,German-Style Doppelbock or Eisbock,2019
Gold,Altstadt Kolsch,Altstadt Brewery,Fredericksburg,TX,German-Style Koelsch,2019
Silver,Ice Cutter KC3=B6lsch,Joyride Brewing Co.,Edgewater,CO,German-Style Koelsch,2019
Bronze,Dry Creek Blonde Ale,Santa Clara Valley Brewing,San Jose,CA,German-Style Koelsch,2019
Gold,Oktoberfest,Bear Chase Brewing Co.,Bluemont,VA,German-Style Maerzen,2019
Silver,Rocktoberfest,Hutton & Smith Brewing Co.,Chattanooga,TN,German-Style Maerzen,2019
Bronze,Festie,Starr Hill Pilot Brewery &amp; Side Stage,Roanoke,VA,German-Style Maerzen,2019
Gold,Parliament Drive,Blind Owl Brewery,Indianapolis,IN,German-Style Pilsener,2019
Silver,Golden Age Pilsner,Family Business Beer Co.,Dripping Springs,TX,German-Style Pilsener,2019
Bronze,Pils,Hardywood West Creek,Richmond,VA,German-Style Pilsener,2019
Gold,Meier,Rowley Farmhouse Ales,Santa Fe,NM,German-Style Sour Ale,2019
Bronze,And the Award Gose to...,Big Dog's Brewing Co.,Las Vegas,NV,German-Style Sour Ale,2019
Gold,Krystal Clear,TAPS Brewery & Barrel Room,Tustin,CA,German-Style Wheat Ale,2019
Silver,Dunkelweisse,Swashbuckler Brewing Co.,Manheim,PA,German-Style Wheat Ale,2019
Bronze,HefeWeizen,Live Oak Brewing Co.,Austin,TX,German-Style Wheat Ale,2019
Gold,Boombastic Hazy IPA,Holidaily Brewing Co.,Golden,CO,Gluten-Free Beer,2019
Silver,Co-Conspirator Apricot Sour,Revelation Craft Brewing Co.,Rehoboth Beach,DE,Gluten-Free Beer,2019
Bronze,Grandpa's Nap,Evasion Brewing - Production Facility,McMinnville,OR,Gluten-Free Beer,2019
Gold,1956 Golden Ale,Bootstrap Brewing,Longmont,CO,Golden or Blonde Ale,2019
Silver,MadeWest Standard,MadeWest Brewing Co.,Ventura,CA,Golden or Blonde Ale,2019
Bronze,Luke's Original,Lucky Luke Brewing Co.,Palmdale,CA,Golden or Blonde Ale,2019
Gold,Kveik Thai Tom Kha,Shades Brewing,Park City,UT,Herb and Spice Beer,2019
Silver,One Night in Bangkok Smoothie IPA,Midland Brewing Co.,Midland,MI,Herb and Spice Beer,2019
Bronze,Decorah Nordic Gruit,PIVO Brewery,Calmar,IA,Historical Beer,2019
Gold,A&M Honey Bock,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Honey Beer,2019
Silver,Honey Hole,SpindleTap Brewery,Houston,TX,Honey Beer,2019
Bronze,Jetty,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2019
Gold,Double Cone,Alvarado Street Brewery,Salinas,CA,Imperial India Pale Ale,2019
Silver,Westbound Double IPA,Westbound & Down Brewing Co.,Idaho Springs,CO,Imperial India Pale Ale,2019
Bronze,Sharrow,Brew Hub,Lakeland,FL,Imperial India Pale Ale,2019
Gold,Bone Head Imperial Red,Fat Head's Brewery & Saloon,North Olmsted,OH,Imperial Red Ale,2019
Bronze,Gifted Gunslinger,Big Sexy Brewing Co.,Sacramento,CA,Imperial Red Ale,2019
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2019
Bronze,Rescue Buoy Imperial Stout,Rip Current Brewing,San Marcos,CA,Imperial Stout,2019
Silver,Go Kart Mozart,MotoSonora Brewing Co.,Tucson,AZ,India Pale Lager or Malt Liquor,2019
Bronze,Yeah Buoy IPL,Logboat Brewing Co.,Columbia,MO,India Pale Lager or Malt Liquor,2019
Gold,Dark Horse,Snake River Brewing Co.,Jackson,WY,International-Style Dark Lager,2019
Silver,El Corn,The Post Brewing Co.,Lafayette,CO,International-Style Dark Lager,2019
Bronze,Schwarzbier,HofbrC3=A4uhaus Clevelan=d,Cleveland,OH,International-Style Dark Lager,2019
Gold,Torcido,Barebottle Brewing Co.,San Francisco,CA,International-Style Pilsener,2019
Silver,Upslope Craft Lager,Upslope Brewing Co. - Flatiron Park,Boulder,CO,International-Style Pilsener,2019
Silver,Balefire Irish Red,Mirror Image Brewing Co.,Frederick,CO,Irish-Style Red Ale,2019
Bronze,Red Molly Irish Red Ale,Pale Fire Brewing Co.,Harrisonburg,VA,Irish-Style Red Ale,2019
Gold,Extra Extra Juicy Bits,WeldWerks Brewing Co.,Greeley,CO,Juicy or Hazy Imperial India Pale Ale,2019
Silver,Juice Jockey,Phantom Ales,Anaheim,CA,Juicy or Hazy Imperial India Pale Ale,2019
Bronze,Devil's Gulch,Pond Farm Brewing Co.,San Rafael,CA,Juicy or Hazy India Pale Ale,2019
Gold,Gulp,Tribus Beer Co.,Milford,CT,Juicy or Hazy Pale Ale,2019
Silver,Itsy Bits,WeldWerks Brewing Co.,Greeley,CO,Juicy or Hazy Pale Ale,2019
Silver,Kaaterskill,West Kill Brewing,West Kill,NY,Juicy or Hazy Strong Pale Ale,2019
Bronze,Goofy Boots,Penrose Brewing Co.,Geneva,IL,Juicy or Hazy Strong Pale Ale,2019
Gold,German Pilsner,Port City Brewing Co.,Alexandria,VA,Kellerbier or Zwickelbier,2019
Bronze,Stand By,Rockwell Beer Co.,St. Louis,MO,Kellerbier or Zwickelbier,2019
Gold,Altitude Banquet,Altitude Chophouse and Brewery,Laramie,WY,Light Lager,2019
Silver,Sif's Light Lager,Odin Brewing Co.,Tukwila,WA,Light Lager,2019
Bronze,Lightner Creek Lager,Carver Brewing Co.,Durango,CO,Light Lager,2019
Gold,Standard Issue,Central Standard Brewing,Wichita,KS,Mixed-Culture Brett Beer,2019
Silver,Florida Sunshine,Crooked Can Brewing Co.,Winter Garden,FL,Munich-Style Helles,2019
Bronze,Wayfinder Hell,Wayfinder Beer,Portland,OR,Munich-Style Helles,2019
Gold,Enough Said N/A,Two Roots Brewing Co.,San Diego,CA,Non-Alcohol Beer or Alcohol-Free Beer,2019
Silver,Bravus Oatmeal Stout,Bravus Brewing Co.,Newport Beach,CA,Non-Alcohol Beer or Alcohol-Free Beer,2019
Gold,80 Chain Stout,MAP Brewing Co.,Bozeman,MT,Oatmeal Stout,2019
Silver,Yonder Mountain Stout,Vine Street Pub & Brewery,Denver,CO,Oatmeal Stout,2019
Gold,Private Stock Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2019
Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2019
Bronze,Last Will and Testament,Monday Night Brewing - Garage,Atlanta,GA,Old Ale or Strong Ale,2019
Gold,Chronic Amber Ale,Pizza Port - Bressi Ranch,Carlsbad,CA,Ordinary or Special Bitter,2019
Silver,Cousin Jack,Dostal Alley Brewpub & Casino,Central City,CO,Ordinary or Special Bitter,2019
Bronze,Milford Pub Ale,River's Edge Brewing Co.,Milford,MI,Ordinary or Special Bitter,2019
Gold,"Very, Very Far",Off Color Brewing,Chicago,IL,Other Belgian-Style Ale,2019
Bronze,Pentuple,Hoppin' Frog Brewing,Akron,OH,Other Belgian-Style Ale,2019
Silver,False Hope,Spilled Grain Brewhouse,Annandale,MN,Other Strong Beer,2019
Bronze,Double Brown Ale,Tumbleroot Brewery and Distillery,Santa Fe,NM,Other Strong Beer,2019
Silver,Leicht,Precarious Beer Project E2=80=93 Beer Hall,Williamsburg,VA,Proam,2019
Bronze,Chess with Checkers,New Belgium Brewing Co.,Fort Collins,CO,Proam,2019
Gold,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Pumpkin/Squash Beer or Pumpkin Spice Beer,2019
Bronze,Pumpkinator,Saint Arnold Brewing Co.,Houston,TX,Pumpkin/Squash Beer or Pumpkin Spice Beer,2019
Gold,Tabula Rasa,Second Chance Beer Co.,San Diego,CA,Robust Porter,2019
Silver,Powell Street Porter,Bartlett Hall,San Francisco,CA,Robust Porter,2019
Bronze,Shadowcaster Porter,Folklore Brewing & Meadery,Dothan,AL,Robust Porter,2019
Gold,Rye Dawn,Breakwater Brewing Co.,Oceanside,CA,Rye Beer,2019
Bronze,Suss it Out,Level Crossing Brewing Co.,South Salt Lake,UT,Rye Beer,2019
Gold,Knuckle Dragger,Dueces Wild Brewery,Colorado Springs,CO,Scotch Ale,2019
Silver,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2019
Bronze,Wee Heavy Metal,Hutton & Smith Brewing Co. - M. L. King,Chattanooga,TN,Scotch Ale,2019
Gold,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2019
Silver,Yarmouth,Arkane Aleworks,Largo,FL,Scottish-Style Ale,2019
Bronze,Thistle Dew,Ursa Minor Brewing,Duluth,MN,Scottish-Style Ale,2019
Gold,Texas Lager,Community Beer Co.,Dallas,TX,Session Beer,2019
Silver,Lite It!,Light the Lamp Brewery,Grayslake,IL,Session Beer,2019
Gold,Gravity Check,Kern River Brewing Co. - The Backyard,Kernville,CA,Session India Pale Ale,2019
Silver,Trump Hands,Cannonball Creek Brewing Co.,Golden,CO,Session India Pale Ale,2019
Bronze,That IPA,Community Beer Works,Buffalo,NY,Session India Pale Ale,2019
Gold,Red-Fish Rauchbock,Sockeye Brewing,Boise,ID,Smoke Beer,2019
Silver,TF Brewing Rauch Bier,Templin Family Brewing,Salt Lake City,UT,Smoke Beer,2019
Bronze,Up In Smoke,Fat Head's Brewery - Canton,Canton,OH,Smoke Beer,2019
Gold,Prosperity Wheat,Market Garden Brewery - Production Brewery,Cleveland,OH,South German-Style Hefeweizen,2019
Silver,Hug Deal Gone Sideweiss,Gezellig Brewing Co.,Newton,IA,South German-Style Hefeweizen,2019
Bronze,Leisel Weapon,Noon Whistle Brewing Co.,Lombard,IL,South German-Style Hefeweizen,2019
Gold,Rye Hipster Brunch Stout,Odd Side Ales,Grand Haven,MI,Specialty Beer,2019
Silver,Agavemente,SouthNorte Beer Co.,San Diego,CA,Specialty Beer,2019
Bronze,I Did It All For The Cookie,FiftyFifty Brewing Co.,Truckee,CA,Specialty Beer,2019
Gold,Midwestern Exotic,Barrel Theory Beer Co.,St. Paul,MN,Specialty Berliner Weisse,2019
Silver,Jungalow Juice,Arrow Lodge Brewing,Covina,CA,Specialty Berliner Weisse,2019
Bronze,Raspberry Vermonter Weiss,14th Star Brewing Co.,Saint Albans,VT,Specialty Berliner Weisse,2019
Bronze,Palisade #2,Fortside Brewing Co.,Vancouver,WA,Specialty Saison,2019
Silver,Emperor Norton's Sweet Stout,21st Amendment Brewery,San Leandro,CA,Sweet Stout or Cream Stout,2019
Bronze,Volcano Mudslide Sweet Stout,Feather Falls Brewing Co.,Oroville,CA,Sweet Stout or Cream Stout,2019
Silver,Vienna Lager,Grains of Wrath Brewing,Camas,WA,Vienna-Style Lager,2019
Gold,Amburana Dream,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Beer,2019
Bronze,Bourbon Barrel Aged Lady In Red,Bombshell Beer Co.,Holly Springs,NC,Wood- and Barrel-Aged Beer,2019
Gold,Sour Brown Aged on Palo Santo,Hi-Wire Brewing - South Slope,Asheville,NC,Wood- and Barrel-Aged Sour Beer,2019
Silver,Agent Orange - Apple Brandy Barrel,Rowley Farmhouse Ales,Santa Fe,NM,Wood- and Barrel-Aged Sour Beer,2019
Bronze,Reserve Doree,The Chamber By Wooden Robot Brewery,Charlotte,NC,Wood- and Barrel-Aged Sour Beer,2019
Gold,Knotty Dog,Big Dog's Brewing Co.,Las Vegas,NV,Wood- and Barrel-Aged Strong Beer,2019
Bronze,Bourbon Legend,Great Heights Brewing Co.,Houston,TX,Wood- and Barrel-Aged Strong Beer,2019
Gold,Barrel Aged Imperial Pajamas,Begyle Brewing,Chicago,IL,Wood- and Barrel-Aged Strong Stout,2019
Silver,Ales from the Crypt: Te Quiero,O.H.S.O. Brewery - Gilbert,Gilbert,AZ,Wood- and Barrel-Aged Strong Stout,2019
Bronze,SeC3=B1or Rhino,Alesong Brewing & Blending - Tasting Room,Eugene,OR,Wood- and Barrel-Aged Strong Stout,2019
Gold,Quadtum Leap,Revelry Brewing Co.,Charleston,SC,Aged Beer,2018
Silver,"Lock, Stock and Brandy Barrel",Maize Valley Craft Brewery,Hartville,OH,Aged Beer,2018
Bronze,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Aged Beer,2018
Silver,#4.5 Dry Hopped Saison,Brown Truck Brewery,High Point,NC,American-Belgo-Style Ale,2018
Gold,Pecos Amber Lager,Texas Beer Co.,Taylor,TX,American-Style Amber Lager,2018
Silver,MC3=A4rzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2018
Bronze,Oktoberfest,Lager Heads Brewing Co.,Medina,OH,American-Style Amber Lager,2018
Silver,Sepia Amber,Hopping Gnome Brewing Co.,Wichita,KS,American-Style Amber/Red Ale,2018
Bronze,Avalon Amber Ale,Slack Tide Brewing Co.,Cape May Court House,NJ,American-Style Amber/Red Ale,2018
Gold,Alpha Force Double Tap,Uberbrew,Billings,MT,American-Style Black Ale,2018
Silver,Black the Riipper,Riip Beer Co.,Huntington Beach,CA,American-Style Black Ale,2018
Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,American-Style Black Ale,2018
Bronze,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2018
Gold,Gateway Cream Ale,Lockport Brewery,Bolivar,OH,American-Style Cream Ale,2018
Silver,Dayblazer Easygoing Ale,New Belgium Brewing Co. - Ft. Collins,Fort Collins,CO,American-Style Cream Ale,2018
Gold,Raspberry Twist Lager,Garage Brewing Co.,Temecula,CA,American-Style Fruit Beer,2018
Silver,Cherry Blonde,Ignite Brewing Co.,Barberton,OH,American-Style Fruit Beer,2018
Bronze,Tropic Maelstrom,Peter B's Brewpub,Monterey,CA,American-Style Fruit Beer,2018
Gold,Bine,Root Down Brewing Co.,Phoenixville,PA,American-Style India Pale Ale,2018
Silver,Not an IPA (P.S. it's an IPA),Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,American-Style India Pale Ale,2018
Bronze,West Coast IPA is Dead!,Green Cheek Beer Co.,Orange,CA,American-Style India Pale Ale,2018
Gold,Lager,Appalachian Mountain Brewery - Boone,Boone,NC,American-Style Lager or American-Style Malt Liquor,2018
Silver,American Lager,Castle Island Brewing Co.,Norwood,MA,American-Style Lager or American-Style Malt Liquor,2018
Bronze,Lumino,Unsung Brewing Co.,Tustin,CA,American-Style Lager or American-Style Malt Liquor,2018
Gold,B.Right On Pale Ale,Ocean Beach Brewery,San Diego,CA,American-Style Pale Ale,2018
Silver,Neighborhood,Ventura Coast Brewing Co.,Ventura,CA,American-Style Pale Ale,2018
Bronze,Charlatan,Maplewood Brewing Co.,Chicago,IL,American-Style Pale Ale,2018
Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,American-Style Pilsener,2018
Silver,NZ Pils,Wolverine State Brewing Co.,Ann Arbor,MI,American-Style Pilsener,2018
Bronze,Howdy Beer,The Post Brewing Co.,Lafayette,CO,American-Style Pilsener,2018
Gold,Kveik 1,Shades of Pale Brewery,Park City,UT,American-Style Sour Ale,2018
Silver,Brevity,Brewery Silvaticus,Amesbury,MA,American-Style Sour Ale,2018
Bronze,Wicked Shifty,Shoe Tree Brewing Co.,Carson City,NV,American-Style Sour Ale,2018
Bronze,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2018
Gold,Green Battles IPA,Pinthouse Pizza North,Austin,TX,American-Style Strong Pale Ale,2018
Silver,Easy Runaway,Old Schoolhouse Brewery,Winthrop,WA,American-Style Strong Pale Ale,2018
Gold,Sweet As Pacific Ale,GoodLife Brewing Co.,Bend,OR,American-Style Wheat Beer,2018
Bronze,"Easy, Breezy, Beautiful",Cloudburst Brewing,Seattle,WA,American-Style Wheat Beer,2018
Gold,Miner's Gold,Lewis & Clark Brewing Co.,Helena,MT,American-Style Wheat Beer with Yeast,2018
Bronze,Hefeweizen,Widmer Brothers Brewing,Portland,OR,American-Style Wheat Beer with Yeast,2018
Gold,Sunshine Express,Butcherknife Brewing Co.,Steamboat Springs,CO,Australian-Style Pale Ale,2018
Silver,Strata IPA,Worthy Brewing Co.,Bend,OR,Australian-Style Pale Ale,2018
Bronze,Flavor Country,Austin Beerworks,Austin,TX,Australian-Style Pale Ale,2018
Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Baltic-Style Porter,2018
Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Baltic-Style Porter,2018
