name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Apricot Anisette Collins,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Apricot Flavored Brandy,1 1/2 oz, Anisette,1 oz, Lemon Juice, Club Soda,,,,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a slice of lemon.,Collins Glass,14 to 16 ounces
Alexander's Sister Cocktail,Cocktail Classics,1 oz, Dry gin,1 oz, Green creme de menthe,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces
Highland Cooler,Whiskies,2 oz, Blended Scotch Whiskey,1/2 oz, Simple Syrup,, Soda water or ginger ale,, Lemon and/or orange zest spiral(s),,,,,Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Insert citrus spiral(s) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces
Alexander Cocktail No. 1,Cocktail Classics,1 oz, Gin,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces
Adam and Eve,Cocktail Classics,1 oz, Forbidden Fruit,1 oz, Gin,1 oz, Brandy,1 oz, Lemon Juice,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Vodka Sling,Vodka,2 oz, Vodka,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Orange twist,,,,,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Add orange twist.",Old-Fashioned Glass,6 to 8 ounces
Jack Rose Cocktail,Brandy,1 1/2 oz, Applejack,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Tempter Cocktail,Cocktail Classics,1 oz, Port,1 oz, Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Special Rough Cocktail,Cocktail Classics,1 1/2 oz, Apple Brandy,1 1/2 oz, Brandy,1/2 oz, Anisette,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Vodka Grasshopper,Vodka,3/4 oz, Vodka,3/4 oz, Green creme de menthe,3/4 oz, White creme de cacao,3/4 oz, half-and-half,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Singapore Sling,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,, Club Soda,1/2 oz, cherry-flavored brandy,,,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Float cherry-flavored brandy on top. Decorate with fruits in season and serve with straws.",Collins Glass,14 to 16 ounces
Saratoga Cocktail,Cocktail Classics,2 oz, Brandy,2 oz, Bitters,1 oz, Lemon Juice,1 oz, Pineapple Juice,1/2 oz, Maraschino,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
High Cotton,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Pimm's No. 1 Cup,1/2 oz, Dubonnet Rouge,2 oz, Peach bitters," Lemon twist, fresh mint sprig",,,,Stir with ice and strain into chilled cocktail glass. Garnish with lemon and mint.,Cocktail Glass,6 or more ounces
Polonaise,Cocktail Classics,1 1/2 oz, Brandy,1 oz, Blackberry-flavored brandy,1/2 oz, Dry Sherry,1 oz, Lemon Juice,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Vodka Gimlet,Vodka,1 1/2 oz, Vodka,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Merry Widow Cocktail No. 2,Cocktail Classics,1 1/4 oz, Maraschino,1 1/4 oz, cherry-flavored brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Lugger,Cocktail Classics,1 oz, Brandy,1 oz, Apple Brandy,1 oz, Apricot Flavored Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Jamaica Hop,Cocktail Classics,1 oz, Coffee-flavored brandy,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,Shake well with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Hebrides,Whiskies,1 1/2 oz, Single-malt Scotch whisky,1/2 oz, Maraschino liqueur,1/2 oz, Triple Sec,2 oz, Apple juice,1/2 oz, Fresh lemon juice,1 oz, Angostura Bitters,Pour into ice-filled Collins glass and stir.,Collins Glass,14 to 16 ounces
Hennessy Martini,Cocktail Classics,2 oz, Hennessy V.S Cognac,1/2 oz, Lemon Juice,,,,,,,,,"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with twist of lemon peel.",Cocktail Glass,6 or more ounces
Vodka Daisy,Vodka,2 oz, Vodka,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Grenadine, Fresh seasonal fruit,,,,Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with fruit.,Beer Mug,10 to 12 ounces
Heavenly Dram,Whiskies,2 oz, Single-malt Scotch whisky,1/2 oz, Pedro Ximenez sherry,3/4 oz, Fresh lemon juice,1/4 oz, Honey Syrup, Lemon twist,,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Classic Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1 1/2 oz, Curacao,1 1/2 oz, Maraschino,1 oz, Brandy,,,,,Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.,Old-Fashioned Glass,6 to 8 ounces
Cherry Sling,Cocktail Classics,2 oz, cherry-flavored brandy,1/2 oz, Juice of a Lemon,,,,,,,,,Serve in old-fashioned glass filled with ice cubes and stir. Add a twist of lemon peel.,Old-Fashioned Glass,6 to 8 ounces
Cherry Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, cherry-flavored brandy,, Club Soda,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and decorate with a cherry.,Highball Glass,7 to 10 ounces
Vodka Cooler,Vodka,2 oz, Vodka,1/2 oz, Simple Syrup,, Soda water or ginger ale,, Orange and/or lemon zest spiral,,,,,Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert a spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces
Carrol Cocktail,Cocktail Classics,1 1/2 oz, Brandy,3/4 oz, Sweet Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Button Hook Cocktail,Cocktail Classics,1/2 oz, Creme de Menthe (White),1/2 oz, Apricot Flavored Brandy,1/2 oz, Anisette,1/2 oz, Brandy,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bull's Eye,Cocktail Classics,1 oz, Brandy,2 oz, Hard cider, Ginger ale,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces
Brantini,Cocktail Classics,1 1/2 oz, Brandy,1 oz, Gin,1 oz, Dry Vermouth,,,,,,,Stir with cracked ice and strain into old-fashioned glass with cubed ice. Add a twist of lemon peel.,Old-Fashioned Glass,6 to 8 ounces
Heather's Kiss,Whiskies,2 1/4 oz, Blended Scotch Whiskey,1/2 oz, Fresh lemon juice,1/4 oz, Agave nectar,1 oz, Absinthe, Apple slice,,,,Shake with ice strain into chilled cocktail glass. Garnish with apple slice.,Cocktail Glass,6 or more ounces
Brandy Squirt,Cocktail Classics,1 1/2 oz, Brandy,1 oz, Powdered Sugar,1 oz, Grenadine,, Club Soda,,,,,Shake with ice and strain into highball glass and fill with club soda. Decorate with stick of pineapple and strawberries.,Highball Glass,7 to 10 ounces
Brandy and Soda,Cocktail Classics,2 oz, Brandy,, Club Soda,,,,,,,,,Pour brandy into collins glass with ice cubes. Fill with club soda.,Collins Glass,14 to 16 ounces
Brandy Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Brandy,1 oz, Milk,,,,,,,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces
Vodka Collins,Vodka,2 oz, Vodka,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup,, Soda water," Lemon and orange wheels, maraschino cherry",,,,"Shake vodka, lemon juice, and syrup and strain into ice-filled Collins glass. Fill with soda water and stir. Garnish with citrus and cherry. Serve with a straw.",Collins Glass,14 to 16 ounces
Brandy Crusta Cocktail,Cocktail Classics,1 oz, Maraschino,1 oz, Bitters,1 oz, Lemon Juice,1/2 oz, Triple Sec,2 oz, Brandy,,,Moisten the edge of a cocktail glass with lemon and dip into sugar. Cut the rind of half a lemon into a spiral and place in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Add a slice of orange.,Cocktail Glass,6 or more ounces
Heather Blush,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Strawberry liqueur,3 oz, Chilled sparkling wine,, Whole strawberry,,,,,Pour Scotch and liqueur into chilled champagne flute. Top with sparkling wine. Garnish with strawberry.,Champagne Flute,6 to 8 ounces
Jack Maples,Brandy,2 oz, Applejack,1 oz, maple syrup (grade B or medium-amber),1 oz, Aromatic bitters,, Cinnamon stick,,,,,Stir with ice and strain into cocktail glass. Garnish with cinnamon stick.,Cocktail Glass,6 or more ounces
Brandy Alexander,Cocktail Classics,1/2 oz, Creme de Cacao (Brown),1/2 oz, Brandy,1/2 oz, Heavy cream,,,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Vodka and Tonic,Vodka,2 oz, Vodka,, Tonic water,, Lemon or lime wedge,,,,,,,Pour vodka into highball glass over ice. Add tonic and stir. Garnish with lemon or lime wedge. VODKA COLLINS,Highball Glass,7 to 10 ounces
Apricot Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/4 oz, Juice of Orange,1 1/2 oz, Apricot Flavored Brandy,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Alexander Cocktail No. 2,Cocktail Classics,1 oz, Creme de Cacao (White),1 oz, Brandy,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces
After Dinner Cocktail,Cocktail Classics,1 oz, Apricot Flavored Brandy,1 oz, Triple Sec,1 oz, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass. Leave lime in glass.,Cocktail Glass,6 or more ounces
Harvest Moon,Whiskies,1 1/2 oz, Straight rye whiskey,1 oz, Lillet Blanc,1/2 oz, Apple Brandy,1/4 oz, Green Chartreuse,2 oz, Angostura Bitters,, Orange twist,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Red Raider,Cocktail Classics,1 oz, Bourbon,1/2 oz, Triple Sec,1 oz, Lemon Juice,1 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Vodka and Apple Juice,Vodka,2 oz, Vodka,, Apple juice,,,,,,,,,Pour vodka into ice-filled highball glass. Fill with apple juice and stir.,Highball Glass,7 to 10 ounces
Mint Julep (Southern Style),Cocktail Classics,5 or 6,springs mint,1 oz, Powdered Sugar,2 oz, Water,2 1/2 oz, Bourbon,,,,,"In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Decorate with sprigs of fresh mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste.",Collins Glass,14 to 16 ounces
Limestone,Cocktail Classics,1 1/2 oz, Bourbon,, Collins Mix,, Lime Juice,,,,,,,"Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste.",Highball Glass,7 to 10 ounces
Grounds For Divorce,Whiskies,1 1/2 oz, Straight rye whiskey,3/4 oz, Kirschwasser,1/4 oz, Cynar,1/2 oz, Amaro, Orange twist,,,,Stir and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Gentleman's Cocktail,Cocktail Classics,1 1/2 oz, Bourbon,1/2 oz, Brandy,1/2 oz, Creme de Menthe,, Club Soda,,,,,"Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist.",Highball Glass,7 to 10 ounces
Dixie Julep,Cocktail Classics,1 oz, Powdered Sugar,2 1/2 oz, Bourbon,,,,,,,,,Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Decorate with sprigs of mint. Serve with straws.,Collins Glass,14 to 16 ounces
Victory Collins,Vodka,1 1/2 oz, Vodka,2 oz, Unsweetened Grape Juice,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup, Orange half-wheel,,,,Shake with ice and strain into ice-filled Collins glass. Garnish with orange.,Collins Glass,14 to 16 ounces
Buddy's Favorite,Cocktail Classics,1 1/2 oz, Bourbon,6 oz, Cold Water,,,,,,,,,Pour ingredients into highball glass. Stir and serve without ice.,Highball Glass,7 to 10 ounces
Bourbon On The Rocks,Cocktail Classics,2 oz, Bourbon,,,,,,,,,,,Pour bourbon into old-fashioned glass half-filled with ice.,Old-Fashioned Glass,6 to 8 ounces
Bourbon Cobbler,Cocktail Classics,2 1/2 oz  ,Bourbon,1 oz, Lemon Juice,2 oz, Grapefruit Juice,1 1/2 oz, Almond extract,,,,,"Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Decorate with peach slice.",Old-Fashioned Glass,6 to 8 ounces
Bourbon and Water,Cocktail Classics,2 oz, Bourbon,4 oz, Water,,,,,,,,,"Pour bourbon and water into old-fashioned glass. Add ice and a twist of lemon peel, if desired, and stir.",Old-Fashioned Glass,6 to 8 ounces
Greenpoint,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Yellow Chartreuse,1/2 oz, Sweet Vermouth,1 oz, Angostura Bitters,1 oz, Orange Bitters,, Lemon twist,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Yellowjacket,Non-alcoholic Drinks,2 oz, Pineapple Juice,2 oz, Orange Juice,1/2 oz, Lemon Juice,,,,,,,Shake with old-fashioned glass filled with ice cubes. Garnish with a lemon slice.,Old-Fashioned Glass,6 to 8 ounces
Velvet Peach Hammer,Vodka,1 3/4 oz, Vodka,3/4 oz, Peach schnapps,1/4 oz, Simple Syrup,1/2 oz, Fresh lemon juice, Peach slice,,,,Pour vodka and schnapps into ice-filled old-fashioned glass. Stir and top with syrup and lemon juice. Garnish with peach.,Old-Fashioned Glass,6 to 8 ounces
Grandfather,Whiskies,1 oz, Bourbon whiskey,1 oz, Applejack,1 oz, Sweet Vermouth,1 oz, Angostura Bitters,1 oz, Peychaud's Bitters,, Maraschino cherry,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
Goldrush,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Fresh lemon juice,1 oz, Honey Syrup,,,,,,,Shake and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Sake Martini,Cocktail Classics,1 oz, Sake,3 oz, Mr. Boston Gin,,,,,,,,,"Stir with ice, strain into 3-or 4-oz. cocktail glass and serve with an olive.",Cocktail Glass,6 or more ounces
Godfather,Whiskies,1 1/2 oz, Blended Scotch Whiskey,3/4 oz, Amaretto,,,,,,,,,Pour into ice-filled old-fashioned glass and stir.,Old-Fashioned Glass,6 to 8 ounces
Jack-In-The-Box,Brandy,1 oz, Applejack,1 oz, Pineapple Juice,1 oz, Angostura Bitters,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Saronno,Cocktail Classics,1 oz, Amaretto di Saronno,1 oz, Mr. Boston Five Star Brandy,1 oz, Light cream,,,,,,,Shake well with cracked ice. Strain and serve in cocktail glass.,Cocktail Glass,6 or more ounces
Saronno Colada (Nutty Colada),Cocktail Classics,3 oz, Amaretto di Saronno,3 oz, Coconut Milk,3 oz, Crushed Pineapple,,,,,,,Put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. Pour into a collins glass and serve with a straw.,Collins Glass,14 to 16 ounces
Saronno Mist,Cocktail Classics,1 1/2 oz, Amaretto di Saronno,,,,,,,,,,,"Serve in an old-fashioned glass over crushed ice with a twist of lemon or a wedge of lime, if desired.",Old-Fashioned Glass,6 to 8 ounces
Saronno Rose,Cocktail Classics,1 1/2 oz, Amaretto di Saronno,1/2 oz, Roses Lime Juice,1 oz, Club Soda,,,,,,,Pour Amaretto di Saronno and lime juice over ice in a collins glass and fill with club soda.,Collins Glass,14 to 16 ounces
Gilchrist,Whiskies,1 1/2 oz, Blended Scotch Whiskey,3/4 oz, Pear brandy,3/4 oz, Grapefruit Juice,1/2 oz, Amaro,2 oz, Grapefruit bitters,, Lemon twist,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Frisco Sour,Whiskies,2 oz, Bourbon or Rye Whiskey,3/4 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,1/2 oz, Benedictine,1 oz, Lemon and lime wheels,,,Shake with ice and strain into chilled sour glass. Garnish with lemon and lime.,Cordial or Pony Glass,2 to 3 ounces
Fratelli Cocktail,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Sweet Vermouth,1/2 oz, Yellow Chartreuse,1/4 oz, Fernet-Branca,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Francis The Mule,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Coffee liqueur,1/2 oz, Fresh lemon juice,1/4 oz, orgeat or almond syrup,2 oz, Orange Bitters,, Lemon twist,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Fox River Cocktail,Whiskies,2 oz, Bourbon or Rye Whiskey,1/2 oz, Dark creme de cacao,4 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Flying Scotchman,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Sweet Vermouth,1 oz, Angostura Bitters,1/4 oz, Simple Syrup,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
The Final Ward,Whiskies,3/4 oz, Straight rye whiskey,3/4 oz, Maraschino liqueur,3/4 oz, Green Chartreuse,3/4 oz, Fresh lemon juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Martini ,Cocktail Classics,1 1/2 oz, Mr. Boston Gin,3/4 oz, Dry Vermouth,,,,,,,,,serve with an olive. ,Cocktail Glass,6 or more ounces
Fancy Whiskey,Whiskies,2 oz, Bourbon or rye whiskey,1 oz, Angostura Bitters,1/4 oz, Triple Sec,1/4 oz, Simple Syrup,1 oz, Lemon twist,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Mandarine Sour,Cocktail Classics,2 oz, Mandarine Napoleon Liqueur,1 oz, Lemon Juice,,,,,,,,,Shake with ice and strain into a sour glass. Decorate with a cherry and orange slice.,Sour Glass,5 to 6 ounces
Mandarine Mist,Cocktail Classics,1 1/2 oz, Mandarine Napoleon Liqueur,,,,,,,,,,,Pack an old-fashioned glass with finely crushed ice. Add Mandarine Napoleon Liqueur and a twist of tangerine peel. Serve with short straws.,Old-Fashioned Glass,6 to 8 ounces
Underneath The Mango Tree,Vodka,For glass," Lime wedge, Sweet Chili Powder",1 oz, Mango-flavored vodka,1/2 oz, Peach liqueur,3/4 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,2 oz, Ginger ale,Rim Collins glass with lime and sweet chili powder. Fill glass with ice. Shake next four ingredients with ice. Strain into glass. Top with ginger ale.,Collins Glass,14 to 16 ounces
Fancy-Free Cocktail,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Maraschino liqueur,1 oz, Angostura Bitters,1 oz, Orange Bitters,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Honeymoon Cocktail,Brandy,3/4 oz, Apple Brandy,3/4 oz, Benedictine,3/4 oz, Fresh lemon juice,1/2 oz, Triple Sec,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Twister,Vodka,2 oz, Vodka,1/2 oz, Fresh Lime Juice,, Lime wedge,, Lemon-lime soda,,,,,Pour vodka and lime juice into Collins glass. Add several ice cubes. Squeeze lime into glass and add. Fill with lemon-lime soda and stir.,Collins Glass,14 to 16 ounces
Everybody's Irish Cocktail,Whiskies,2 oz, Irish Whiskey,1 oz, Green creme de menthe,1 oz, Green Chartreuse,1 oz, Green olive,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with olive.,Cocktail Glass,6 or more ounces
Trident,Vodka,1 oz, Aquavit or vodka,1/2 oz, Cynar,1 oz, Dry Sherry,2 oz, Peach bitters, Lemon twist,,,,Stir and strain into cocktail glass. Garnish with lemon twist.,Cocktail Glass,6 or more ounces
Top Banana,Vodka,1 oz, Vodka,1 oz, Creme de banana,2 oz, Orange juice,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
