season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: Marquesas,4,Gina Crews,Gina,28,Gainesville,Florida,ISFJ,18,6,6th voted out,NA,Maraamu,Maraamu,NA,NA,3,0
Survivor: Marquesas,4,Rob Mariano,Rob,25,Canton,Massachusetts,ESTJ,21,7,7th voted out,NA,Maraamu,Rotu,NA,Soliantu,8,0
Survivor: Marquesas,4,John Carroll,John,36,Omaha,Nebraska,ENTJ,24,8,8th voted out,1st jury member,Rotu,Rotu,NA,Soliantu,8,0
Survivor: Marquesas,4,Zoe Zanidakis,Zoe,35,Monhegan,Maine,ISTJ,27,9,9th voted out,2nd jury member,Rotu,Rotu,NA,Soliantu,8,0
Survivor: Marquesas,4,Tammy Leitner,Tammy,29,Mesa,Arizona,ENFJ,30,10,10th voted out,3rd jury member,Rotu,Rotu,NA,Soliantu,5,2
Survivor: Marquesas,4,Robert DeCanio,Robert,38,College Point,New York,ISTJ,33,11,11th voted out,4th jury member,Rotu,Rotu,NA,Soliantu,6,1
Survivor: Marquesas,4,Sean Rector,Sean,30,Los Angeles,California,ENTP,36,12,12th voted out,5th jury member,Maraamu,Rotu,NA,Soliantu,7,0
Survivor: Marquesas,4,Paschal English,Paschal,56,Thomaston,Georgia,ISFJ,37,13,Eliminated,6th jury member,Rotu,Maraamu,NA,Soliantu,0,0
Survivor: Marquesas,4,Kathy Vavrick-O'Brien,Kathy,46,Burlington,Vermont,ESFJ,38,14,13th voted out,7th jury member,Rotu,Maraamu,NA,Soliantu,5,2
Survivor: Marquesas,4,Neleh Dennis,Neleh,21,Layton,Utah,ENFP,39,15,Runner-up,NA,Rotu,Maraamu,NA,Soliantu,4,1
Survivor: Marquesas,4,Vecepia Towery,Vecepia,36,Hayward,California,ISTJ,39,16,Sole Survivor,NA,Maraamu,Rotu,NA,Soliantu,2,2
Survivor: Africa,3,Diane Ogden,Diane,42,Lincoln,Nebraska,ESTP,3,1,1st voted out,NA,Boran,NA,NA,NA,6,0
Survivor: Africa,3,Jessie Camacho,Jessie,26,Orlando,Florida,ISFP,6,2,2nd voted out,NA,Boran,NA,NA,NA,5,0
Survivor: Africa,3,Carl Bilancione,Carl,46,Winter Springs,Florida,ESTJ,9,3,3rd voted out,NA,Samburu,NA,NA,NA,7,0
Survivor: Africa,3,Linda Spencer,Linda,44,Boston,Massachusetts,ESFJ,12,4,4th voted out,NA,Samburu,NA,NA,NA,4,0
Survivor: Africa,3,Silas Gaither,Silas,23,Los Angeles,California,ESTJ,15,5,5th voted out,NA,Samburu,Boran,NA,NA,8,0
Survivor: Africa,3,Lindsey Richter,Lindsey,26,Portland,Oregon,ESFP,18,6,6th voted out,NA,Samburu,Samburu,NA,NA,12,0
Survivor: Africa,3,Clarence Black,Clarence,24,Detroit,Michigan,ISTP,21,7,7th voted out,NA,Boran,Boran,NA,Moto Maji,12,0
Survivor: Africa,3,Kelly Goldsmith,Kelly,22,San Diego,California,ENTP,24,8,8th voted out,1st jury member,Boran,Samburu,NA,Moto Maji,5,0
Survivor: Africa,3,Brandon Quinton,Brandon,25,Dallas,Texas,ENFP,27,9,9th voted out,2nd jury member,Samburu,Samburu,NA,Moto Maji,6,0
Survivor: Africa,3,Frank Garrison,Frank,43,Odessa,New York,ISTJ,30,10,10th voted out,3rd jury member,Samburu,Boran,NA,Moto Maji,9,0
Survivor: Africa,3,Kim Powers,Kim P.,29,Conshohocken,Pennsylvania,INFP,33,11,11th voted out,4th jury member,Samburu,Samburu,NA,Moto Maji,4,0
Survivor: Africa,3,Teresa Cooper,Teresa,42,Jackson,Georgia,ENFP,36,12,12th voted out,5th jury member,Samburu,Boran,NA,Moto Maji,4,1
Survivor: Africa,3,Tom Buchanan,Tom,45,Rich Valley,Virginia,ESTP,37,13,13th voted out,6th jury member,Boran,Samburu,NA,Moto Maji,9,1
Survivor: Africa,3,Lex van den Berghe,Lex,38,Santa Cruz,California,ENTJ,38,14,14th voted out,7th jury member,Boran,Samburu,NA,Moto Maji,10,3
Survivor: Africa,3,Kim Johnson,Kim J.,56,Oyster Bay,New York,ISFJ,39,15,Runner-up,NA,Boran,Boran,NA,Moto Maji,0,2
Survivor: Africa,3,Ethan Zohn,Ethan,27,Lexington,Massachusetts,ISFP,39,16,Sole Survivor,NA,Boran,Boran,NA,Moto Maji,0,1
Survivor: The Australian Outback,2,Debb Eaton,Debb,45,Milan,New Hampshire,ISFP,3,1,1st voted out,NA,Kucha,NA,NA,NA,7,0
Survivor: The Australian Outback,2,Kel Gleason,Kel,32,Fort Hood,Texas,ISTJ,6,2,2nd voted out,NA,Ogakor,NA,NA,NA,7,0
Survivor: The Australian Outback,2,Maralyn Hershey,Maralyn,51,Wakefield,Virginia,ESTP,9,3,3rd voted out,NA,Ogakor,NA,NA,NA,5,0
Survivor: The Australian Outback,2,Mitchell Olson,Mitchell,23,Union City,New Jersey,ENFP,12,4,4th voted out,NA,Ogakor,NA,NA,NA,6,0
Survivor: The Australian Outback,2,Kimmi Kappenberg,Kimmi,27,Ronkonkoma,New York,ENFP,15,5,5th voted out,NA,Kucha,NA,NA,NA,6,0
Survivor: The Australian Outback,2,Michael Skupin,Michael,38,White Lake,Michigan,ESFJ,17,6,Medically evacuated,NA,Kucha,NA,NA,NA,0,0
Survivor: The Australian Outback,2,Jeff Varner,Jeff,34,Manhattan,New York,ENFP,21,7,6th voted out,NA,Kucha,NA,NA,Barramundi,11,0
Survivor: The Australian Outback,2,Alicia Calaway,Alicia,32,Manhattan,New York,ESTJ,24,8,7th voted out,1st jury member,Kucha,NA,NA,Barramundi,5,0
Survivor: The Australian Outback,2,Jerri Manthey,Jerri,30,Los Angeles,California,ESFP,27,9,8th voted out,2nd jury member,Ogakor,NA,NA,Barramundi,12,0
Survivor: The Australian Outback,2,Nick Brown,Nick,23,Steilacoom,Washington,ISTJ,30,10,9th voted out,3rd jury member,Kucha,NA,NA,Barramundi,4,1
Survivor: The Australian Outback,2,Amber Brkich,Amber,22,Beaver,Pennsylvania,ISFP,33,11,10th voted out,4th jury member,Ogakor,NA,NA,Barramundi,6,0
Survivor: The Australian Outback,2,Rodger Bingham,Rodger,53,Crittenden,Kentucky,ISFJ,36,12,11th voted out,5th jury member,Kucha,NA,NA,Barramundi,5,0
Survivor: The Australian Outback,2,Elisabeth Filarski,Elisabeth,23,Newton,Massachusetts,INFP,39,13,12th voted out,6th jury member,Kucha,NA,NA,Barramundi,5,0
Survivor: The Australian Outback,2,Keith Famie,Keith,40,West Bloomfield,Michigan,ESTJ,41,14,13th voted out,7th jury member,Ogakor,NA,NA,Barramundi,10,2
Survivor: The Australian Outback,2,Colby Donaldson,Colby,26,Dallas,Texas,ISTP,39,15,Runner-up,NA,Ogakor,NA,NA,Barramundi,9,5
Survivor: The Australian Outback,2,Tina Wesson,Tina,40,Knoxville,Tennessee,ESFJ,39,16,Sole Survivor,NA,Ogakor,NA,NA,Barramundi,0,0
Survivor: Borneo,1,Sonja Christopher,Sonja,63,Walnut Creek,California,ENFP,3,1,1st voted out,NA,Tagi,NA,NA,NA,4,0
Survivor: Borneo,1,B.B. Anderson,B.B.,64,Mission Hills,Kansas,ESTJ,6,2,2nd voted out,NA,Pagong,NA,NA,NA,6,0
Survivor: Borneo,1,Stacey Stillman,Stacey,27,San Francisco,California,ENTJ,9,3,3rd voted out,NA,Tagi,NA,NA,NA,6,0
Survivor: Borneo,1,Ramona Gray,Ramona,29,Edison,New Jersey,ISTJ,12,4,4th voted out,NA,Pagong,NA,NA,NA,6,0
Survivor: Borneo,1,Dirk Been,Dirk,23,Spring Green,Wisconsin,ISFP,15,5,5th voted out,NA,Tagi,NA,NA,NA,4,0
Survivor: Borneo,1,Joel Klug,Joel,27,Sherwood,Arkansas,ESTJ,18,6,6th voted out,NA,Pagong,NA,NA,NA,4,0
Survivor: Borneo,1,Gretchen Cordy,Gretchen,38,Clarksville,Tennessee,ESFJ,21,7,7th voted out,NA,Pagong,NA,NA,Rattana,4,0
Survivor: Borneo,1,Greg Buis,Greg,24,Gold Hill,Colorado,INTP,24,8,8th voted out,1st jury member,Pagong,NA,NA,Rattana,6,1
Survivor: Borneo,1,Jenna Lewis,Jenna,22,Franklin,New Hampshire,ENFP,27,9,9th voted out,2nd jury member,Pagong,NA,NA,Rattana,11,0
Survivor: Borneo,1,Gervase Peterson,Gervase,30,Willingboro,New Jersey,ESTP,30,10,10th voted out,3rd jury member,Pagong,NA,NA,Rattana,6,1
Survivor: Borneo,1,Colleen Haskell,Colleen,23,Miami Beach,Florida,INFP,33,11,11th voted out,4th jury member,Pagong,NA,NA,Rattana,7,0
Survivor: Borneo,1,Sean Kenniff,Sean,30,Carle Place,New York,INTP,36,12,12th voted out,5th jury member,Tagi,NA,NA,Rattana,9,0
Survivor: Borneo,1,Susan Hawk,Susan,38,Palmyra,Wisconsin,ESTP,37,13,13th voted out,6th jury member,Tagi,NA,NA,Rattana,7,0
Survivor: Borneo,1,Rudy Boesch,Rudy,72,Virginia Beach,Virginia,ISTJ,38,14,14th voted out,7th jury member,Tagi,NA,NA,Rattana,8,1
Survivor: Borneo,1,Kelly Wiglesworth,Kelly,22,Kernville,California,ISFP,39,15,Runner-up,NA,Tagi,NA,NA,Rattana,0,4
Survivor: Borneo,1,Richard Hatch,Richard,39,Newport,Rhode Island,ENTP,39,16,Sole Survivor,NA,Tagi,NA,NA,Rattana,6,1
